首字母,等级,歌名,歌手,bgm路径,无技能裸分,极限技能裸分,半cb,全cb,分数变化
J,6,"芥末巧克力","杨丞琳",103379,676273,750522,120,274,
Z,10,"直到世界终结(困难版)","WANDS",100522,1563770,1735430,281,693,
X,6,"虚拟","陈粒",102966,969696,1076165,208,412,
,,"Turn Up","周汤豪",103387,696657,773122,155,316,100
,,"For You","高颖浠",103519,622115,690424,137,249,
C,9,"Candy Boy","TWICE",103423,1387789,1540144,248,606,
D,10,"大艺术家(困难版)","蔡依林",102263,2418052,2683642,527,951,
*,9,"プライド革命","CHiCO with HoneyWorks",103426,1264939,1403837,252,515,
W,10,"Whistle(困难版)","Flo Rida",102230,1820455,2020218,393,867,
Q,7,"倾杯","SING女团",103522,853762,947482,207,384,
S,10,"帅一个","罗志祥",103330,1292889,1434875,206,526,
C,9,"Crash","The Primitives",103022,1176461,1305570,235,549,
,,"Baby Don't Cry","于湉",103374,675012,749131,139,271,
D,10,"Dura","Daddy Yankee",101859,2006589,2227003,309,760,
B,8,"Brave Heart","宮崎歩",100764,1082380,1201096,317,567,
D,7,"豆你玩","李子璇",103508,902239,1001341,172,348,
,,"德寿宫石墙路的春天","允儿/10cm",103577,603018,669233,132,239,
I,7,"I'm OK","小青龙",103509,1254253,1391989,237,510,
J,7,"就是你","范玮琪",102979,836693,928387,219,494,
X,8,"幸福症候群","nanawoakari",103320,974181,1081094,178,441,
F,10,"Flower Dance(困难版)","DJ OKAWARI",102256,1461941,1622508,228,574,
Y,6,"原点","徐梦圆",103306,948727,1052678,287,589,
L,9,"凉凉(困难版)","杨宗纬/张碧晨",102243,1813045,2011986,449,876,50
F,9,"flower of sorrow","花たん",103419,1181076,1310787,210,471,
,,"雨后的咖啡","SNP",103400,607802,674488,150,297,
M,8,"觅","王喆",103517,1364753,1514714,231,490,
M,8,"马上上马","庄园",103510,1465113,1626057,311,556,
F,10,"Fanfare","Sumika",103432,1624883,1803052,411,877,
P,7,"Play It Cool","Steve Aoki/MONSTA X",103382,676780,751067,143,297,
N,7,"牛奶面包","杨紫/鱿小鱼",103054,1029821,1142967,212,362,
,,"大碗宽面","吴亦凡",103467,493012,547114,104,222,
M,8,"Magic Dream","APPRIL",103539,967382,1073627,205,379,
W,6,"我的名字","焦迈奇",103538,772954,857784,197,356,
U,9,"UNION","OxT",103026,1176305,1305360,303,599,
R,7,"仁心所向","河图",103016,966550,1072570,286,501,
F,9,"Faded(困难版)","Alan Walker",102253,1542164,1711573,287,583,
,,"朝代","排骨教主",103520,617071,684802,128,272,
B,6,"Bon Bon(给他一击)","强东玥",103515,686647,762012,158,302,
L,10,"林中鸟(困难版)","葛林",102238,1738737,1929580,355,776,
N,7,"那时正好","赵政豪",103416,890227,987890,170,439,
*,9,"デートアライブ","sweet ARMS",103429,1231542,1366643,322,620,
G,7,"更发光","以团之名",103502,935714,1038427,234,421,
G,8,"孤注一掷的舞者","DOES",103415,1105039,1226412,231,427,
R,6,"如果当时","胡夏",103617,790179,876874,183,392,
,,"Let Me Hear","Fear, and Loathing in Las Vegas",103203,2539108,2817985,512,994,
D,6,"带我走","杨丞琳",103540,818129,907879,203,410,
Z,9,"钻石微笑","Run Girls, Run！",103550,1306864,1450360,277,549,
,,"芒种","音阙诗听/赵方婧",103561,540397,599711,139,242,
W,10,"Why So Lonely","Wonder Girls",101418,1556230,1727133,289,634,
,,"无名之辈","陈雪燃",103053,372541,413337,113,247,
Z,6,"最好的天气","郭采洁",103401,796523,883978,134,328,
R,10,"Remember","FTISLAND",103433,1403792,1557738,406,742,
,,"Loki","BC221",103390,701688,778691,167,324,
V,10,"VORACITY","MYTH & ROID",103430,1440985,1599144,260,650,
,,"Badass Woman","Meghan Trainor",103489,633451,702955,141,293,
E,9,"E.T.","Katy Perry",103406,1088113,1207563,222,483,
S,6,"Señorita","Shawn Mendes/Camila Cabello",103702,642993,713592,102,268,
S,9,"Stand By Me","the peggies",103421,1537185,1705895,374,703,
,,"I like you(炫舞音乐季主题曲)","孟美岐",103616,1328847,1474800,250,509,
,,"Too Much","Carly Rae Jepsen",103461,342329,379866,95,198,
,,"藏不住的心跳","朱主爱",103468,628693,697722,131,257,
,,"Come Back Down","Mediks",103645,1845974,2048690,390,760,
,,"HERO","李子璇",103512,689429,765126,140,283,
K,7,"Kids in the Dark","All Time Low",103501,943891,1047491,205,424,
C,8,"宠坏","李俊佑/小潘潘",103544,925561,1027187,209,384,
I,8,"I am YOU","Stray Kids",103414,936533,1039308,249,442,
B,6,"别爱太满别睡太晚","贺一航",103535,710632,788582,177,367,
X,9,"響喜乱舞","GARNiDELiA",103431,1259882,1398242,273,520,
,,"两人份美好","李俊毅",103472,600873,666839,109,244,
Z,8,"仲夏","王北车",103546,1067599,1184803,203,471,
,,"Carry on","Monsta X",103793,572169,634971,137,260,
C,8,"Close To Me","Ellie Goulding/Diplo/Red Velvet",103405,912769,1012927,203,452,
,,"观花","萌娜丽莎/郑冰冰",103518,655005,726899,153,289,
S,7,"是我","张韶涵",102671,898417,996946,226,474,
R,8,"Radiant","TANGRAM",103516,960141,1065495,217,454,
,,"鍵ノ間","黒兎ウル",103639,1315041,1459525,205,468,
C,8,"长安诀","汪苏泷",103643,1044810,1159486,191,487,
,,"Ever After","Alice",103696,877396,973689,209,411,
F,7,"Focus","TANGRAM",103521,1130727,1254943,168,414,
W,8,"我只喜欢你","胡夏",103532,1020682,1132760,162,420,
,,"Girl in the Mirror","Bebe Rexha",103471,630240,699441,130,257,
S,10,"Shiny","高颖浠",103511,2071602,2299150,421,800,
G,10,"冠世一战","言和",103202,2693717,2989457,477,1162,
Y,6,"赝品","简弘亦",103601,774904,859977,165,326,
G,6,"耿耿于怀","王笑文",103503,1158625,1285865,219,465,
,,"长安巷","排骨教主",103791,493233,547365,113,227,
,,"七つ紅葉灯","木制みゅーと",103623,2190604,2431205,430,855,100
M,8,"MARIA","黄明昊/KOHH",103630,809484,898243,241,445,
G,6,"Getaway","Syn Cole",103488,934609,1037203,164,410,
,,"DAYS of DASH","鈴木このみ",103734,1144585,1270163,284,569,
G,8,"灌溉爱","郭采洁",103542,787150,873523,201,377,
A,8,"爱情的花样","孙燕姿",103524,1049308,1164540,210,429,
,,"BEE","Rothy",103576,548236,608401,132,253,
,,"胡萝卜须","许嵩",103729,1270724,1410280,228,510,
Z,7,"着陆","白举纲",103599,910182,1010125,160,377,
S,7,"Sunny Side Up!","Red Velvet",103717,790582,877369,178,348,
Q,10,"琪露诺的完美算术教室","IOSYS",103201,2314832,2569045,519,936,
D,8,"单线告别","接个吻，开一枪/刘至佳",103636,942591,1046092,198,388,
F,8,"浮年盏","刘珂矣",103545,979381,1086824,233,494,
C,6,"彻底","庄心妍",103533,962585,1068248,213,436,
Z,8,"最苦的甜","胡夏",103523,858494,952714,191,398,
,,"Good Girl 赶快爱","陈芳语",103692,879541,976157,151,329,
Q,7,"群居动物","胡66",103531,817934,907720,178,357,
L,7,"旅行的爱情","Samuel",103536,675168,749262,148,319,
B,7,"白衣少年","许诗茵",103514,1124149,1247584,220,469,
,,"Shatter Me","Lindsey Stirling/Lzzy Hale",103726,1822834,2023035,439,731,
M,6,"盲眼画师","河图",103541,865813,960845,219,389,
,,"I Still Do","Why Don't We",103813,556101,617116,158,279,
S,7,"SHOOT IT OUT","GENERATIONS from EXILE TRIBE/THE RAMPAGE from EXILE TRIBE",103706,1087619,1207057,202,450,
W,7,"我很快乐","刘惜君",103689,774982,860076,155,315,
R,9,"R.1.S.E","R1SE",103549,1377350,1528589,287,586,
,,"滚烫的青春","王源",103605,588016,652558,118,257,
C,10,"courage","戸松遥",103334,1390181,1542780,306,628,
W,6,"When You Know What Love Is","Craig David",103591,740610,821945,154,288,
B,6,"Brand New Story","GENERATIONS from EXILE TRIBE",103600,772889,857729,144,336,
,,"灿烂之夏","王子异",103797,446563,495562,111,217,
D,6,"Don't Need Your Love","NCT DREAM/HRVY",103592,731133,811393,162,319,
P,6,"Pink Magic","艺声",103598,811668,900780,166,347,
,,"超大只怪兽","焦迈奇",103675,421174,467411,95,175,
,,"树洞","欧阳娜娜",103832,989768,1098426,241,428,
L,8,"Light","San Holo",103632,996593,1105996,213,435,
,,"Lil Mama","Jain",103680,587041,651495,127,244,
X,6,"新青年","李行亮",103690,655928,727929,145,286,
,,"Summer Time","倖田來未",103748,1158755,1285965,263,512,
,,"我的朋友","TFBOYS",103722,1513564,1679815,281,582,
A,9,"A型のうた","西野カナ",103626,1110655,1232643,208,426,
H,6,"好奇的猫","胡66",103687,761111,844695,155,303,
W,8,"我的告白","王栎鑫/周文杰",103409,1051102,1166415,303,526,20
D,9,"当妮走了","徐真真",103637,1040897,1155124,240,480,
,,"狂风里拥抱","信/A-Lin",103830,1156532,1283511,238,493,
,,"Dreams Come True","徐明浩",103821,842166,934633,176,358,
A,9,"Another(Feat. 王嘉尔)","秦奋",103644,1348659,1496774,257,536,
,,"Light up","刘人语",103756,1314963,1459323,286,563,
W,8,"我要飞","飞儿乐团",103718,945451,1049241,208,414,
,,"永世のクレイドル","鈴華ゆう子",103739,898378,996919,224,462,
,,"青春大满贯","胡夏",103693,732108,812465,192,332,
A,8,"Angel With A Shotgun","Nightcore",103543,889317,986894,191,432,
,,"All Mine","f(x)",103817,813670,902983,188,368,
,,"春、恋桜。","majiko",103487,508170,563914,121,259,
,,"爱在我身边","吴映洁",103786,350012,388413,80,175,
D,8,"DEAREST DROP","田所あずさ",103627,1090011,1209535,309,598,
,,"Leave Out All The Rest","Linkin Park",103750,948610,1052641,231,511,
,,"アリエラ","佐香智久/天月-あまつき-",103723,1285180,1426315,227,513,
L,9,"Last One Standing","Simple Plan",103408,1207596,1340141,212,546,
,,"世界は恋に落ちている","CHiCO with HoneyWorks",103731,968227,1074519,205,422,
I,7,"I Want You to Know","Zedd/Selena Gomez",103708,1084954,1204094,224,442,
,,"One In A Billion","Wake Up, May'n!",103736,1423851,1580136,318,656,
,,"Time with you","圭贤",103486,535496,594276,125,232,
,,"Talking to Myself","Linkin Park",103816,1074554,1192560,250,427,
,,"Ring of Fortune","佐々木恵梨",103747,1306903,1450390,274,554,
W,9,"五等分の気持ち","花泽香菜/竹達彩奈/伊藤美来/佐倉綾音/水瀬いのり",103422,1253408,1391053,242,502,
,,"别再靠近我了","陈雪凝",103831,896194,994569,221,392,
,,"光耀","梁心颐",103799,753636,836363,173,334,
,,"HIT","SEVENTEEN",103818,916682,1017355,193,368,
L,9,"啰哩叭唆","陈嘉桦",103529,1174628,1303649,222,454,20
T,8,"淘气堡","Chic Chili",103628,1068054,1185320,198,457,
,,"两小无猜","小木",103507,885898,983147,168,381,
,,"Sweet but Psycho","Ava Max",103713,1189071,1319660,202,467,
D,8,"地铁等待","张紫豪",103525,912444,1012594,224,415,
,,"我们很好","林俊杰",103596,574145,637154,137,273,
S,7,"SHOW THE WORLD","林俊杰",103716,796367,883806,180,329,
,,"唱起这首歌","刘人语",103802,793585,880689,182,355,
B,6,"Break The Rules","Charli XCX",103593,760747,844298,141,296,
L,6,"流光记","银临",103685,729833,809939,175,332,
B,7,"Birthday","罗志祥",103537,908739,1008496,240,402,
,,"Leaving California","Maroon 5",103809,732108,812452,163,339,
,,"Snapping","金请夏",103684,672035,745837,116,258,
G,7,"孤身","徐秉龙",103612,719407,798386,159,302,
,,"カーストルーム","ZAQ",103745,1098539,1219099,219,520,
,,"傻了吧","大张伟",103744,1503320,1668407,253,608,
,,"有你我就不孤单","罗志祥/恺乐/C.T.O",103694,912171,1012264,208,436,
,,"好喜欢你","颜人中",103790,477841,530267,108,237,
