字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
B,6,"BONAMANA","Super Junior",,红色,398,B - 一二轨滑条,B - 二轨单点、四轨单点,244,621,1392679,39 - 0.2
B,6,"Bright Spring","M2U",,红色,322,B - 二轨单点,B - 二轨单点,252,578,1210584,34 + 0.0
M,6,"没有选择","胡彦斌",,,376,B - 三轨长条开始,B - 二轨单点、四轨长条结尾,267,525,1228643,29 - 0.5
,,"CALL ME BABY","EXO",,红色,316、316,B - 二轨单点（cool）、三轨单点,B - 二轨单点、三轨长条结尾,163,400,837371,31 + 0.3
B,6,"背对背拥抱","林俊杰",100,红色,360,A - 二轨单点、四轨单点,A - 一轨单点,457,803,1317556,40 + 0.2
W,6,"What Do You Mean?","Justin Bieber",,红色,328、331、336、341、344、349、354、357、362、367,B - 二轨单点、三轨长条结尾,B - 一轨长条结尾、四轨单点,228,606,1236387,35 - 0.2
,,"丑八怪","薛之谦",,红色,146,A - 二轨单点,A - 三轨长条左滑,264,661,1391862,45 + 0.4
,,"微微一笑很倾城","杨洋",,,515、523,B - 二轨单点、四轨单点,B - 一轨单点、四轨单点,351,719,1311035,32 + 0.3
M,6,"Mimimi","Serebro",,,310,B - 一轨单点,B - 二轨长条结尾、四轨长条开始,264,491,1184528,30 + 0.3
,,"Always Online","林俊杰",,红色,122,A - 四轨单点,A - 三轨单点,271,506,757286,20 + 0.4
A,6,"爱投罗网","罗志祥",,红色,440,B - 一二轨滑条、四轨长条左滑,B - 二轨长条结尾、三轨长条开始,255,710,1366975,39 - 0.4
T,6,"Timber","Pitbull",,红色,505、505,B - 三轨单点（cool）、四轨单点,B - 一轨长条结尾、四轨单点,203,592,1407195,49 - 0.2
,,"曖昧スクリーム","平野绫",,,754,B - 三轨长条结尾、五轨长条开始,B - 一轨单点、五轨单点,676,1399,2735105,58 + 0.2
,,"New Divide","Linkin Park",,红色,223、233,A - 一轨长条中间、三轨单点,A - 二轨长条开始、三轨长条结尾,352,599,1013196,31 - 0.5
,,"你的微笑","飞儿乐团",,红色,476、477,B - 三轨单点,B - 三轨长条结尾,299,632,1208498,34 + 0.2
,,"明天，你好","牛奶咖啡",,红色,150,B - 一轨长条开始、四轨长条开始,B - 二轨长条开始,150,360,773738,29 + 0.4
,,"夜空中最亮的星","逃跑计划",,红色,355,B - 二轨长条结尾,B - 三轨单点,293,551,980717,32 + 0.4
,,"黑暗骑士","林俊杰/五月天",,红色,183、183、491、491,A - 二轨单点（cool）、三轨单点,A - 二轨单点、一轨单点（cool）,273,550,1162609,33 + 0.0
,,"今天你要嫁给我","陶喆/蔡依林",,红色,145、146、147、148、149,B - 二轨单点,B - 三轨单点,145,281,593957,25 - 0.2
,,"Blue Skies","Lenka",,红色,342、343,B - 一轨单点,B - 三四轨滑键,204,483,1009214,30 - 0.3
B,8,"Bubble Pop!","泫雅",,,401,B - 三轨单点,B - 二一轨滑键,364,786,1662549,37 - 0.5
,,"凉凉","杨宗纬/张碧晨",,红色,340,B - 四三轨滑键,B - 二轨单点,157,465,722536,26 - 0.3
,,"Bing Bing","Crayon Pop",,,427,B - 三轨单点,B - 四五轨滑键,309,586,1515092,30 - 0.5
,,"因你而在","林俊杰",,红色,381、382、395,B - 三轨长条开始,B - 三轨长条右滑,220,481,875574,27 - 0.2
,,"邮递马车","Hermann Necke",,红色,597,B - 三轨长条右滑,B - 一轨单点、五轨单点,275,725,1733855,53 + 0.1
Q,8,"七年的爱","金贤政",20、50,红色,573,B - 四轨长条开始,B - 二轨单点、三轨单点,242,708,1458011,57 + 0.3
T,8,"to the beginning","Kalafina",,,1144,B - 四轨长条中间,B - 二轨长条结尾、三轨长条结尾,762,1262,1943959,46 - 0.1
J,9,"JELLY JELLY","TWICE",,,708、715,B - 一轨单点、四轨单点,B - 一轨单点、三轨单点,401,760,1684349,35 - 0.5
K,10,"空想神话","妖精帝国",,,1519,B - 一轨长条中间、三轨单点,B - 一轨长条右滑、三轨长条开始,915,1745,3113810,69 + 0.1
R,6,"Right Now","rihanna",,,415,B - 二轨长条左滑、三轨长条中间,B - 一轨长条右滑、四轨长条左滑,395,818,1574086,39 + 0.4
,,"你的声音不会消失","fumika",20,红色,239、240、243,A - 二轨长条开始,A - 三轨长条右滑,354,745,1388442,37 + 0.0
,,"Poker Face","Lady Gaga",,红色,237,B - 二轨单点、四轨长条结尾,B - 二轨单点、四轨长条结尾,188,400,988647,29 + 0.3
,,"桃花旗袍","BY2",100,红色,235、235、253、253,B - 二轨单点（cool）、三轨单点,B - 一轨单点、三轨长条结尾,142,355,829642,33 + 0.1
W,6,"Wolves","Selena Gomez/Marshmello",,,783,B - 一轨单点,B - 二轨长条结尾、四轨长条结尾,495,1028,1662988,41 - 0.4
,,"绿光","孙燕姿",,红色,442、442、443,B - 二轨单点（cool）、一轨单点,B - 一轨单点、四轨单点,203,495,1048855,36 - 0.5
,,"不醉不会","田馥甄",,红色,177,A - 二轨单点,A - 一轨单点,409,805,1565696,47 - 0.5
,,"望","张碧晨/赵丽颖",,红色,582,B - 二轨长条左滑,B - 一轨长条结尾、三轨长条结尾,234,680,1299680,43 - 0.3
,,"炫舞","陈伟霆",,红色,682、682,B - 一轨单点（cool）、一轨单点,B - 二轨长条左滑、三四轨滑键,434,821,1243188,35 + 0.2
B,7,"表白","萧亚轩",,红色,550、550,B - 二轨单点（cool）、三轨单点,B - 一轨长条结尾、四轨长条结尾,269,691,1455141,46 - 0.5
H,6,"Here With You","Asher Book",,红色,429,B - 三轨单点（cool）、一轨单点、四轨单点,B - 二轨长条结尾、三轨长条结尾,236,502,1216268,40 - 0.3
,,"Trap","Henry",,红色,200,B - 二轨单点,B - 二轨单点,137,266,566839,23 - 0.1
I,8,"I Knew You Were Trouble","Taylor Swift",,红色,97,A - 四轨长条左滑,A - 三轨长条中间,580,982,1602863,42 + 0.4
,,"不朽之罪","双笙/玄觞",,红色,219、220、220,B - 二轨单点,B - 三轨长条结尾,113,270,564981,21 - 0.1
,,"Try Everything","Shakira",,红色,138,A - 四轨长条左滑,A - 二轨长条结尾、三轨长条结尾,422,740,1411360,40 + 0.3
,,"让我心动","Apink",,红色,341,B - 三轨单点,B - 二轨单点,216,502,939578,26 + 0.0
,,"娃娃脸","后弦",,,301,B - 一轨长条结尾、四轨单点,B - 二轨单点,248,488,947866,25 + 0.0
,,"Checkmate","林俊杰/郑容和",,红色,136、428,A - 一轨长条开始,A - 一轨单点、四轨单点,264,589,1020980,35 - 0.1
,,"FIVE","Apink",50,红色,197,A - 一轨单点,A - 二轨长条结尾,278,455,999319,29 + 0.0
,,"太过爱你","MC梦",,红色,500,B - 三轨长条右滑,B - 一轨长条结尾、四轨长条结尾,397,875,1447004,40 + 0.2
,,"后会无期","徐良/汪苏泷",,红色,176,B - 二轨长条开始,B - 一轨单点,123,271,483687,19 - 0.1
B,6,"Bad Girl","吴亦凡",,,490、491、492、493,B - 一轨单点,B - 一轨长条结尾、四轨单点,345,836,1608596,34 + 0.3
Y,8,"YESTERDAY","Block B",,,594,B - 一轨单点、四轨长条开始,B - 一轨单点,333,810,1618953,37 - 0.5
,,"太阳雨","QQ炫舞原创",,红色,245,B - 二轨单点,B - 二轨长条结尾,158,325,526285,24 + 0.3
,,"浪漫惊喜","kent王健",,红色,129,B - 一轨长条开始、四轨长条开始,B - 一轨单点,127,323,562536,23 - 0.4
*,9,"ペガサス幻想","MAKE-UP",,,735,B - 二轨长条右滑、四轨单点,B - 二一轨滑键,420,1106,2277137,54 - 0.5
,,"触动心触动爱","BY2",,红色,155、287,B - 一轨长条开始,B - 三四轨滑键,142,324,763827,28 - 0.5
T,6,"Telephone","Lady GaGa",,,126,A - 二一轨滑条,A - 一轨单点,287,544,1352451,31 + 0.2
F,9,"Fight For You","潘玮柏",20,,639、641,B - 一轨长条开始、四轨长条开始,B - 一轨长条中间、四轨长条中间,639,1297,2252837,52 + 0.0
,,"Sky","Steerner",,红色,532,B - 二轨长条开始、四轨长条结尾,B - 二轨长条结尾、三轨长条右滑,234,733,1378941,47 + 0.4
,,"可以了","陈奕迅",,红色,313,B - 四轨长条左滑,B - 四轨单点,200,443,956625,30 + 0.0
,,"有点甜","汪苏泷 / BY2",,红色,218、218,B - 二轨单点（cool）、三轨单点,B - 一轨长条右滑、四轨长条左滑,177,397,951084,35 + 0.1
O,7,"偶像万万岁","TimeZ",,,66,A - 四轨单点,A - 二轨单点、三轨单点,272,572,1188274,32 + 0.1
,,"长腿叔叔","袁娅维",,红色,341,B - 二轨单点,B - 一轨单点,171,391,781660,27 + 0.0
L,6,"Landing","温岚",,红色,312、313,B - 四轨单点,B - 一轨长条右滑,215,462,992011,28 + 0.0
I,8,"I Want My Tears Back","NIGHT WISH",,红色,930、941,B - 一轨长条右滑、四轨长条左滑,B - 一轨长条右滑、四轨长条左滑,601,1432,2804856,81 + 0.4
,,"Faded","Alan Walker",,红色,300,B - 二轨单点,B - 四轨单点,156,345,592728,21 - 0.4
,,"恋爱循环","花泽香菜",100,红色,322,B - 四轨长条开始,B - 二轨单点、三轨长条结尾,266,502,1086999,42 + 0.3
,,"Love Story","Taylor Swift",,红色,525,B - 四轨长条结尾,B - 二一轨滑键、三轨长条右滑,319,601,1301319,42 + 0.4
,,"我们不该这样的","张赫宣",,红色,286、286、287、287、290、290、292、292,B - 四轨单点（cool）、三轨单点,B - 一轨单点、二轨单点（cool）,144,346,861856,33 - 0.2
,,"LOVE IT LIVE IT","YDPP",,红色,482,B - 二轨单点、三轨单点,B - 三轨单点、三轨单点（cool）,230,557,1124112,34 + 0.1
,,"动物森林","范玮琪",,红色,183、184,B - 三轨单点,B - 一轨长条结尾、四轨单点,137,305,707816,24 + 0.0
,,"无限大","孙燕姿",,红色,163、164、167,A - 二轨长条开始,A - 四轨长条左滑,345,476,1042732,30 - 0.5
D,10,"大艺术家(困难版)","蔡依林",,,879,B - 二轨长条左滑、四轨长条左滑,B - 一轨长条右滑、三轨长条右滑,721,1382,2555968,59 + 0.0
,,"Be My Baby","Wonder Girls",,,181、187,A - 二轨单点,A - 一轨长条结尾、五轨长条结尾,678,1067,2016047,44 + 0.2
S,9,"SWEET TALKER","TWICE",,,978,B - 一轨长条开始、四轨长条开始,B - 二一轨滑键,530,1145,2208950,56 + 0.1
,,"专属味道","汪苏泷/林希儿",,红色,736、737、740,B - 三轨长条开始,B - 三轨长条右滑,417,871,1498580,40 - 0.3
D,9,"Dear Future Husband","Meghan Trainor",,,461,B - 一轨长条右滑,B - 一轨长条中间、三轨长条结尾,436,1068,1951761,38 - 0.2
,,"剩下的盛夏","TFBOYS",,红色,112、112、120,A - 二轨单点（cool）、四轨长条开始,A - 三轨长条右滑,279,583,937864,38 + 0.2
,,"非酋","薛明媛/朱贺",,红色,190,B - 一轨单点,B - 三轨长条右滑,130,310,821171,27 - 0.2
,,"万有引力","汪苏泷",,红色,157、158、159,B - 二轨单点,B - 二轨长条结尾,56,204,439682,21 - 0.1
Y,9,"一吻天荒","胡歌",20,,1183,B - 二轨长条中间、三轨长条中间,B - 二一轨滑键、三四轨滑键,465,1660,2518309,64 - 0.3
,,"Just Like Fire","P!nk",,,151、565,A - 一轨长条右滑、五轨单点,A - 二轨长条左滑、四轨单点,403,1008,2181833,47 - 0.3
B,6,"Boys","Charli XCX",,红色,353,B - 二轨长条开始,B - 四轨单点,284,580,1071996,29 + 0.0
,,"Hola","Flo Rida/Maluma",,红色,245,B - 二轨单点、四轨单点,B - 三轨长条右滑,175,335,821338,27 + 0.0
,,"Born This Way","Lady Gaga",,红色,315、315、353,B - 三轨单点（cool）、二轨单点,B - 一轨长条结尾、四轨长条结尾,206,450,974314,29 - 0.4
,,"逆战","张杰",,红色,66,A - 三轨单点,A - 二一轨滑键、三四轨滑键,179,350,1047867,37 - 0.5
,,"Trouble Is a Friend","Lenka",,红色,407、407,B - 一轨单点（cool）、一轨单点,B - 四轨单点,220,592,1117081,35 - 0.1
,,"You Are","GOT7",,红色,74,A - 一轨单点,A - 四轨单点,110,293,670306,27 + 0.0
,,"不完美小孩","TFBOYS",,红色,271,B - 一轨长条开始,B - 四轨长条结尾,208,529,944089,29 + 0.0
,,"Real Change","Masetti",,红色,274、275,B - 二轨单点,B - 三轨单点,212,435,1029286,29 + 0.0
,,"DAY BY DAY","T-ara",,红色,213,B - 二轨长条开始、三轨长条开始,B - 一轨单点,164,354,950329,31 + 0.0
,,"走着走着就散了","庄心妍",,红色,482,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,274,587,1096730,34 + 0.3
H,6,"好想告诉你","谷泽智文",,红色,404,B - 一轨长条中间,B - 二轨长条左滑,291,704,1375973,37 + 0.2
C,9,"chAngE","miwa",,,1032,B - 一轨长条开始、三轨长条开始,B - 二轨单点,507,1164,2516225,47 + 0.0
,,"Numb","Linkin Park",,红色,549,B - 一轨长条中间、三轨单点,B - 二轨长条结尾、三轨长条结尾,244,668,1167977,46 - 0.5
,,"SHIORI","ClariS",50,,1274、1277、1279,B - 四轨长条右滑,B - 一轨单点、五轨长条中间,539,1420,2883116,67 + 0.2
,,"Get It On The Floor","DMX",,,237,A - 四轨长条右滑,A - 一轨单点、五轨长条左滑,613,1241,2350684,49 - 0.1
,,"一笑倾城","汪苏泷",,红色,320、320,B - 一轨单点（cool）、三轨单点,B - 三轨单点、二轨单点（cool）,161,409,1058696,35 + 0.1
,,"稀罕没理由","潘玮柏",,红色,164、165,B - 二轨单点,B - 二轨单点、四轨单点,96,196,492048,24 + 0.0
,,"The Fire","吉克隽逸",,红色,173、369,A - 一轨单点、三轨单点,A - 四轨单点、三轨单点（cool）,270,506,945760,35 - 0.1
,,"我的梦","张靓颖",,红色,178、179、179、181、182、182、380、381、381,A - 一轨单点,A - 一轨单点、一轨单点（cool）,238,606,1062669,36 + 0.0
C,9,"Crash","The Primitives",,,175、177、179,A - 一轨长条开始、四轨长条中间,A - 二轨长条中间、三轨长条中间,510,1268,2159566,46 + 0.1
G,8,"工笔","Awaken-F",,,432、433、434、435、436、437,B - 四轨单点,B - 四轨单点,360,792,1834562,37 + 0.0
H,9,"Hacking to the Gate","伊藤加奈子",50,,818,B - 二轨长条中间、三轨长条中间,B - 二轨单点、三轨单点,569,1160,2156782,54 - 0.2
H,9,"Hey Baby 你是我的","李佳薇",,,242、511、752,A - 四轨长条左滑,A - 三轨单点,441,934,1891102,40 - 0.2
,,"Turn Up","周汤豪",,红色,183、491,A - 一轨长条结尾,A - 四轨单点,289,587,1112554,35 + 0.0
,,"全部都是你","Dragon Pig",,红色,129、130、133、303、304、307,A - 三轨长条开始,A - 二轨长条开始,174,348,646699,26 + 0.3
,,"Crossing Field","LiSA",50,,1806,B - 一轨长条右滑、三轨长条右滑,B - 三轨长条左滑、五轨长条左滑,903,2047,3030162,70 + 0.0
S,7,"Sugar Rush","吴映洁",,红色,210、464,A - 三轨长条右滑,A - 三轨长条右滑,273,549,1167246,33 - 0.2
,,"Just Dance","王一博",,红色,434,B - 四轨单点,B - 二一轨滑键,244,524,1199247,34 - 0.5
,,"吸引定律","Awaken-F",,红色,330,B - 二轨单点,B - 三轨单点,197,413,798448,25 + 0.1
B,6,"Bad Romance","Lady Gaga",,红色,483,B - 二轨单点、四轨单点,B - 二一轨滑键、三四轨滑键,253,539,1447264,41 + 0.0
,,"雨后的咖啡","SNP",,红色,114、115、128、129、363、364,A - 四轨单点,A - 一轨单点,272,517,892208,24 + 0.2
,,"江南","林俊杰",,红色,117,A - 四轨单点,A - 一轨单点、三轨长条结尾,213,496,936934,34 - 0.2
,,"怎样说清此刻的心情","BY2",,红色,291、503,A - 二一轨滑条、四轨单点,A - 一轨长条结尾、三轨长条结尾,373,611,1069245,37 + 0.2
,,"大碗宽面","吴亦凡",,红色,83,A - 二轨单点,A - 四轨单点,164,383,764355,30 + 0.4
B,9,"Butter Fly","和田光司",,,794、796,B - 二轨长条开始、三轨长条开始,B - 一轨长条中间、四轨长条中间,643,1381,2475274,53 - 0.5
,,"芥末巧克力","杨丞琳",,红色,288,B - 二轨单点,B - 二轨单点、二轨单点（cool）,169,410,1077272,34 + 0.0
R,9,"Rookie","Red Velvet",,,456,B - 一轨长条开始、三轨单点,B - 一轨单点,350,892,1870850,42 + 0.2
L,6,"Look What You Made Me Do","Taylor Swift",,红色,250、251,B - 一轨单点,B - 一轨长条结尾、四轨长条结尾,210,530,1226758,37 - 0.4
,,"淘汰","陈奕迅",,红色,438,B - 一轨单点、四轨单点,B - 三轨长条中间,253,598,1005030,37 - 0.4
,,"克罗地亚狂想曲","马克西姆",,,757、759,B - 四轨单点,B - 二轨长条右滑,536,1058,2559473,47 - 0.3
H,7,"好想大声说喜欢你","BAAD",,红色,598,B - 三轨长条右滑,B - 四轨长条左滑,396,976,1560591,41 + 0.2
T,7,"TOUCH MY HEART","罗志祥",,红色,217、462,A - 一轨单点,A - 二轨长条开始,385,689,1182166,32 - 0.4
,,"朝代","排骨教主",,红色,128、301,A - 三轨长条结尾,A - 四轨长条左滑,227,477,987677,33 - 0.4
,,"Let Me Hear","Fear, and Loathing in Las Vegas",,,1229、1232,B - 二轨长条左滑,B - 二轨长条左滑、四轨单点,833,1687,3799516,70 - 0.2
G,10,"更新","Sabão",,,1053,B - 一轨单点、四轨单点,B - 二一轨滑条,696,1587,2875738,51 + 0.1
,,"恋爱幸运曲奇","AKB48",,红色,224,B - 二轨单点,B - 一轨长条右滑,148,420,855876,27 + 0.4
,,"素颜","许嵩/何曼婷",,红色,144、146,B - 四轨单点,B - 二轨单点,91,209,425776,22 - 0.4
Z,7,"再遇不到你这样的人","庄心妍",,红色,694,B - 一轨长条开始、三轨单点,B - 一轨长条结尾、三轨单点,376,868,1590635,45 - 0.3
S,10,"帅一个","罗志祥",,,244、668,A - 一轨长条中间、三四轨滑键,A - 二轨长条结尾、三轨长条右滑,486,1177,2233229,51 + 0.3
,,"狂欢夜","QQ炫舞原创",,红色,469,B - 一轨单点,B - 一轨单点、四轨长条结尾,160,524,1028245,32 + 0.4
,,"芒种","音阙诗听/赵方婧",,红色,319、325,B - 一轨长条结尾,B - 一轨单点,205,433,936545,36 + 0.3
,,"卡农","Pachelbel",,,168,A - 一轨单点、五轨单点,A - 一轨单点,472,925,1991355,42 + 0.0
S,9,"Sparkling Daydream","ZAQ",100,,338,A - 二轨长条开始、三轨长条开始,A - 四轨单点,639,1450,2801436,56 + 0.3
,,"我们的歌","王力宏",,,652,B - 三四轨滑条,B - 二轨单点,347,750,1394906,33 - 0.3
,,"心率","鹿晗",,红色,73,A - 二轨单点,A - 一轨长条结尾,115,270,500300,20 + 0.3
,,"Flamingo","米津玄師",,红色,449,B - 四轨单点,B - 三轨单点,270,579,1074429,32 - 0.1
,,"我乐意(QQ炫舞系列主题曲)","许嵩",,红色,352,B - 一轨长条开始,B - 一轨单点、四轨单点,276,662,1144979,33 + 0.3
B,6,"Baby","Justin Bieber",,红色,340,B - 二轨长条开始,B - 一轨单点、三轨单点,268,551,1126852,31 + 0.3
X,6,"星期天","张紫豪",,红色,435,B - 二轨长条结尾,B - 二轨单点、三轨单点（cool）,242,529,1090290,39 + 0.2
F,9,"flower of sorrow","花たん",,,519、1183,A - 四轨长条开始,A - 二一轨滑键、四轨单点,624,1347,2351924,44 + 0.0
,,"ME!","Taylor Swift/Brendon Urie",,红色,188,B - 二轨单点,B - 二轨单点、四轨单点（cool）,153,327,722634,31 - 0.3
,,"勋章","鹿晗",,红色,135,B - 四轨单点,B - 二轨单点,74,188,471910,21 - 0.5
L,6,"Love So Soft","Kelly Clarkson",,,149,A - 三轨单点,A - 一轨长条结尾、三轨单点,313,633,1371118,34 - 0.1
,,"漫时光","QQ炫舞",,红色,429,B - 一轨长条中间,B - 四轨长条结尾,297,579,1051773,30 + 0.1
J,7,"就是你","范玮琪",,,425、426、429,B - 二轨长条开始,B - 二轨长条左滑,384,898,1402911,36 - 0.1
I,8,"I am YOU","Stray Kids",,,193、195,A - 四轨单点,A - 二轨单点,503,896,1634146,43 - 0.2
X,6,"小星星","汪苏泷",100,红色,801,B - 二轨单点,B - 四轨长条左滑,454,980,1530412,41 - 0.5
,,"For You","高颖浠",,红色,166,A - 二轨长条中间,A - 二轨单点,210,455,892002,32 + 0.1
,,"Brave Heart","宮崎歩",,红色,735,B - 二一轨滑条,B - 二轨单点,557,1054,1840590,50 - 0.4
,,"Talk Dirty","Jason Derulo/2",,红色,287,B - 四轨长条结尾,B - 二轨单点、三轨单点,225,352,654424,22 - 0.2
*,10,"プライド革命","CHiCO with HoneyWorks",,,353、1201,A - 二轨单点、四轨长条开始,A - 二轨单点、四轨单点,829,1694,2773360,50 - 0.5
,,"OKAY","王嘉尔",,红色,447,B - 四轨长条开始,B - 三轨单点,240,528,935519,31 - 0.3
C,9,"长安诀","汪苏泷",,,349、1000,A - 一二轨滑条、四三轨滑条,A - 二轨单点、四轨单点,500,1229,2255233,55 + 0.1
,,"直到世界终结(困难版)","WANDS",,,951,B - 一轨单点、三轨单点,B - 一轨长条中间、三四轨滑键,452,1327,2679457,61 - 0.4
C,9,"Candy Pop","TWICE",,红色,933,B - 二轨单点、三轨单点,B - 二轨长条右滑、四轨长条结尾,483,1160,2041162,55 - 0.1
P,6,"Play It Cool","Steve Aoki/MONSTA X",,红色,122、122、245、245,A - 四轨单点（cool）、三轨单点,A - 三轨单点、三轨单点（cool）,231,494,1003669,31 + 0.0
*,7,"1234喜欢你","王欣宇",,,517、524、525、526,B - 一轨单点、四轨单点,B - 三轨单点,322,711,1483766,36 - 0.5
,,"带你去旅行","校长",,红色,429、429,B - 二轨单点（cool）、三轨单点,B - 二轨单点,247,492,1034033,34 + 0.3
V,10,"VORACITY","MYTH & ROID",,,1074,B - 二轨长条中间,B - 二轨单点、三轨单点,706,1614,2942192,48 - 0.2
,,"胡萝卜须","许嵩",,红色,126、126,A - 二轨单点（cool）、三轨单点,A - 一轨长条结尾、三轨长条结尾,354,735,1463515,45 - 0.3
G,6,"更发光","以团之名",,,611,B - 三轨单点,B - 四轨长条左滑,401,717,1297118,31 - 0.1
,,"空山新雨后","音阙诗听/锦零",,红色,264,B - 一轨长条开始,B - 三轨单点,166,354,750974,29 + 0.1
W,9,"无可取代","李雪岩",,,516,A - 三轨单点,A - 三四轨滑键,631,1297,2524856,48 - 0.2
