字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"不完美小孩","TFBOYS",,红色,330,B - 右边长条开始,B - 左边白球、右边白球,196,453,941641,29 + 0.3
Z,7,"再遇不到你这样的人","庄心妍",,,578,B - 左边单点、右边长条中间,B - 左边连点第 2 个、右边长条结尾,321,694,1507244,39 - 0.5
L,9,"恋のパーフェクト微分方程式","ユウノウミ",,,339、741,A - 左边连点第 2 个,A - 左边白球,452,854,2047851,39 - 0.3
T,6,"Timber","Pitbull",,,545,B - 左边连点第 1 个,B - 左边长条结尾、右边单点,236,610,1379987,36 + 0.2
,,"Boom Clap","Charli XCX",,红色,271、272,B - 右边单点,B - 左边单点、右边单点,97,325,829358,34 - 0.5
,,"一笑倾城","汪苏泷",,红色,358,B - 左边单点,B - 左边单点、右边单点,205,395,1037730,31 + 0.2
,,"心率","鹿晗",,红色,165、166,B - 左边单点,B - 右边长条结尾,98,275,523646,22 - 0.5
A,6,"爱投罗网","罗志祥",,,205,B - 左边单点,B - 左边白球、右边长条结尾,199,600,1399157,34 + 0.0
,,"动物森林","范玮琪",,红色,242、243,B - 右边单点,B - 右边长条结尾,124,297,840372,28 - 0.3
,,"DAY BY DAY","T-ara",,红色,217,B - 左边单点,B - 右边单点,148,303,959946,31 + 0.0
,,"逆战","张杰",,红色,109、109,A - 右边滑键（cool）、左边白球,A - 右边白球,184,359,1177867,38 - 0.5
,,"Maps","Maroon 5",,红色,147,A - 左边白球,A - 左边单点、右边白球,176,368,1182922,37 + 0.0
K,10,"空想神话","妖精帝国",,,77,A - 左边长条结尾、右边白球,A - 左边连点第 3 个、右边连点第 3 个,655,1236,2577243,47 + 0.3
,,"怎样说清此刻的心情","BY2",,红色,401,B - 左边长条开始,B - 左边长条结尾、右边长条结尾,293,502,962818,31 + 0.1
,,"黑暗骑士","林俊杰/五月天",,红色,190、190,A - 左边单点（cool）、右边单点,A - 左边单点、右边单点（cool）,314,594,1280024,36 + 0.4
,,"Loved","Highlight",,红色,247、248,B - 左边白球,B - 右边单点,221,421,1012062,28 - 0.5
L,8,"L.I.E","EXID",,,495、497,B - 右边连点第 1 个,B - 左边长条结尾、右边单点,339,611,1422312,38 - 0.5
D,6,"等我先说","夏天Alex",,,394,B - 左边白球,B - 左边长条结尾、右边长条结尾,231,462,1231710,32 + 0.4
,,"不醉不会","田馥甄",,,519、520、521、522,B - 右边单点,B - 左边白球,348,736,1570175,41 + 0.0
,,"Trouble Is a Friend","Lenka",,红色,433,B - 左边单点、右边长条结尾,B - 左边长条结尾、右边单点,249,598,1156482,35 - 0.2
,,"Monsters","Katie Sky",,红色,74、74,A - 右边单点（cool）、左边单点,A - 右边单点,172,350,768779,29 - 0.5
,,"Trap","Henry",,红色,102、102、253、253,A - 左边连点第 1 个（cool）、左边连点第 2 个,A - 左边连点第 2 个、左边连点第 3 个（cool）,159,310,607232,26 + 0.0
,,"Just Dance","王一博",50,红色,475、475、476、476,B - 右边连点第 2 个（cool）、左边连点第 1 个,B - 左边长条结尾、右边连点第 1 个、右边连点第 2 个（cool）,275,551,1238565,40 - 0.5
,,"娃娃脸","后弦",,红色,99,A - 右边长条开始,A - 右边长条结尾,141,281,681934,19 - 0.5
B,6,"Bo Peep Bo Peep","T-ara",,红色,431、431,B - 右边连点第 2 个（cool）、左边单点,B - 左边白球、左边单点（cool）,232,487,1346532,43 - 0.5
W,6,"Wolves","Selena Gomez/Marshmello",,,147、473,A - 左边白球、右边长条中间,A - 左边长条中间、右边白球,365,743,1431999,37 + 0.2
,,"Bad Romance","Lady Gaga",,红色,292,B - 左边白球、右边单点,B - 左边连点第 3 个,180,362,1259024,35 + 0.0
W,7,"我们的歌","王力宏",,,402,B - 左边滑键,B - 右边滑键,340,672,1717886,42 - 0.5
,,"浪漫惊喜","kent王健",,红色,174、175、176、178,B - 左边单点,B - 左边白球,106,215,595463,28 + 0.0
J,8,"JELLY JELLY","TWICE",,,520,B - 左边白球、右边长条结尾,B - 右边单点,362,672,1777344,36 - 0.2
P,10,"Play 我呸","蔡依林",,,576、598,B - 左边单点、右边长条中间,B - 左边长条结尾、右边单点,474,931,2279665,45 + 0.0
X,6,"炫舞国度","BOX.COM",,,388、389,B - 左边单点,B - 左边单点、右边单点,217,439,1358474,35 - 0.1
G,6,"给我一个理由忘记","A-Lin",,红色,266,B - 左边滑键、右边长条中间,B - 左边单点、右边长条结尾,245,680,1292579,39 + 0.4
Y,8,"YESTERDAY","Block B",,,565、567,B - 右边连点第 1 个,B - 左边白球,309,748,1644357,34 + 0.4
,,"狂欢夜","QQ炫舞原创",,红色,428,B - 右边长条结尾,B - 右边白球、左边单点（cool）,158,481,1029176,35 - 0.2
C,9,"CLEAR","坂本真綾",,,248、551,A - 左边白球,A - 左边单点、右边单点,399,851,2092253,39 - 0.4
,,"恋爱幸运曲奇","AKB48",,红色,84,A - 左边长条开始,A - 左边白球,168,405,852475,27 - 0.5
,,"有点甜","汪苏泷 / BY2",,红色,230,B - 左边连点第 1 个,B - 左边白球,169,356,960394,31 - 0.3
B,8,"Bubble Pop!","泫雅",,,219、237,A - 左边单点,A - 左边长条结尾、右边白球,321,597,1608476,36 - 0.5
M,6,"Mimimi","Serebro",,红色,381、381,B - 左边单点（cool）、右边白球,B - 左边白球、左边单点（cool）,255,466,1339798,42 - 0.5
W,9,"无可取代","李雪岩",,,134,A - 右边白球,A - 右边滑键,534,1170,2557408,46 - 0.5
,,"Doraradora","Fujigami Mai",,,205,A - 左边单点,A - 右边白球,259,518,1343583,32 + 0.1
,,"当你","林俊杰",,,341,B - 左边长条中间、右边白球,B - 右边单点,206,489,1319029,32 - 0.4
S,9,"SWEET TALKER","TWICE",50、100,,814、817,B - 左边单点,B - 左边长条中间、右边长条中间,497,1073,2042894,41 + 0.0
,,"淋雨一直走","张韶涵",,红色,262、262,B - 右边单点（cool）、左边单点,B - 左边白球,166,351,830377,37 + 0.3
M,8,"觅","王喆",,,623,B - 右边白球,B - 左边连点第 1 个,285,670,1868741,39 + 0.0
G,6,"Good Time","Owl City",,红色,330,B - 左边长条结尾,B - 右边滑键,238,431,1157884,36 - 0.2
,,"明天，你好","牛奶咖啡",,红色,189、189,B - 左边连点第 1 个（cool）、左边连点第 2 个,B - 右边白球,167,331,788402,28 + 0.3
W,6,"望","张碧晨/赵丽颖",,红色,413、413,B - 左边连点第 2 个（cool）、右边白球,B - 左边白球,193,587,1267767,40 - 0.4
K,9,"卡农","Pachelbel",100,,881,B - 左边长条结尾、右边滑键,B - 右边单点,426,931,2192848,41 - 0.2
X,6,"小星星","汪苏泷",,,606、607,B - 左边长条结尾,B - 右边白球,307,679,1433797,37 + 0.2
X,6,"修炼爱情","林俊杰 ",,,341,B - 左边滑键、右边长条开始,B - 左边单点、右边单点,218,727,1422978,35 - 0.5
D,9,"Dear Future Husband","Meghan Trainor",,,551,B - 右边白球,B - 右边滑键,336,852,1929880,35 - 0.2
*,7,"1234喜欢你","王欣宇",,,492、493,B - 右边单点,B - 右边白球,305,650,1549219,40 + 0.0
,,"专属味道","汪苏泷/林希儿",,,171、384,A - 左边连点第 1 个,A - 左边单点、右边单点,289,603,1273957,32 - 0.5
,,"Sometimes","Kat Graham",,红色,27、27,A - 右边单点（cool）、左边白球,A - 左边白球、左边单点（cool）,210,366,933854,34 + 0.1
,,"Real Change","Masetti",,红色,320,B - 左边单点,B - 右边白球,172,348,1086904,30 + 0.0
,,"回忆那么伤","孙子涵",,红色,340,B - 左边连点第 1 个,B - 右边连点第 3 个,155,414,1004860,33 - 0.5
I,7,"I Want My Tears Back","NIGHT WISH",,,508,B - 左边长条中间、右边单点,B - 左边白球、右边白球,289,733,1987197,44 + 0.4
,,"空山新雨后","音阙诗听/锦零",,红色,233、233,B - 左边单点（cool）、右边单点,B - 左边白球、左边单点（cool）,127,293,788640,33 - 0.3
G,6,"歌谣","李荣浩",,,459、460、461,B - 右边滑键,B - 左边长条结尾、右边长条结尾,260,574,1411379,34 + 0.2
B,7,"表白","萧亚轩",,红色,527,B - 左边长条中间,B - 左边单点,233,569,1364771,38 + 0.2
,,"The Fire","吉克隽逸",,红色,147、323,A - 左边单点,A - 左边单点,238,456,1008876,37 - 0.1
X,6,"幸福的节拍","杨丞琳",,红色,196、196,A - 左边滑键（cool）、右边滑键,A - 左边长条结尾、右边长条结尾,259,584,1293520,37 - 0.5
C,9,"Crossing Field","LiSA",,,1059,B - 左边白球,B - 右边长条中间,509,1142,1885595,34 - 0.2
H,6,"好想告诉你","谷泽智文",,红色,305、306、307,B - 左边滑键,B - 右边滑键,232,561,1288645,35 + 0.1
,,"爱的就是你","刘佳",,红色,221、222,B - 右边单点,B - 右边连点第 3 个,152,299,857635,28 - 0.5
S,6,"Sky","Steerner",,红色,82,A - 右边单点,A - 左边单点,192,548,1288259,37 + 0.0
W,6,"What Do You Mean?","Justin Bieber",,红色,420、420,B - 左边连点第 1 个（cool）、左边连点第 2 个,B - 左边白球,200,462,1291839,37 + 0.0
,,"Long Kiss Good Bye","Halcali",,,415、416,B - 右边单点,B - 左边连点第 2 个,296,675,1357238,33 + 0.4
,,"剩下的盛夏","TFBOYS",,红色,418,B - 左边单点,B - 左边白球,221,447,923910,33 + 0.0
A,9,"曖昧スクリーム","平野绫",,,446、447、452、453、909,A - 左边长条开始,A - 左边长条开始、右边长条结尾,592,1143,2207634,36 - 0.1
,,"下个，路口，见","李宇春",,红色,116、118、124、290、292、298,A - 左边滑键、右边单点,A - 左边单点、右边单点,189,377,717932,26 + 0.0
,,"Turn Up","周汤豪",,红色,152、397,A - 右边单点,A - 左边白球,231,467,1053384,31 + 0.0
,,"淘汰","陈奕迅",,红色,272,B - 右边单点,B - 右边连点第 2 个,200,472,898943,31 - 0.4
,,"万有引力","汪苏泷",,红色,77,B - 左边长条中间、右边长条中间,B - 左边单点、右边白球,62,185,505233,27 - 0.4
V,10,"Victory(困难版)","Bond",,,947,B - 左边长条结尾,B - 左边单点、右边单点,548,990,3248529,55 + 0.3
N,9,"你，有没有过","林俊杰",100,,741,B - 左边单点、右边白球,B - 左边长条中间、右边单点,423,995,2084306,45 + 0.4
Z,9,"仲夏","王北车",,,634,B - 左边长条中间、右边白球,B - 左边单点,436,1014,2015946,35 + 0.0
,,"因你而在","林俊杰",,红色,177,A - 右边白球,A - 左边长条中间、右边长条中间,239,502,1064290,34 - 0.5
R,9,"Rolling Star","YUI",20,,865、866,B - 左边单点,B - 右边白球,423,927,1711338,39 + 0.0
,,"丑八怪","薛之谦",,红色,129、379,A - 左边白球,A - 右边长条中间,204,536,1294857,38 + 0.1
,,"微微一笑很倾城","杨洋",,,366,B - 右边连点第 1 个,B - 右边白球,229,522,1210987,32 - 0.3
,,"再见安打","唐禹哲",,红色,169,B - 左边单点、右边单点,B - 右边单点,91,276,660618,26 - 0.5
,,"夜空中最亮的星","逃跑计划",,红色,360,B - 左边连点第 1 个、右边长条结尾,B - 右边白球,292,568,1060481,35 - 0.4
,,"桃花旗袍","BY2",100,红色,251,B - 左边白球,B - 左边白球、右边长条中间,142,355,936336,38 - 0.1
W,6,"What Makes You Beautiful","One Direction",50,红色,496,B - 右边长条开始,B - 左边长条结尾、右边长条结尾,223,563,1159012,34 + 0.2
W,9,"Wake up!","AAA",,红色,441,B - 右边白球,B - 左边长条结尾、右边长条结尾,242,747,1949753,52 - 0.5
S,7,"什么什么","蔡依林",50,,157、158、159、160、161、387、388、389、390、391,A - 右边连点第 1 个,A - 左边单点,264,584,1526116,36 - 0.5
,,"凉凉","杨宗纬/张碧晨",,红色,342,B - 左边白球,B - 右边单点,158,468,790089,28 + 0.0
,,"Flower Dance","DJ OKAWARI",,红色,179,B - 右边白球,B - 左边长条结尾,129,272,630941,28 - 0.5
*,9,"プライド革命","CHiCO with HoneyWorks",,,346、762,A - 左边单点、右边单点,A - 右边白球,401,823,1976643,38 + 0.0
B,9,"Butter Fly","和田光司",,,913、923,B - 左边单点、右边长条中间,B - 左边长条中间、右边连点第 3 个,469,1031,2145736,45 + 0.2
,,"漫时光","QQ炫舞",,,409,B - 右边单点,B - 左边长条结尾、右边长条结尾,261,445,1065576,26 + 0.4
B,9,"Be My Baby","Wonder Girls",,,274、275、276、277,A - 右边滑键,A - 左边长条结尾、右边白球,483,767,1845946,37 - 0.5
,,"走着走着就散了","庄心妍",,红色,405,B - 右边白球,B - 左边长条中间、右边长条中间,236,512,1119754,33 - 0.2
D,9,"单线告别","接个吻，开一枪/刘至佳",,,290、601,A - 左边长条结尾,A - 左边单点,368,710,1661774,35 - 0.2
,,"FIVE","Apink",,红色,183、327,A - 左边单点、右边单点,A - 左边单点,239,402,1005158,30 + 0.0
A,7,"Apple Is A","T-ara",,红色,127、128、128、130,A - 右边连点第 1 个,A - 右边单点、右边单点（cool）,192,385,1047010,37 + 0.0
,,"小情歌","苏打绿",,红色,341、342、342、346,B - 右边单点,B - 左边白球、左边单点（cool）,186,458,1069733,32 + 0.4
B,6,"白骑士","QQ炫舞原创",,红色,353,B - 左边长条中间,B - 右边连点第 2 个,298,605,1207304,32 + 0.0
,,"Hola","Flo Rida/Maluma",,红色,41,A - 左边白球,A - 右边白球,156,295,868127,30 + 0.0
Y,9,"邮递马车","Hermann Necke",,红色,249,B - 左边长条结尾、右边长条开始,B - 左边单点、右边长条结尾,202,512,1376376,40 - 0.2
Y,6,"原点","徐梦圆",,,216、217、218、219、220、692、693、694、695、696,A - 右边连点第 1 个,A - 右边连点第 1 个,448,924,1457529,32 + 0.1
,,"棉花糖","至上励合",,红色,132、134,B - 右边单点,B - 左边白球,95,228,638235,24 + 0.0
B,7,"Bing Bing","Crayon Pop",,,576、577,B - 右边滑键,B - 左边滑键、右边长条结尾,373,720,1759435,33 - 0.1
,,"炫舞","陈伟霆",,,598,B - 左边滑键,B - 左边长条结尾、右边长条结尾,354,682,1119580,29 + 0.1
,,"You Are","GOT7",100,红色,345,B - 左边单点、右边长条结尾,B - 左边单点、右边长条结尾,188,443,802599,34 - 0.4
M,8,"马上上马","庄园",,,532,B - 右边单点,B - 左边白球,375,665,1847333,46 + 0.0
G,10,"Get It On The Floor","DMX",,,31,A - 右边长条结尾,A - 左边白球,447,836,2195427,41 + 0.2
,,"直到世界终结 ","WANDS",,红色,147,B - 右边长条中间,B - 右边滑键,122,363,833334,32 - 0.4
B,9,"Bright Burning Shout","T.M.Revolution",,,321、944,A - 右边单点,A - 左边长条中间,547,1130,2327376,37 + 0.4
J,9,"禁绝边境线","Walküre",,,665,B - 左边长条中间、右边单点,B - 左边单点,399,971,2151768,47 - 0.2
*,10,"123我爱你(困难版)","新乐尘符",,,309,A - 左边单点,A - 左边单点、右边单点,430,896,2182719,42 + 0.0
,,"绿光","孙燕姿",,红色,389,B - 左边单点、右边单点,B - 左边白球,171,437,1091908,41 - 0.5
,,"吸引定律","Awaken-F",,红色,115、257,A - 左边单点,A - 右边白球,167,340,863885,27 + 0.0
,,"让我心动","Apink",,红色,332,B - 左边滑键,B - 左边白球,173,422,1092494,33 - 0.1
,,"唐人","孙子涵",100,红色,65,A - 左边白球,A - 左边单点、右边长条开始,136,377,910328,29 + 0.2
R,10,"Remember","FTISLAND",,,409、945,A - 左边滑键、右边长条开始,A - 左边长条结尾、右边长条结尾,707,1277,2466191,39 - 0.3
B,7,"Brave Heart","宮崎歩",,,384,A - 右边白球,A - 左边单点、右边单点,438,746,1529026,33 + 0.2
J,9,"Just Like Fire","P!nk",,,721,B - 左边长条结尾、右边白球,B - 右边白球,313,766,1990339,43 + 0.0
,,"我的朋友","TFBOYS",,,596,B - 左边长条中间、右边长条开始,B - 右边滑键,454,909,2071240,46 - 0.3
,,"不朽之罪","双笙/玄觞",,红色,253,B - 右边长条开始,B - 右边白球,118,309,806213,30 + 0.1
S,7,"Sugar Rush","吴映洁",,红色,209、210,A - 右边长条中间,A - 左边长条结尾,273,548,1235709,36 + 0.1
G,9,"孤注一掷的舞者","DOES",,,462、463、464、465、466、467,B - 右边单点,B - 右边连点第 3 个,432,800,1858203,42 - 0.5
Q,8,"青鸟","生物股长",,,502,B - 右边滑键,B - 右边白球,357,779,2217486,46 - 0.5
,,"触动心触动爱","BY2",,红色,39,A - 左边单点,A - 右边滑键,116,270,770131,29 + 0.4
F,9,"Fight For You","潘玮柏",,,259,A - 左边连点第 1 个,A - 左边长条结尾、右边长条结尾,498,1104,1996746,40 + 0.0
I,7,"I'm OK","小青龙",,红色,493、493、494、494,B - 右边单点（cool）、左边白球,B - 左边连点第 2 个、右边白球（cool）,218,590,1578586,50 + 0.0
W,6,"Wonderland","gugudan",,红色,308、308,B - 右边连点第 2 个（cool）、左边滑键,B - 左边白球,215,411,1095708,39 + 0.0
,,"没有你的冬季","阿云嘎",,,497,B - 左边单点、右边单点,B - 左边单点、右边单点,346,643,1350166,35 + 0.0
,,"带我走","杨丞琳",,,133、518,A - 右边单点,A - 左边长条结尾、右边长条结尾,344,719,1211432,28 + 0.1
,,"我的梦","张靓颖",,红色,142、331,A - 左边单点,A - 左边单点、右边单点（cool）,194,515,1051661,37 - 0.5
,,"Badass Woman","Meghan Trainor",,红色,156、157、157、326、327、327,A - 左边单点,A - 右边单点、左边单点（cool）,225,467,836971,28 - 0.4
,,"All Mine","f(x)",,红色,347,B - 右边白球,B - 左边单点,314,611,1010312,29 - 0.3
,,"长腿叔叔","袁娅维",,红色,309,B - 左边滑键、右边单点,B - 左边长条结尾、右边长条结尾,176,417,853383,33 - 0.2
,,"Booty Music","Git Fresh",,红色,386,B - 左边白球,B - 左边长条结尾、右边白球,193,454,1088434,32 + 0.0
,,"芥末巧克力","杨丞琳",,红色,237、237,B - 左边连点第 1 个（cool）、左边连点第 2 个,B - 右边白球,145,355,1139529,37 + 0.0
D,10,"大艺术家(困难版)","蔡依林",,,735、736、737、738,B - 左边连点第 1 个,B - 右边单点,612,1103,2314395,50 + 0.0
,,"可以了","陈奕迅",,红色,338、338,B - 右边单点（cool）、左边单点,B - 右边连点第 2 个、右边连点第 3 个（cool）,220,428,1044712,32 + 0.0
K,6,"KNOCK KNOCK","TWICE",,红色,147、148,A - 右边滑键,A - 左边单点,190,507,1172139,33 + 0.1
R,8,"Radiant","TANGRAM",,,261、266、672、677,A - 左边单点、右边长条开始,A - 右边长条开始,415,858,1680502,39 + 0.4
S,10,"帅一个","罗志祥",,,196、197、479、480,A - 左边滑键,A - 左边单点,349,785,2074642,48 + 0.0
,,"全部都是你","Dragon Pig",,红色,226、240,B - 左边长条开始,B - 左边滑键、右边单点,168,336,746374,28 + 0.0
S,9,"Sparkling Daydream","ZAQ",,,672、673、676、677、678、679,B - 右边滑键,B - 左边白球,352,820,2253311,43 - 0.5
T,8,"to the beginning","Kalafina",,,866,B - 右边长条开始,B - 左边长条结尾、右边长条结尾,625,949,1667763,37 + 0.3
,,"我们是太阳","筷子兄弟",,,156、239、444、527,A - 左边单点,A - 右边长条中间,304,618,1014592,26 + 0.3
,,"勋章","鹿晗",,红色,211,B - 右边白球,B - 右边长条结尾,155,322,687709,28 + 0.0
M,7,"Magic Dream","APPRIL",,红色,361,B - 左边白球,B - 左边单点,287,539,1423225,40 + 0.0
B,6,"Bright Spring","M2U",,,183,A - 右边长条中间,A - 左边连点第 2 个,243,538,1242719,32 + 0.4
M,10,"MY舞☆TONIGHT","Aqours",,,348,A - 左边长条开始、右边单点,A - 左边滑键、右边单点,516,1083,2759780,40 + 0.1
,,"Synchronise","INFINITE",,红色,541,B - 左边长条中间、右边长条中间,B - 左边白球,294,604,1066886,31 - 0.2
,,"漫过","吴映香",,红色,141、439,A - 右边长条结尾,A - 左边白球、左边单点（cool）,266,551,1057104,33 - 0.5
,,"Just Dance","Lady GaGa",,,80,A - 右边白球,A - 左边滑键,254,539,1144210,29 + 0.4
W,7,"我只喜欢你","胡夏",,,479、480,B - 右边单点,B - 左边连点第 1 个,248,651,1410147,31 + 0.1
,,"七つ紅葉灯","木制みゅーと",,,697、700,B - 右边白球,B - 左边连点第 1 个,581,1161,2992921,56 + 0.0
,,"Talk Dirty","Jason Derulo/2",,红色,245,B - 左边长条开始,B - 左边单点,201,296,671888,23 + 0.1
L,8,"凉凉(困难版)","杨宗纬/张碧晨",,,1042,B - 左边长条结尾,B - 左边单点,671,1333,2491663,44 - 0.2
R,6,"如果当时","胡夏",,红色,363,B - 左边长条结尾,B - 左边单点,235,510,1105086,35 - 0.5
B,6,"Boys","Charli XCX",,,363,B - 左边长条中间,B - 右边滑键,291,598,1239821,30 + 0.3
L,10,"林中鸟(困难版)","葛林",,蓝色,419、420,A - 右边白球,A - 左边滑键、右边单点,543,1243,2689562,36 + 0.4
W,9,"Why So Lonely","Wonder Girls",,,486,B - 左边长条中间、右边白球,B - 左边白球,456,1078,2172295,46 - 0.5
,,"我们都一样","张杰",,,320,B - 左边连点第 1 个,B - 左边长条开始,198,372,1055522,27 + 0.3
F,9,"浮年盏","刘珂矣",20、100,,98,A - 左边长条开始、右边滑键,A - 右边白球,442,931,1806940,33 + 0.1
,,"无名之辈","陈雪燃",,红色,282、282、283、283、284、284、285、285,B - 右边单点（cool）、左边单点,B - 右边白球、左边单点（cool）,158,339,891080,39 - 0.3
,,"Señorita","Shawn Mendes/Camila Cabello",,红色,150,B - 左边单点,B - 左边白球,140,379,910868,30 - 0.5
Z,6,"着陆","白举纲",,红色,323,B - 右边连点第 1 个,B - 右边长条中间,220,557,1210565,32 + 0.2
Q,7,"倾杯","SING女团",,,444,B - 左边单点、右边滑键,B - 左边单点,302,558,1310591,34 + 0.3
,,"CALL ME BABY","EXO",,红色,141,A - 右边白球,A - 右边白球,173,412,955110,33 + 0.0
,,"New Divide","Linkin Park",,红色,436,B - 右边滑键,B - 右边单点,299,489,1021413,31 + 0.1
N,7,"牛奶面包","杨紫/鱿小鱼",,红色,149、149、332、332,A - 左边单点（cool）、右边白球,A - 左边白球、右边连点第 1 个（cool）,267,450,1306400,43 + 0.0
,,"Carry on","Monsta X",,红色,309,B - 右边连点第 1 个,B - 右边白球,203,364,864420,29 - 0.1
S,9,"SHIORI","ClariS",,,638,B - 左边白球、右边白球,B - 左边白球、右边白球,419,1011,2527931,52 - 0.5
,,"德寿宫石墙路的春天","允儿/10cm",,红色,97、97,A - 右边单点（cool）、右边白球,A - 右边白球,184,342,875113,34 + 0.0
W,6,"我很快乐","刘惜君",,红色,109、267、339,A - 右边白球,A - 左边单点,203,447,1120088,34 - 0.5
G,8,"工笔","Awaken-F",,,116、484,A - 右边白球,A - 右边长条开始,273,641,1829950,39 + 0.3
*,9,"ペガサス幻想","MAKE-UP",,,301,B - 左边长条中间,B - 左边单点、右边单点,287,737,1836921,39 - 0.3
X,7,"虚拟","陈粒",,红色,375、376、376、376、376,B - 左边单点,B - 左边白球、右边单点（cool）,266,534,1249378,41 - 0.5
S,6,"SHOOT IT OUT","GENERATIONS from EXILE TRIBE/THE RAMPAGE from EXILE TRIBE",,,219、552,A - 左边长条开始,A - 左边白球,280,678,1416901,33 + 0.0
M,6,"没有选择","胡彦斌",,,364,B - 左边长条开始,B - 左边长条结尾、右边滑键,261,517,1378713,33 - 0.5
