首字母,等级,歌名,歌手,bgm路径,无技能裸分,极限技能裸分,半cb,全cb,分数变化
A,9,"曖昧スクリーム","平野绫",100175,1933620,2145499,592,1143,
L,9,"恋のパーフェクト微分方程式","ユウノウミ",103008,1785030,1980867,452,854,
,,"Synchronise","INFINITE",101312,903526,1002466,294,604,
W,9,"Why So Lonely","Wonder Girls",101418,1886781,2093541,456,1078,
,,"DAY BY DAY","T-ara",100633,795522,882856,148,303,
,,"不醉不会","田馥甄",100636,1351116,1499214,348,736,
,,"Just Dance","Lady GaGa",100236,986024,1094113,254,539,
,,"不完美小孩","TFBOYS",100155,786240,872392,196,453,
,,"Trap","Henry",100919,479700,532249,159,310,
,,"因你而在","林俊杰",100346,886613,983785,239,502,
C,9,"CLEAR","坂本真綾",101359,1825161,2025435,399,851,
S,9,"Sparkling Daydream","ZAQ",100613,1964157,2179735,352,820,
W,6,"Wolves","Selena Gomez/Marshmello",101099,1232569,1367611,365,743,
,,"逆战","张杰",100152,984152,1092244,184,359,
,,"Loved","Highlight",103389,866203,961213,221,421,
,,"勋章","鹿晗",100703,539201,598292,155,322,
,,"桃花旗袍","BY2",100494,735319,815986,142,355,100
,,"Monsters","Katie Sky",103460,625937,694550,172,350,
R,9,"Rookie","Red Velvet",101722,1445847,1604540,240,608,
,,"Just Dance","王一博",100887,1039428,1153399,275,551,50
H,8,"Hey Baby 你是我的","李佳薇",101728,1634360,1813720,351,742,
,,"我们都一样","张杰",100059,908518,1008264,198,372,
S,6,"是我","张韶涵",102671,1113840,1235737,374,785,
,,"Talk Dirty","Jason Derulo/2",101340,549367,609606,201,296,
M,6,"没有选择","胡彦斌",100473,1191684,1322459,261,517,
D,10,"大艺术家(困难版)","蔡依林",102263,2007785,2227839,612,1103,
,,"Bad Romance","Lady Gaga",100244,1073384,1191316,180,362,
,,"FIVE","Apink",100560,846040,938873,239,402,
,,"CALL ME BABY","EXO",100196,780078,865608,173,412,
J,7,"就是你","范玮琪",102979,1153971,1280271,363,800,
,,"狂欢夜","QQ炫舞原创",101511,849784,942932,158,481,
T,7,"TOUCH MY HEART","罗志祥",102980,1059968,1176072,372,666,
S,9,"SWEET TALKER","TWICE",101686,1777243,1971953,497,1073,50、100
W,7,"我们的歌","王力宏",100245,1483313,1646047,340,672,
,,"恋爱幸运曲奇","AKB48",100476,712933,791082,168,405,
,,"你的微笑","飞儿乐团",100530,1038713,1152520,327,625,
D,9,"Dear Future Husband","Meghan Trainor",101745,1684891,1869635,336,852,
,,"Blue Skies","Lenka",100389,924833,1026220,184,497,
P,6,"Play It Cool","Steve Aoki/MONSTA X",103382,901602,1000566,180,382,
,,"Real Change","Masetti",102931,927784,1029665,172,348,
X,6,"星期天","张紫豪",103384,862888,957573,183,398,
*,7,"1234喜欢你","王欣宇",102809,1333670,1479978,305,650,
M,8,"觅","王喆",103517,1623050,1801231,285,670,
V,10,"Victory(困难版)","Bond",102265,2840760,3152792,548,990,
F,10,"Flower Dance(困难版)","DJ OKAWARI",102256,1632046,1811251,259,647,
,,"The Fire","吉克隽逸",103372,813163,902312,238,456,
X,6,"小星星","汪苏泷",100533,1234129,1369402,307,679,
,,"空山新雨后","音阙诗听/锦零",103363,625573,694202,127,293,
J,9,"Just Like Fire","P!nk",100620,1726439,1915904,313,766,
,,"Doraradora","Fujigami Mai",100480,1160653,1288021,259,518,
C,9,"courage","戸松遥",103334,1628640,1807140,436,910,
H,6,"好想告诉你","谷泽智文",102984,1102478,1223376,232,561,
,,"你的声音不会消失","fumika",100513,1026025,1138677,173,399,
I,8,"I Knew You Were Trouble","Taylor Swift",100601,1255293,1392875,427,689,
,,"Let Me Hear","Fear, and Loathing in Las Vegas",103203,3019484,3350957,608,1226,
,,"我的梦","张靓颖",100708,863252,957838,194,515,
W,9,"Whistle(困难版)","Flo Rida",102230,2123563,2356256,527,1241,
,,"李白","李荣浩",100014,1071603,1189254,229,435,
,,"后会无期","徐良/汪苏泷",100674,440102,488334,115,251,
,,"Turn Up","周汤豪",103387,888966,986447,231,467,
,,"全部都是你","Dragon Pig",101362,597870,663414,168,336,
,,"太阳雨","QQ炫舞原创",101185,326833,362676,87,176,
,,"Long Kiss Good Bye","Halcali",100607,1171092,1299427,296,675,
,,"Animals","Maroon 5",100085,590499,655222,180,324,
T,6,"太过爱你","MC梦",100569,1026103,1138446,277,676,
,,"一笑倾城","汪苏泷",100076,872248,967967,205,395,
G,6,"歌谣","李荣浩",100541,1218516,1352190,260,574,
,,"帝都","萌萌哒天团",100055,742118,823572,112,325,
Y,6,"原点","徐梦圆",103306,1263717,1401977,448,924,
X,8,"響喜乱舞","GARNiDELiA",103431,1699152,1885662,373,720,
,,"下个，路口，见","李宇春",100680,580034,643565,189,377,
,,"猫步轻俏","AOA",100194,538902,598046,134,232,
I,8,"I am YOU","Stray Kids",103414,1289756,1431168,390,684,
Z,9,"仲夏","王北车",103546,1762254,1955366,436,1014,
*,9,"プライド革命","CHiCO with HoneyWorks",103426,1721967,1910859,401,823,
,,"怎样说清此刻的心情","BY2",100203,797875,885260,293,502,
W,9,"五等分の気持ち","花泽香菜/竹達彩奈/伊藤美来/佐倉綾音/水瀬いのり",103422,1648907,1829815,383,767,
,,"Boom Clap","Charli XCX",100367,651677,723145,97,325,
,,"LOVE IT LIVE IT","YDPP",102087,873795,969618,192,454,
U,9,"UNION","OxT",103026,1868958,2073856,514,1020,
,,"Maps","Maroon 5",100052,986674,1095029,176,368,
,,"Love Story","Taylor Swift",100631,1135862,1260462,298,550,
B,9,"Bright Burning Shout","T.M.Revolution",103424,2039128,2262643,547,1130,
R,9,"Rolling Star","YUI",100608,1481571,1643835,423,927,20
G,9,"孤注一掷的舞者","DOES",103415,1609790,1786364,432,800,
S,7,"什么什么","蔡依林",101315,1319799,1464666,264,584,50
F,10,"Fanfare","Sumika",103432,2356978,2615141,694,1463,
,,"Getaway","Syn Cole",103488,1027702,1140278,258,643,
,,"再见安打","唐禹哲",100683,525369,582986,91,276,
,,"两小无猜","小木",103507,1014390,1125636,235,523,
B,7,"白衣少年","许诗茵",103514,1436474,1593938,361,792,
,,"Badass Woman","Meghan Trainor",103489,695773,771950,225,467,
D,9,"单线告别","接个吻，开一枪/刘至佳",103636,1443234,1601541,368,710,
M,8,"马上上马","庄园",103510,1592851,1767698,375,665,
Z,10,"直到世界终结(困难版)","WANDS",100522,1913184,2122921,454,1054,
,,"最好的天气","郭采洁",103401,876733,972838,197,489,
K,10,"空想神话","妖精帝国",100167,2249871,2496480,655,1236,
D,6,"等我先说","夏天Alex",100510,1059357,1175628,231,462,
I,7,"I'm OK","小青龙",103509,1328938,1474776,218,590,
G,10,"冠世一战","言和",103202,2722070,3020478,570,1463,50
R,10,"Remember","FTISLAND",103433,2162316,2399215,707,1277,
B,6,"Bo Peep Bo Peep","T-ara",100187,1131481,1255653,232,487,
,,"藏不住的心跳","朱主爱",103468,774618,859583,198,388,
P,10,"Play 我呸","蔡依林",100205,1984125,2201789,474,931,
B,6,"Bon Bon(给他一击)","强东玥",103515,946855,1050706,259,482,
C,9,"Crash","The Primitives",103022,1588951,1763168,335,836,
B,6,"白骑士","QQ炫舞原创",101330,1037582,1151278,298,605,
Q,7,"群居动物","胡66",103531,1236079,1371708,293,571,
A,8,"Angel With A Shotgun","Nightcore",103543,1264718,1403284,331,769,
B,6,"Birthday","罗志祥",103537,1029223,1142056,322,557,
,,"带我走","杨丞琳",103540,1048086,1162810,344,719,
X,8,"幸福症候群","nanawoakari",103320,1299987,1442703,220,523,
W,9,"无可取代","李雪岩",100426,2233725,2478642,534,1170,
,,"我的朋友","TFBOYS",103722,1795287,1992139,454,909,
,,"娃娃脸","后弦",100247,583817,647852,141,281,
*,10,"123我爱你(困难版)","新乐尘符",102233,1901432,2110018,430,896,
M,7,"Magic Dream","APPRIL",103539,1211067,1343971,287,539,
W,7,"我只喜欢你","胡夏",103532,1222299,1356313,248,651,
,,"雨后的咖啡","SNP",103400,794274,881294,249,483,
G,6,"孤身","徐秉龙",103612,795015,882159,236,452,
R,8,"Radiant","TANGRAM",103516,1453088,1612316,415,858,
,,"淋雨一直走","张韶涵",100519,637728,707649,166,351,
,,"浪漫惊喜","kent王健",100481,446953,495994,106,215,
K,10,"克罗地亚狂想曲","马克西姆",100809,2170675,2409194,395,719,
B,8,"Bubble Pop!","泫雅",100564,1394003,1547028,321,597,
C,8,"宠坏","李俊佑/小潘潘",103544,1280110,1420556,325,602,
,,"Pink Magic","艺声",103598,935324,1037904,231,477,
,,"大碗宽面","吴亦凡",103467,608855,675603,130,311,
F,7,"Focus","TANGRAM",103521,1283672,1424617,210,518,
M,6,"Mimimi","Serebro",100427,1130051,1254076,255,466,
W,8,"我的告白","王栎鑫/周文杰",103409,1462019,1622339,454,757,
,,"All Mine","f(x)",103817,858091,952001,314,611,
R,6,"如果当时","胡夏",103617,922103,1023189,235,510,
,,"没有你的冬季","阿云嘎",103052,1162187,1289584,346,643,
Z,6,"着陆","白举纲",103599,1039779,1153784,220,557,
,,"BEE","Rothy",103576,681148,755861,176,338,
,,"当你","林俊杰",100357,1139307,1264334,206,489,
,,"有点甜","汪苏泷 / BY2",100542,797563,885099,169,356,
,,"明天，你好","牛奶咖啡",100520,643487,714057,167,331,
,,"回忆那么伤","孙子涵",100585,832481,923799,155,414,
,,"朝代","排骨教主",103520,792051,878971,166,351,
,,"春、恋桜。","majiko",103487,683501,758418,171,380,
N,6,"那时正好","赵政豪",103416,1070563,1187781,256,702,
,,"Señorita","Shawn Mendes/Camila Cabello",103702,754403,837145,140,379,
H,6,"好奇的猫","胡66",103687,982189,1089885,277,526,
,,"七つ紅葉灯","木制みゅーと",103623,2609594,2895982,581,1161,
W,6,"我很快乐","刘惜君",103689,942409,1045791,203,447,
T,8,"淘气堡","Chic Chili",103628,1605266,1781073,444,1019,
M,8,"MARIA","黄明昊/KOHH",103630,1255046,1392621,369,689,
,,"有你我就不孤单","罗志祥/恺乐/C.T.O",103694,1332292,1478496,295,609,
,,"我们是太阳","筷子兄弟",103404,873483,969077,304,618,
,,"芒种","音阙诗听/赵方婧",103561,788164,874651,203,350,
W,6,"望","张碧晨/赵丽颖",100623,1062919,1179439,193,587,
F,9,"浮年盏","刘珂矣",103545,1576900,1749673,442,931,20、100
,,"Carry on","Monsta X",103793,711139,789142,203,364,
,,"好喜欢你","颜人中",103790,690001,765672,164,353,
C,9,"Candy Pop","TWICE",101488,1458496,1618493,298,686,
,,"Sometimes","Kat Graham",100504,775996,861118,210,366,
S,6,"SHOW THE WORLD","林俊杰",103716,777504,862695,253,458,
,,"漫过","吴映香",103470,889915,987405,266,551,
S,6,"Sunny Side Up!","Red Velvet",103717,887666,984962,249,507,
B,7,"表白","萧亚轩",100587,1162161,1289634,233,569,
K,6,"Kids in the Dark","All Time Low",103501,1136655,1261226,318,656,
,,"Pure","向井太一",102808,655954,727964,130,265,
L,10,"林中鸟(困难版)","葛林",102238,2367053,2626561,543,1243,
,,"Summer Time","倖田來未",103748,1604252,1780150,409,850,
,,"I Still Do","Why Don't We",103813,683852,758784,239,418,
S,6,"SHOOT IT OUT","GENERATIONS from EXILE TRIBE/THE RAMPAGE from EXILE TRIBE",103706,1225445,1359785,280,678,
L,9,"啰哩叭唆","陈嘉桦",103529,1531985,1700060,355,726,
C,9,"长安诀","汪苏泷",103643,1646099,1826446,432,992,
S,6,"Sky","Steerner",100754,1094743,1214788,192,548,
,,"爱的就是你","刘佳",100561,711776,789910,152,299,
,,"Leaving California","Maroon 5",103809,842153,934367,266,563,
,,"无名之辈","陈雪燃",103053,696189,772552,158,339,
,,"Ring of Fortune","佐々木恵梨",103747,1610102,1786552,461,929,
Q,7,"倾杯","SING女团",103522,1127529,1251219,302,558,
A,9,"Another(Feat. 王嘉尔)","秦奋",103644,2102217,2332733,523,1101,
,,"魂不守舍","朱星杰",103356,841555,933832,204,439,
,,"灿烂之夏","王子异",103797,687882,763336,182,355,
L,8,"Light","San Holo",103632,1424085,1580352,310,641,
,,"我们很好","林俊杰",103596,650377,721609,224,426,
W,9,"Wake up!","AAA",100639,1676610,1860589,242,747,
,,"德寿宫石墙路的春天","允儿/10cm",103577,700635,777491,184,342,
,,"胡萝卜须","许嵩",103729,1162018,1289386,286,633,
C,9,"Crossing Field","LiSA",100610,1646866,1827099,509,1142,
,,"Flower Dance","DJ OKAWARI",101007,485082,538252,129,272,
,,"丑八怪","薛之谦",100622,1092780,1212633,204,536,
C,6,"彻底","庄心妍",103533,1375426,1526207,363,753,
,,"世界は恋に落ちている","CHiCO with HoneyWorks",103731,1237951,1373736,299,621,
,,"流光记","银临",103685,999960,1109622,261,512,
C,7,"Close To Me","Ellie Goulding/Diplo/Red Velvet",103405,1115907,1238141,310,699,
W,7,"我要飞","飞儿乐团",103718,1156792,1283507,328,715,
B,9,"Be My Baby","Wonder Girls",100643,1606540,1782777,483,767,
,,"狂风里拥抱","信/A-Lin",103830,1214473,1347531,376,725,
,,"Girl in the Mirror","Bebe Rexha",103471,856804,950779,223,425,
,,"淘汰","陈奕迅",100686,736645,817354,200,472,
G,10,"Get It On The Floor","DMX",101391,1917409,2127826,447,836,
,,"Brand New Story","GENERATIONS from EXILE TRIBE",103600,887978,985297,214,508,
C,9,"Candy Boy","TWICE",103423,1668303,1851324,304,788,
,,"别再靠近我了","陈雪凝",103831,1053481,1168913,322,602,
,,"凉凉","杨宗纬/张碧晨",100738,641589,711784,158,468,
,,"吸引定律","Awaken-F",102628,720681,799735,167,340,
D,7,"豆你玩","李子璇",103508,1138631,1263647,263,434,
,,"Hola","Flo Rida/Maluma",101055,717015,795725,156,295,
Z,7,"最苦的甜","胡夏",103523,1009879,1120582,261,556,
,,"Talking to Myself","Linkin Park",103816,1066585,1183418,377,661,
,,"カーストルーム","ZAQ",103745,1440764,1598679,333,809,
X,6,"新青年","李行亮",103690,849524,942633,246,485,
,,"漫时光","QQ炫舞",101332,919048,1019880,261,445,
,,"You Are","GOT7",101700,624403,692751,188,443,100
W,6,"When You Know What Love Is","Craig David",103591,894751,992762,294,562,
,,"Come Back Down","Mediks",103645,2409316,2673634,581,1153,
,,"唐人","孙子涵",100111,761696,845239,136,377,100
,,"超大只怪兽","焦迈奇",103675,561184,622722,138,292,
,,"我的名字","焦迈奇",103538,1062373,1178875,292,546,
W,6,"Wonderland","gugudan",100226,894036,992126,215,411,
,,"微微一笑很倾城","杨洋",100018,1041846,1156113,229,522,
S,10,"帅一个","罗志祥",103330,1794598,1991551,349,785,
S,7,"Sugar Rush","吴映洁",102978,1044238,1158736,273,548,
,,"Leave Out All The Rest","Linkin Park",103750,1724021,1912622,572,1269,
F,9,"Fight For You","潘玮柏",101375,1737242,1927510,498,1104,
,,"I like you(炫舞音乐季主题曲)","孟美岐",103616,1426308,1582715,336,732,
M,10,"MY舞☆TONIGHT","Aqours",101698,2424344,2690366,516,1083,
,,"芥末巧克力","杨丞琳",103379,948467,1052613,145,355,
,,"DAYS of DASH","鈴木このみ",103734,1534143,1702123,493,994,
Y,9,"邮递马车","Hermann Necke",100168,1165294,1293204,202,512,
B,6,"Bright Spring","M2U",100469,1069380,1186642,243,538,
,,"长腿叔叔","袁娅维",102402,679419,753871,176,417,
,,"One In A Billion","Wake Up, May'n!",103736,1647997,1828606,453,946,
X,7,"虚拟","陈粒",102966,1039753,1153775,266,534,
,,"让我心动","Apink",100255,917995,1018710,173,422,
,,"New Divide","Linkin Park",100529,856466,950317,299,489,
,,"Ever After","Alice",103696,1041534,1155635,334,638,
,,"今天你要嫁给我","陶喆/蔡依林",100596,552188,612769,139,274,
,,"长安巷","排骨教主",103791,688272,763779,157,340,
,,"触动心触动爱","BY2",100482,622739,691070,116,270,
,,"Baby Don't Cry","于湉",103374,856024,949941,202,396,
,,"树洞","欧阳娜娜",103832,1350843,1498783,469,865,
S,9,"Stand By Me","the peggies",103421,2352584,2610470,670,1270,
,,"Poker Face","Lady Gaga",100672,867932,963294,142,292,
L,8,"凉凉(困难版)","杨宗纬/张碧晨",102243,2177344,2415850,671,1333,
G,8,"工笔","Awaken-F",103325,1587612,1761916,273,641,
H,6,"Here With You","Asher Book",100108,1024530,1136885,209,514,100
,,"Checkmate","林俊杰/郑容和",101183,878683,974892,264,584,
N,7,"牛奶面包","杨紫/鱿小鱼",103054,1088698,1208202,267,450,
V,9,"VORACITY","MYTH & ROID",103430,2084563,2312965,574,1220,
*,9,"デートアライブ","sweet ARMS",103429,1750151,1941796,587,1120,
,,"耿耿于怀","王笑文",103503,1213095,1345978,350,752,
,,"HERO","李子璇",103512,869375,964754,194,407,
S,9,"SHIORI","ClariS",100544,2197663,2438772,419,1011,
O,7,"偶像万万岁","TimeZ",100225,1239823,1375887,258,542,
F,9,"flower of sorrow","花たん",103419,1691495,1876925,423,927,
E,8,"E.T.","Katy Perry",103406,1290146,1431547,333,729,
L,7,"旅行的爱情","Samuel",103536,1025791,1138177,280,625,
G,8,"灌溉爱","郭采洁",103542,1176162,1305153,317,596,
Y,9,"一吻天荒","胡歌",101871,1780363,1975209,343,1215,
,,"滚烫的青春","王源",103605,637286,707054,220,440,
,,"两人份美好","李俊毅",103472,809367,898125,190,419,
G,6,"更发光","以团之名",103502,1129895,1253722,378,663,
H,7,"好想大声说喜欢你","BAAD",100611,1263249,1401764,252,638,
,,"素颜","许嵩/何曼婷",100690,345709,383595,79,213,
,,"青春大满贯","胡夏",103693,1004094,1114073,373,632,
S,10,"Shiny","高颖浠",103511,2265393,2513970,547,1028,
H,9,"Hacking to the Gate","伊藤加奈子",100466,1755377,1947710,652,1063,
,,"爱在我身边","吴映洁",103786,502203,557310,107,235,
A,8,"爱情的花样","孙燕姿",103524,1263067,1401660,288,581,
B,6,"别爱太满别睡太晚","贺一航",103535,1039285,1153169,271,603,
D,8,"DEAREST DROP","田所あずさ",103627,1650194,1831066,501,916,
,,"我乐意(QQ炫舞系列主题曲)","许嵩",101338,928642,1030399,247,545,
,,"江南","林俊杰",100527,791089,877761,214,469,
D,6,"Don't Need Your Love","NCT DREAM/HRVY",103592,903279,1002312,241,474,
,,"赝品","简弘亦",103601,899964,998673,213,446,
,,"Lil Mama","Jain",103680,767793,851982,203,401,
G,9,"更新","Sabão",103020,2006797,2226950,454,963,
,,"盲眼画师","河图",103541,1070095,1187287,386,680,
,,"Good Girl 赶快爱","陈芳语",103692,1041976,1156333,223,474,
L,6,"Love So Soft","Kelly Clarkson",100595,1253109,1390693,239,491,
,,"Sweet but Psycho","Ava Max",103713,1395953,1549020,326,737,
F,6,"Flamingo","米津玄師",103391,927680,1029291,270,578,
,,"永世のクレイドル","鈴華ゆう子",103739,1173198,1301710,351,726,
,,"ME!","Taylor Swift/Brendon Urie",103462,579826,643407,137,309,
A,8,"A型のうた","西野カナ",103626,1430182,1587187,289,592,
,,"带你去旅行","校长",100670,908882,1008554,237,468,
,,"唱起这首歌","刘人语",103802,1068756,1185952,286,561,
,,"For You","高颖浠",103519,708084,785740,189,360,
F,9,"Faded(困难版)","Alan Walker",102253,1952704,2167135,362,777,
Q,6,"期待","Girl's Day",101175,859625,953916,171,432,
,,"Light up","刘人语",103756,2096471,2326426,522,1028,
I,6,"I Want You to Know","Zedd/Selena Gomez",103708,1221311,1355195,326,663,
,,"光耀","梁心颐",103799,966602,1072599,259,507,
Z,10,"钻石微笑","Run Girls, Run！",103550,2176343,2415016,554,1129,
Q,10,"琪露诺的完美算术教室","IOSYS",103201,3067818,3404521,697,1313,
,,"鍵ノ間","黒兎ウル",103639,1915511,2125767,376,827,
D,10,"Dura","Daddy Yankee",101859,2430181,2697128,364,879,
L,9,"Last One Standing","Simple Plan",103408,1549730,1719613,314,839,
,,"Shatter Me","Lindsey Stirling/Lzzy Hale",103726,2093780,2323542,602,960,
R,7,"仁心所向","河图",103016,1314118,1457891,529,952,
,,"Time with you","圭贤",103486,617916,685609,211,383,
,,"Loki","BC221",103390,867828,963018,227,427,
,,"Dreams Come True","徐明浩",103821,1001286,1111098,252,506,
,,"Too Much","Carly Rae Jepsen",103461,573235,636084,157,319,
D,7,"地铁等待","张紫豪",103525,1204502,1336474,389,717,
,,"观花","萌娜丽莎/郑冰冰",103518,871208,966702,228,475,
B,6,"Break The Rules","Charli XCX",103593,1050348,1165721,190,382,
,,"Snapping","金请夏",103684,843596,936142,171,399,
R,10,"R.1.S.E","R1SE",103549,1959997,2174805,546,1123,
,,"傻了吧","大张伟",103744,2147392,2382972,440,1019,
D,9,"当妮走了","徐真真",103637,1608685,1785056,420,864,
,,"アリエラ","佐香智久/天月-あまつき-",103723,1427179,1583768,297,657,
,,"HIT","SEVENTEEN",103818,1123421,1246641,294,566,
