首字母,等级,歌名,歌手,类型,技能,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"猫步轻俏","AOA",超极限,爆气,203,27,16,A - 一单点（cool）、右边滑点,A - 左边长条中间、右边单点、二单点（cool）,1018625,36 + 0.0
,,"猫步轻俏","AOA",超极限,爆气,207,27,25,A - 一单点（cool）、左边单点,A - 右边左滑条中间,1018506,35 + 0.0
,,"猫步轻俏","AOA",超极限,爆气,207,27,26,A - 一单点（cool）、左边单点,A - 右边左滑条中间,1018506,35 + 0.0
,,"Boom Clap","Charli XCX",非押爆,爆气,339,48,4,B - 左边单点,B - 左边单点、右边单点,1087676,39 - 0.2
,,"Boom Clap","Charli XCX",非押爆,爆气,361,50,4,B - 右边单点,B - 左边单点、右边单点,1086620,39 - 0.4
,,"Boom Clap","Charli XCX",非押爆,爆气,343,48,18,B - 右边滑点,B - 右边单点,1084493,38 + 0.2
,,"Boom Clap","Charli XCX",非押爆,爆气,341,48,14,B - 右边滑点,B - 左边滑点,1083431,38 + 0.0
,,"Boom Clap","Charli XCX",押爆,爆气,338,48,0,B - 左下单点,B - 左边单点、右边单点,1092980,40 - 0.2
,,"Boom Clap","Charli XCX",押爆,爆气,341,48,14,B - 右边滑点,B - 右边单点,1088735,39 + 0.0
,,"Boom Clap","Charli XCX",超极限,爆气,338,47,31,B - 左下单点,B - 左边单点、右边单点,1092980,40 - 0.2
,,"Boom Clap","Charli XCX",超极限,爆气,341,48,15,B - 右边滑点,B - 右边单点、一单点（cool）,1088855,40 + 0.0
,,"Boom Clap","Charli XCX",超极限,爆气,341,48,13,B - 右边滑点,B - 右边单点,1088735,39 + 0.0
M,6,"Maps","Maroon 5",非押爆,极限,178,28,0,A - 左边单点,A - 左边单点,1307962,34 + 0.0
M,6,"Maps","Maroon 5",非押爆,极限,212,31,11,A - 右下单点,A - 右边滑点,1307962,34 + 0.0
M,6,"Maps","Maroon 5",非押爆,极限,213,31,16,A - 右边单点,A - 右下滑点,1307615,34 - 0.2
M,6,"Maps","Maroon 5",非押爆,极限,212,31,10,A - 右下单点,A - 右边滑点,1307270,34 - 0.4
M,6,"Maps","Maroon 5",非押爆,极限,214,31,18,A - 左下单点,A - 右下滑点,1307268,34 - 0.4
M,6,"Maps","Maroon 5",非押爆,极限,213,31,15,A - 右边单点,A - 右下滑点,1306923,33 + 0.4
M,6,"Maps","Maroon 5",非押爆,极限,202,30,7,A - 右边长条结尾,A - 右边滑点,1306750,33 + 0.3
M,6,"Maps","Maroon 5",非押爆,极限,212,31,9,A - 右下单点,A - 右边滑点,1306578,33 + 0.2
M,6,"Maps","Maroon 5",非押爆,极限,214,31,17,A - 左下单点,A - 右下滑点,1306576,33 + 0.2
M,6,"Maps","Maroon 5",非押爆,极限,216,31,27,A - 左边单点,A - 左下滑点,1306574,33 + 0.2
M,6,"Maps","Maroon 5",押爆,爆气,212,31,12,A - 右下单点,A - 右下滑点,1310156,35 - 0.2
M,6,"Maps","Maroon 5",押爆,极限,212,31,12,A - 右下单点,A - 右下滑点,1309346,35 - 0.2
M,6,"Maps","Maroon 5",押爆,爆气,213,31,14,A - 右边单点,A - 右下滑点,1309094,35 - 0.4
M,6,"Maps","Maroon 5",押爆,极限,213,31,14,A - 右边单点,A - 右下滑点,1308999,35 - 0.4
M,6,"Maps","Maroon 5",押爆,极限,212,31,11,A - 右下单点,A - 右下滑点,1308654,34 + 0.4
M,6,"Maps","Maroon 5",押爆,极限,178,28,0,A - 左边单点,A - 左边长条开始,1308481,34 + 0.3
M,6,"Maps","Maroon 5",押爆,极限,213,31,13,A - 右边单点,A - 右下滑点,1308307,34 + 0.2
M,6,"Maps","Maroon 5",押爆,极限,215,31,23,A - 左下单点,A - 左下滑点,1308305,34 + 0.2
M,6,"Maps","Maroon 5",押爆,爆气,212,31,11,A - 右下单点,A - 右下滑点,1308035,34 + 0.4
M,6,"Maps","Maroon 5",押爆,极限,177,27,24,A - 左边单点,A - 右边滑点,1307962,34 + 0.0
M,6,"Maps","Maroon 5",超极限,爆气,212,31,12,A - 右下单点,A - 右下滑点,1312277,35 + 0.2
M,6,"Maps","Maroon 5",超极限,爆气,212,31,11,A - 右下单点,A - 右下滑点,1310156,35 - 0.2
M,6,"Maps","Maroon 5",超极限,极限,212,31,11,A - 右下单点,A - 右下滑点,1309346,35 - 0.2
M,6,"Maps","Maroon 5",超极限,爆气,213,31,13,A - 一单点（cool）、右边单点,A - 右下滑点,1309214,36 - 0.4
M,6,"Maps","Maroon 5",超极限,爆气,213,31,14,A - 一单点（cool）、右边单点,A - 右下滑点,1309214,36 - 0.4
M,6,"Maps","Maroon 5",超极限,爆气,213,31,15,A - 一单点（cool）、右边单点,A - 右下滑点,1309214,36 - 0.4
M,6,"Maps","Maroon 5",超极限,爆气,213,31,16,A - 一单点（cool）、右边单点,A - 右下滑点,1309214,36 - 0.4
M,6,"Maps","Maroon 5",超极限,极限,213,31,13,A - 右边单点,A - 右下滑点,1308999,35 - 0.4
M,6,"Maps","Maroon 5",超极限,极限,212,31,10,A - 右下单点,A - 右下滑点,1308654,34 + 0.4
M,6,"Maps","Maroon 5",超极限,极限,214,31,20,A - 左下单点,A - 左边滑点,1308652,34 + 0.4
,,"一笑倾城","汪苏泷",非押爆,爆气,432,68,16,B - 右下单点,B - 左边单点,1164216,32 - 0.4
,,"一笑倾城","汪苏泷",非押爆,爆气,433,68,20,B - 右边单点,B - 右下单点,1164216,32 - 0.4
,,"一笑倾城","汪苏泷",非押爆,爆气,454,70,20,B - 左边单点,B - 右边单点,1162095,31 + 0.2
,,"一笑倾城","汪苏泷",非押爆,极限,432,68,16,B - 右下单点,B - 左边单点,1160628,32 - 0.4
,,"一笑倾城","汪苏泷",非押爆,极限,433,68,20,B - 右边单点,B - 右下单点,1160628,32 - 0.4
,,"一笑倾城","汪苏泷",非押爆,极限,454,70,20,B - 左边单点,B - 右边单点,1159935,31 + 0.2
,,"一笑倾城","汪苏泷",押爆,爆气,432,68,16,B - 右下单点,B - 右下单点,1169520,33 - 0.4
,,"一笑倾城","汪苏泷",押爆,爆气,453,70,16,B - 左边单点,B - 右边单点,1167399,32 + 0.2
,,"一笑倾城","汪苏泷",超极限,爆气,432,68,15,B - 右下单点,B - 右下单点,1169520,33 - 0.4
,,"一笑倾城","汪苏泷",超极限,爆气,453,70,15,B - 左边单点,B - 右边单点、一单点（cool）,1167519,33 + 0.2
,,"一笑倾城","汪苏泷",超极限,爆气,439,69,3,B - 右边左滑条结尾,B - 左下长条结尾、右边单点,1165807,32 - 0.1
,,"怎样说清此刻的心情","BY2",非押爆,爆气,202,26,24,A - 左下单点、右下单点,A - 右边长条开始,1041696,32 + 0.3
,,"怎样说清此刻的心情","BY2",非押爆,爆气,199,26,12,A - 左边滑点,A - 左下单点、右边单点,1041164,32 + 0.2
,,"怎样说清此刻的心情","BY2",非押爆,爆气,186,25,12,A - 右边单点,A - 左边单点、右下单点,1040629,32 + 0.1
,,"怎样说清此刻的心情","BY2",非押爆,爆气,202,26,20,A - 左下单点、右下单点,A - 右边单点,1040105,32 + 0.0
,,"怎样说清此刻的心情","BY2",非押爆,爆气,204,27,0,A - 右边单点,A - 右边长条结尾、左下滑点,1039573,32 - 0.1
,,"怎样说清此刻的心情","BY2",非押爆,爆气,190,25,24,A - 左边单点,A - 左下单点,1039570,32 - 0.1
,,"怎样说清此刻的心情","BY2",非押爆,爆气,200,26,17,A - 左边滑点,A - 左下单点、右边单点,1039043,32 - 0.2
,,"怎样说清此刻的心情","BY2",非押爆,爆气,205,27,2,A - 左边单点、右边单点,A - 左下滑点,1038511,32 - 0.3
,,"怎样说清此刻的心情","BY2",非押爆,爆气,464,57,0,B - 左边单点、右边长条开始,B - 左下左滑条中间、右下右滑条中间,1036922,31 + 0.4
,,"怎样说清此刻的心情","BY2",非押爆,爆气,195,26,4,A - 左边长条结尾,A - 左边单点、右下单点,1036919,31 + 0.4
,,"怎样说清此刻的心情","BY2",押爆,爆气,196,26,8,A - 右边滑点,A - 左下单点、右边单点,1047527,33 + 0.4
,,"怎样说清此刻的心情","BY2",押爆,爆气,199,26,16,A - 左边滑点,A - 右边单点,1046468,33 + 0.2
,,"怎样说清此刻的心情","BY2",押爆,爆气,202,26,24,A - 左下单点、右下单点,A - 右边长条中间,1044878,33 - 0.1
,,"怎样说清此刻的心情","BY2",押爆,爆气,204,26,30,A - 右边单点,A - 左下滑点,1043815,33 - 0.3
,,"怎样说清此刻的心情","BY2",押爆,爆气,202,26,22,A - 左下单点、右下单点,A - 右边长条中间,1043287,33 - 0.4
,,"怎样说清此刻的心情","BY2",押爆,爆气,464,57,0,B - 左边单点、右边长条开始,B - 左下左滑条结尾、右下右滑条结尾,1043286,33 - 0.4
,,"怎样说清此刻的心情","BY2",超极限,爆气,196,26,7,A - 右边滑点,A - 左下单点、右边单点,1047527,33 + 0.4
,,"怎样说清此刻的心情","BY2",超极限,爆气,199,26,15,A - 左边滑点,A - 右边单点,1046468,33 + 0.2
,,"怎样说清此刻的心情","BY2",超极限,爆气,202,26,23,A - 左下单点、右下单点,A - 右边长条中间,1044878,33 - 0.1
,,"怎样说清此刻的心情","BY2",超极限,爆气,204,26,29,A - 右边单点,A - 左下滑点,1043815,33 - 0.3
,,"怎样说清此刻的心情","BY2",超极限,爆气,202,26,21,A - 左下单点、右下单点,A - 右边长条中间,1043287,33 - 0.4
,,"怎样说清此刻的心情","BY2",超极限,爆气,464,56,31,B - 左边单点、右边长条开始,B - 左下左滑条结尾、右下右滑条结尾,1043286,33 - 0.4
,,"怎样说清此刻的心情","BY2",超极限,爆气,205,27,8,A - 左边单点、右边单点,A - 右边滑点,1042753,33 - 0.5
,,"唐人","孙子涵",非押爆,爆气,430,64,4,B - 左边右滑条中间,B - 左边单点,1052073,32 - 0.5
,,"唐人","孙子涵",非押爆,爆气,428,63,28,B - 左边右滑条开始,B - 右边左滑条结尾、左边单点,1051542,31 + 0.4
,,"唐人","孙子涵",非押爆,爆气,431,64,6,B - 左边右滑条中间,B - 左边单点,1050482,31 + 0.2
,,"唐人","孙子涵",非押爆,爆气,432,64,7,B - 左边右滑条中间、右边单点,B - 左边单点,1050482,31 + 0.2
,,"唐人","孙子涵",非押爆,爆气,429,64,1,B - 左边右滑条中间,B - 右边左滑条结尾、左边单点,1049951,31 + 0.1
,,"唐人","孙子涵",非押爆,爆气,432,64,8,B - 左边右滑条中间、右边单点,B - 左边单点,1048891,31 - 0.1
,,"唐人","孙子涵",非押爆,爆气,409,62,28,B - 右边左滑条开始,B - 右边长条结尾、中间单点,1048359,31 - 0.2
,,"唐人","孙子涵",非押爆,爆气,418,63,15,B - 右边左滑条中间、左下滑点,B - 左边滑点,1048357,31 - 0.2
,,"唐人","孙子涵",押爆,爆气,428,64,0,B - 左边右滑条开始,B - 左边单点,1056846,32 + 0.4
,,"唐人","孙子涵",押爆,爆气,418,63,16,B - 右边左滑条中间、左下滑点,B - 右边左滑条中间、左边单点,1056843,32 + 0.4
,,"唐人","孙子涵",押爆,爆气,429,64,1,B - 左边右滑条中间,B - 左边单点,1055255,32 + 0.1
,,"唐人","孙子涵",押爆,爆气,420,63,17,B - 左下滑点,B - 右边左滑条中间、左边单点,1054722,32 + 0.0
,,"唐人","孙子涵",押爆,爆气,432,64,8,B - 左边右滑条中间、右边单点,B - 左边单点,1054195,32 - 0.1
,,"唐人","孙子涵",押爆,爆气,429,64,2,B - 左边右滑条中间,B - 左边单点,1053664,32 - 0.2
,,"唐人","孙子涵",押爆,爆气,421,63,18,B - 右边左滑条中间、左边滑点,B - 右边左滑条中间,1052601,32 - 0.4
,,"唐人","孙子涵",押爆,爆气,430,64,4,B - 左边右滑条中间,B - 左边单点,1052073,32 - 0.5
,,"唐人","孙子涵",超极限,爆气,418,63,15,B - 右边左滑条中间、左下滑点,B - 右边左滑条中间、左边单点,1058434,33 - 0.3
,,"唐人","孙子涵",超极限,爆气,428,63,31,B - 左边右滑条开始,B - 左边单点,1056846,32 + 0.4
,,"唐人","孙子涵",超极限,爆气,420,63,17,B - 左下滑点,B - 右边左滑条中间,1056313,32 + 0.3
,,"唐人","孙子涵",超极限,爆气,432,64,7,B - 左边右滑条中间、右边单点,B - 左边单点,1055786,32 + 0.2
,,"唐人","孙子涵",超极限,爆气,429,64,1,B - 左边右滑条中间,B - 左边单点,1055255,32 + 0.1
,,"唐人","孙子涵",超极限,爆气,413,63,8,B - 右边左滑条中间、左下单点,B - 左边滑点,1054192,32 - 0.1
,,"唐人","孙子涵",超极限,爆气,421,63,18,B - 右边左滑条中间、左边滑点,B - 右边左滑条中间,1054192,32 - 0.1
,,"唐人","孙子涵",超极限,爆气,430,64,3,B - 左边右滑条中间,B - 左边单点、一单点（cool）,1053784,33 - 0.2
Y,7,"YESTERDAY","Block B",非押爆,极限,98,17,8,A - 左下单点,A - 左下单点,1469808,30 + 0.3
Y,7,"YESTERDAY","Block B",非押爆,极限,97,17,0,A - 右下单点,A - 右边单点,1469736,30 + 0.3
Y,7,"YESTERDAY","Block B",非押爆,极限,531,67,24,B - 右边右滑条开始,B - 左边左滑条结尾、右边左滑条结尾,1469359,30 + 0.0
Y,7,"YESTERDAY","Block B",非押爆,极限,117,19,16,A - 右边滑点,A - 左边单点,1469014,30 - 0.2
Y,7,"YESTERDAY","Block B",非押爆,极限,121,19,23,A - 左边单点,A - 右下滑点,1469014,30 - 0.2
Y,7,"YESTERDAY","Block B",非押爆,极限,530,67,20,B - 右下单点,B - 左边左滑条中间、右边左滑条中间,1469014,30 - 0.2
Y,7,"YESTERDAY","Block B",非押爆,极限,532,67,29,B - 右边右滑条中间,B - 左边左滑条结尾、右边左滑条结尾,1468840,30 - 0.3
Y,7,"YESTERDAY","Block B",非押爆,极限,536,68,4,B - 左下单点,B - 右边单点,1468495,30 - 0.5
Y,7,"YESTERDAY","Block B",非押爆,极限,121,19,22,A - 左边单点,A - 右下滑点,1468322,29 + 0.4
Y,7,"YESTERDAY","Block B",非押爆,极限,531,67,22,B - 右边右滑条开始,B - 左边左滑条中间、右边左滑条中间,1468321,29 + 0.4
Y,7,"YESTERDAY","Block B",押爆,极限,530,67,20,B - 右下单点,B - 左边左滑条结尾、右边左滑条结尾,1471090,31 + 0.0
Y,7,"YESTERDAY","Block B",押爆,极限,115,19,8,A - 左下单点,A - 左边单点,1470745,31 - 0.2
Y,7,"YESTERDAY","Block B",押爆,极限,116,19,12,A - 右下单点,A - 左边单点,1470745,31 - 0.2
Y,7,"YESTERDAY","Block B",押爆,极限,530,67,18,B - 右下单点,B - 左边左滑条中间、右边左滑条中间,1470052,30 + 0.4
Y,7,"YESTERDAY","Block B",押爆,极限,98,17,4,A - 左下单点,A - 左下单点,1469808,30 + 0.3
Y,7,"YESTERDAY","Block B",押爆,极限,97,16,28,A - 右下单点,A - 右边单点,1469736,30 + 0.3
Y,7,"YESTERDAY","Block B",押爆,极限,117,19,16,A - 右边滑点,A - 右下滑点,1469706,30 + 0.2
Y,7,"YESTERDAY","Block B",押爆,极限,120,19,19,A - 右下滑点,A - 右下滑点,1469706,30 + 0.2
Y,7,"YESTERDAY","Block B",押爆,极限,533,68,0,B - 右边右滑条中间,B - 右边单点,1469533,30 + 0.1
Y,7,"YESTERDAY","Block B",押爆,极限,528,67,8,B - 左下单点,B - 左下单点,1469362,30 + 0.0
Y,7,"YESTERDAY","Block B",超极限,极限,530,67,19,B - 右下单点,B - 左边左滑条结尾、右边左滑条结尾,1471090,31 + 0.0
Y,7,"YESTERDAY","Block B",超极限,极限,115,19,7,A - 左下单点,A - 左边单点,1470745,31 - 0.2
Y,7,"YESTERDAY","Block B",超极限,极限,116,19,11,A - 右下单点,A - 左边单点,1470745,31 - 0.2
Y,7,"YESTERDAY","Block B",超极限,极限,117,19,16,A - 右边滑点,A - 右下滑点,1470398,31 - 0.4
Y,7,"YESTERDAY","Block B",超极限,极限,530,67,17,B - 右下单点,B - 左边左滑条中间、右边左滑条中间,1470052,30 + 0.4
Y,7,"YESTERDAY","Block B",超极限,极限,533,67,31,B - 右边右滑条中间,B - 右边单点,1470052,30 + 0.4
Y,7,"YESTERDAY","Block B",超极限,极限,98,17,3,A - 左下单点,A - 左下单点,1469808,30 + 0.3
Y,7,"YESTERDAY","Block B",超极限,极限,97,16,27,A - 右下单点,A - 右边单点,1469736,30 + 0.3
Y,7,"YESTERDAY","Block B",超极限,极限,104,17,23,A - 左下长条结尾,A - 左边单点,1469706,30 + 0.2
Y,7,"YESTERDAY","Block B",超极限,极限,117,19,15,A - 右边滑点,A - 右下滑点,1469706,30 + 0.2
,,"Jar Of Love","曲婉婷",非押爆,极限,163,20,28,A - 右边长条中间,A - 左边单点,1362898,35 - 0.2
,,"Jar Of Love","曲婉婷",非押爆,极限,161,20,24,A - 右边长条开始,A - 左边单点,1362724,35 - 0.3
,,"Jar Of Love","曲婉婷",非押爆,极限,165,21,0,A - 右边长条结尾、左边单点,A - 左边滑点,1362552,35 - 0.4
,,"Jar Of Love","曲婉婷",非押爆,极限,164,20,30,A - 右边长条中间,A - 左边单点,1362379,35 - 0.5
,,"Jar Of Love","曲婉婷",非押爆,极限,165,20,31,A - 右边长条结尾、左边单点,A - 左边单点,1362379,35 - 0.5
,,"Jar Of Love","曲婉婷",非押爆,极限,162,20,25,A - 右边长条中间,A - 左边单点,1362205,34 + 0.4
,,"Jar Of Love","曲婉婷",非押爆,极限,167,21,2,A - 左边单点,A - 左边滑点,1362205,34 + 0.4
,,"Jar Of Love","曲婉婷",非押爆,极限,168,21,12,A - 右边滑点,A - 右边长条中间,1362031,34 + 0.3
,,"Jar Of Love","曲婉婷",非押爆,极限,167,21,1,A - 左边单点,A - 左边滑点,1361513,34 + 0.0
,,"Jar Of Love","曲婉婷",非押爆,极限,168,21,10,A - 右边滑点,A - 右边长条中间,1361512,34 + 0.0
,,"Jar Of Love","曲婉婷",押爆,极限,159,20,12,A - 左下单点、右下单点,A - 左边单点、右下单点,1364455,36 - 0.3
,,"Jar Of Love","曲婉婷",押爆,极限,161,20,24,A - 右边长条开始,A - 左边单点,1364455,36 - 0.3
,,"Jar Of Love","曲婉婷",押爆,极限,164,20,30,A - 右边长条中间,A - 左边滑点,1364455,36 - 0.3
,,"Jar Of Love","曲婉婷",押爆,极限,165,20,31,A - 右边长条结尾、左边单点,A - 左边滑点,1364455,36 - 0.3
,,"Jar Of Love","曲婉婷",押爆,极限,164,20,29,A - 右边长条中间,A - 左边滑点,1364282,36 - 0.4
,,"Jar Of Love","曲婉婷",押爆,极限,162,20,25,A - 右边长条中间,A - 左边单点,1363936,35 + 0.4
,,"Jar Of Love","曲婉婷",押爆,极限,165,21,0,A - 右边长条结尾、左边单点,A - 左边滑点,1363936,35 + 0.4
,,"Jar Of Love","曲婉婷",押爆,爆气,165,20,31,A - 右边长条结尾、左边单点,A - 左边滑点,1363331,36 - 0.3
,,"Jar Of Love","曲婉婷",押爆,极限,168,21,12,A - 右边滑点,A - 右边长条结尾,1363069,35 - 0.1
,,"Jar Of Love","曲婉婷",押爆,极限,158,20,8,A - 左边单点,A - 左下单点、右边单点,1362724,35 - 0.3
,,"Jar Of Love","曲婉婷",超极限,极限,164,20,29,A - 右边长条中间,A - 左边滑点,1364974,36 + 0.0
,,"Jar Of Love","曲婉婷",超极限,极限,163,20,28,A - 右边长条中间,A - 左边滑点,1364801,36 - 0.1
,,"Jar Of Love","曲婉婷",超极限,极限,159,20,11,A - 左下单点、右下单点,A - 左边单点、右下单点,1364455,36 - 0.3
,,"Jar Of Love","曲婉婷",超极限,极限,161,20,23,A - 右边长条开始,A - 左边单点,1364455,36 - 0.3
,,"Jar Of Love","曲婉婷",超极限,极限,165,20,31,A - 右边长条结尾、左边单点,A - 左边滑点,1364455,36 - 0.3
,,"Jar Of Love","曲婉婷",超极限,爆气,163,20,28,A - 右边长条中间,A - 左边滑点,1364392,36 - 0.1
,,"Jar Of Love","曲婉婷",超极限,极限,163,20,27,A - 右边长条中间,A - 左边滑点,1364109,36 - 0.5
,,"Jar Of Love","曲婉婷",超极限,极限,162,20,25,A - 右边长条中间,A - 左边单点,1363936,35 + 0.4
,,"Jar Of Love","曲婉婷",超极限,爆气,159,20,11,A - 一单点（cool）、左下单点、右下单点,A - 左边单点、右下单点,1363452,37 - 0.3
,,"Jar Of Love","曲婉婷",超极限,爆气,159,20,12,A - 一单点（cool）、左下单点、右下单点,A - 左边单点、右下单点,1363452,37 - 0.3
W,6,"Wonderland","gugudan",非押爆,爆气,223,23,0,A - 左边单点、右下单点,A - 左下单点,1268758,40 - 0.3
W,6,"Wonderland","gugudan",押爆,爆气,223,23,0,A - 左边单点、右下单点,A - 右边滑点,1270879,40 + 0.1
W,6,"Wonderland","gugudan",押爆,爆气,223,22,28,A - 左边单点、右下单点,A - 左下单点,1268758,40 - 0.3
W,6,"Wonderland","gugudan",押爆,爆气,509,53,8,B - 左边滑点,B - 左边单点、右边单点,1267687,40 - 0.5
W,6,"Wonderland","gugudan",押爆,爆气,502,52,24,B - 左下单点,B - 左下单点,1267684,40 - 0.5
W,6,"Wonderland","gugudan",押爆,爆气,503,52,28,B - 右下滑点,B - 右下单点,1267684,40 - 0.5
W,6,"Wonderland","gugudan",超极限,爆气,223,23,0,A - 左边单点、右下单点,A - 右边滑点,1273000,41 - 0.5
W,6,"Wonderland","gugudan",超极限,爆气,223,22,31,A - 左边单点、右下单点,A - 右边滑点,1270879,40 + 0.1
W,6,"Wonderland","gugudan",超极限,爆气,223,22,27,A - 左边单点、右下单点,A - 左下单点,1268758,40 - 0.3
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,520,62,23,B - 左下滑点,B - 右边滑点,1369353,34 - 0.1
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,114,19,24,A - 右下单点,A - 右下单点,1368671,34 - 0.5
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,520,62,22,B - 左下滑点,B - 右边滑点,1368661,34 - 0.5
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,530,63,16,B - 右边单点,B - 右边单点,1368488,33 + 0.4
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,519,62,16,B - 左边单点,B - 左边单点,1368316,33 + 0.3
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,535,63,28,B - 右边滑点,B - 右下单点,1368315,33 + 0.3
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,531,63,24,B - 右边滑点,B - 左边长条中间,1368314,33 + 0.3
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,76,16,0,A - 左边滑点,A - 左边滑点,1368093,34 - 0.2
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,110,19,16,A - 左下滑点,A - 左边单点,1367977,33 + 0.1
B,6,"Bo Peep Bo Peep","T-ara",非押爆,极限,520,62,21,B - 左下滑点,B - 右边滑点,1367969,33 + 0.1
B,6,"Bo Peep Bo Peep","T-ara",押爆,极限,531,63,24,B - 右边滑点,B - 右下单点,1371083,35 - 0.1
B,6,"Bo Peep Bo Peep","T-ara",押爆,极限,520,62,24,B - 左下滑点,B - 左边右滑条开始,1369872,34 + 0.2
B,6,"Bo Peep Bo Peep","T-ara",押爆,极限,76,16,0,A - 左边滑点,A - 右下单点,1369824,35 - 0.2
B,6,"Bo Peep Bo Peep","T-ara",押爆,极限,110,19,16,A - 左下滑点,A - 左下单点,1369708,34 + 0.1
B,6,"Bo Peep Bo Peep","T-ara",押爆,极限,533,63,26,B - 右边滑点,B - 右下单点,1369699,34 + 0.1
B,6,"Bo Peep Bo Peep","T-ara",押爆,极限,509,61,24,B - 右下滑点,B - 左边单点,1369353,34 - 0.1
B,6,"Bo Peep Bo Peep","T-ara",押爆,极限,520,62,19,B - 左下滑点,B - 右边滑点,1369353,34 - 0.1
B,6,"Bo Peep Bo Peep","T-ara",押爆,极限,531,63,23,B - 右边滑点,B - 左边长条结尾,1369352,34 - 0.1
