首字母,等级,歌名,歌手,类型,技能,状态,先后,爆点,bar,box,开头描述,结尾描述,分数,指数
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,386,56,1,B - 右下右滑条中间,B - 左下单点、右下单点,1149647,65 - 0.2
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,297,48,0,B - 左下滑点、右下滑点,B - 左下单点、右下单点,1149116,65 - 0.3
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,385,56,0,B - 右下右滑条开始,B - 左下单点、右下单点,1149116,65 - 0.3
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,286,46,24,B - 左边单点,B - 左下单点、右下单点,1149115,65 - 0.3
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,405,58,0,B - 中间单点,B - 右边长条开始,1149115,65 - 0.3
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,281,45,24,B - 左下单点,B - 左边右滑条结尾、右边单点,1148590,65 - 0.4
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,385,56,0,B - 右下右滑条开始,B - 左下单点、右下单点,1148590,65 - 0.4
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,286,46,24,B - 左边单点,B - 左下单点、右下单点,1148587,65 - 0.4
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,389,56,8,B - 右下右滑条中间,B - 左边单点,1148587,65 - 0.4
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,286,46,24,B - 左边单点,B - 左下单点、右下单点,1148587,65 - 0.4
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,394,56,22,B - 左边单点,B - 右边长条中间,1148587,65 - 0.4
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,286,46,24,B - 左边单点,B - 左下单点、右下单点,1148584,65 - 0.4
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,419,59,16,B - 中间单点,B - 左边右滑条结尾,1148584,65 - 0.4
,,"帝都","萌萌哒天团",押爆,爆气,分开,一爆,286,46,24,B - 左边单点,B - 左下单点、右下单点,1148584,65 - 0.4
,,"帝都","萌萌哒天团",押爆,爆气,分开,二爆,420,59,24,B - 左下单点,B - 右边单点,1148584,65 - 0.4
,,"猫步轻俏","AOA",非押爆,爆气,分开,一爆,207,28,0,A - 左边单点,A - 右边左滑条中间,1199778,68 + 0.2
,,"猫步轻俏","AOA",非押爆,爆气,分开,二爆,400,51,30,B - 左边单点,B - 左边滑点、右边滑点,1199778,68 + 0.2
,,"猫步轻俏","AOA",非押爆,爆气,分开,一爆,207,27,30,A - 左边单点,A - 右边左滑条中间,1198187,68 - 0.1
,,"猫步轻俏","AOA",非押爆,爆气,分开,二爆,400,51,30,B - 左边单点,B - 左边滑点、右边滑点,1198187,68 - 0.1
,,"猫步轻俏","AOA",非押爆,爆气,分开,一爆,208,28,4,A - 左下单点,A - 右边左滑条结尾,1197656,68 - 0.2
,,"猫步轻俏","AOA",非押爆,爆气,分开,二爆,400,51,30,B - 左边单点,B - 左边滑点、右边滑点,1197656,68 - 0.2
,,"猫步轻俏","AOA",非押爆,爆气,分开,一爆,207,27,28,A - 左边单点,A - 右边左滑条开始,1196596,68 - 0.4
,,"猫步轻俏","AOA",非押爆,爆气,分开,二爆,400,51,30,B - 左边单点,B - 左边滑点、右边滑点,1196596,68 - 0.4
,,"猫步轻俏","AOA",非押爆,爆气,分开,一爆,42,9,24,A - 左边单点,A - 右下单点,1196215,69 + 0.2
,,"猫步轻俏","AOA",非押爆,爆气,分开,二爆,207,28,0,A - 左边单点,A - 右边左滑条中间,1196215,69 + 0.2
,,"猫步轻俏","AOA",非押爆,爆气,分开,一爆,208,28,2,A - 左下单点,A - 右边左滑条中间,1196065,68 - 0.5
,,"猫步轻俏","AOA",非押爆,爆气,分开,二爆,400,51,30,B - 左边单点,B - 左边滑点、右边滑点,1196065,68 - 0.5
,,"猫步轻俏","AOA",非押爆,爆气,分开,一爆,207,28,0,A - 左边单点,A - 右边左滑条中间,1195536,67 + 0.4
,,"猫步轻俏","AOA",非押爆,爆气,分开,二爆,400,51,29,B - 左边单点,B - 左边滑点、右边滑点,1195536,67 + 0.4
,,"猫步轻俏","AOA",非押爆,爆气,分开,一爆,207,27,24,A - 左边单点,A - 左边长条结尾、右边单点,1195005,67 + 0.3
,,"猫步轻俏","AOA",非押爆,爆气,分开,二爆,400,51,30,B - 左边单点,B - 左边滑点、右边滑点,1195005,67 + 0.3
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,207,28,0,A - 左边单点,A - 右边左滑条结尾,1202960,69 - 0.2
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,400,51,26,B - 左边单点,B - 左边滑点、右边滑点,1202960,69 - 0.2
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,42,9,24,A - 左边单点,A - 左边滑点,1201430,70 + 0.2
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,207,28,0,A - 左边单点,A - 右边左滑条结尾,1201430,70 + 0.2
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,51,10,24,A - 右边单点,A - 左下左滑条中间、右边单点,1201407,70 - 0.1
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,207,28,0,A - 左边单点,A - 右边左滑条结尾,1201407,70 - 0.1
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,207,27,30,A - 左边单点,A - 右边左滑条中间,1201369,69 - 0.5
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,400,51,26,B - 左边单点,B - 左边滑点、右边滑点,1201369,69 - 0.5
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,46,10,12,A - 左边滑点,A - 左边单点,1201297,70 + 0.0
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,207,28,0,A - 左边单点,A - 右边左滑条结尾,1201297,70 + 0.0
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,52,10,28,A - 右边单点,A - 左下左滑条结尾、右下右滑条开始,1201097,70 - 0.2
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,207,28,0,A - 左边单点,A - 右边左滑条结尾,1201097,70 - 0.2
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,206,27,20,A - 右下单点,A - 左边长条结尾、右边单点,1200309,68 + 0.3
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,400,51,26,B - 左边单点,B - 左边滑点、右边滑点,1200309,68 + 0.3
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,42,9,24,A - 左边单点,A - 左边滑点,1199839,70 - 0.1
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,207,27,30,A - 左边单点,A - 右边左滑条中间,1199839,70 - 0.1
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,51,10,24,A - 右边单点,A - 左下左滑条中间、右边单点,1199816,70 - 0.4
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,207,27,30,A - 左边单点,A - 右边左滑条中间,1199816,70 - 0.4
,,"猫步轻俏","AOA",押爆,爆气,分开,一爆,207,27,28,A - 左边单点,A - 右边左滑条中间,1199778,68 + 0.2
,,"猫步轻俏","AOA",押爆,爆气,分开,二爆,400,51,26,B - 左边单点,B - 左边滑点、右边滑点,1199778,68 + 0.2
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,339,48,4,B - 左边单点,B - 左边单点、右边单点,1281794,75 + 0.4
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,395,53,18,B - 右边单点,B - 左边单点,1281794,75 + 0.4
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,339,48,4,B - 左边单点,B - 左边单点、右边单点,1281794,75 + 0.4
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,396,53,24,B - 左边单点,B - 右边单点,1281794,75 + 0.4
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,339,48,4,B - 左边单点,B - 左边单点、右边单点,1281794,75 + 0.4
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,397,53,26,B - 右边单点,B - 右边单点,1281794,75 + 0.4
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,200,34,0,B - 左下左滑条开始、右下右滑条开始,B - 左边长条开始,1281260,75 + 0.3
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,339,48,4,B - 左边单点,B - 左边单点、右边单点,1281260,75 + 0.3
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,200,34,0,B - 左下左滑条开始、右下右滑条开始,B - 左边长条开始,1280204,75 + 0.1
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,361,50,4,B - 右边单点,B - 左边单点、右边单点,1280204,75 + 0.1
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,195,33,8,B - 左边单点、右边单点,B - 右下单点,1279669,75 + 0.0
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,339,48,4,B - 左边单点,B - 左边单点、右边单点,1279669,75 + 0.0
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,198,33,18,B - 左边单点,B - 左边单点,1279669,75 + 0.0
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,339,48,4,B - 左边单点,B - 左边单点、右边单点,1279669,75 + 0.0
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,199,33,24,B - 右边单点,B - 右边单点,1279669,75 + 0.0
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,339,48,4,B - 左边单点,B - 左边单点、右边单点,1279669,75 + 0.0
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,200,33,26,B - 左下左滑条开始、右下右滑条开始,B - 右边单点,1279669,75 + 0.0
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,339,48,4,B - 左边单点,B - 左边单点、右边单点,1279669,75 + 0.0
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,一爆,195,33,8,B - 左边单点、右边单点,B - 右下单点,1278613,75 - 0.2
,,"Boom Clap","Charli XCX",非押爆,爆气,分开,二爆,361,50,4,B - 右边单点,B - 左边单点、右边单点,1278613,75 - 0.2
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1292402,77 + 0.4
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,394,53,14,B - 右边单点,B - 左边单点,1292402,77 + 0.4
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1292402,77 + 0.4
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,396,53,22,B - 左边单点,B - 右边单点,1292402,77 + 0.4
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,195,33,6,B - 左边单点、右边单点,B - 右边单点,1290277,77 + 0.0
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1290277,77 + 0.0
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,197,33,14,B - 右边单点,B - 左边单点,1290277,77 + 0.0
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1290277,77 + 0.0
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,198,33,20,B - 左边单点,B - 右边单点,1290277,77 + 0.0
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1290277,77 + 0.0
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,199,33,22,B - 右边单点,B - 右边单点,1290277,77 + 0.0
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1290277,77 + 0.0
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,200,34,0,B - 左下左滑条开始、右下右滑条开始,B - 左边长条中间,1289746,77 - 0.1
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1289746,77 - 0.1
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,87,15,28,A - 右边单点,A - 右边单点,1288821,77 + 0.2
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1288821,77 + 0.2
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,86,15,22,A - 左边单点,A - 右下单点,1288600,77 + 0.2
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1288600,77 + 0.2
,,"Boom Clap","Charli XCX",押爆,爆气,分开,一爆,85,15,20,A - 右边单点,A - 右边单点,1288379,77 + 0.2
,,"Boom Clap","Charli XCX",押爆,爆气,分开,二爆,338,48,0,B - 左下单点,B - 左边单点、右边单点,1288379,77 + 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,178,28,0,A - 左边单点,A - 左边单点,1480932,67 + 0.0
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,403,58,0,B - 右边单点,B - 右下单点,1480932,67 + 0.0
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,212,31,11,A - 右下单点,A - 右边滑点,1480932,67 + 0.0
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,403,58,0,B - 右边单点,B - 右下单点,1480932,67 + 0.0
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,178,28,0,A - 左边单点,A - 左边单点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,547,73,24,B - 右下滑点,B - 左下滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,178,28,0,A - 左边单点,A - 左边单点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,549,73,26,B - 右边滑点,B - 左边滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,212,31,11,A - 右下单点,A - 右边滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,547,73,24,B - 右下滑点,B - 左下滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,212,31,11,A - 右下单点,A - 右边滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,549,73,26,B - 右边滑点,B - 左边滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,212,31,12,A - 右下单点,A - 右边滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,547,73,24,B - 右下滑点,B - 左下滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,212,31,12,A - 右下单点,A - 右边滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,549,73,26,B - 右边滑点,B - 左边滑点,1479873,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,213,31,16,A - 右边单点,A - 右下滑点,1479870,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,403,58,0,B - 右边单点,B - 右下单点,1479870,67 - 0.2
M,6,"Maps","Maroon 5",非押爆,爆气,分开,一爆,212,31,10,A - 右下单点,A - 右边滑点,1478811,67 - 0.4
M,6,"Maps","Maroon 5",非押爆,爆气,分开,二爆,403,58,0,B - 右边单点,B - 右下单点,1478811,67 - 0.4
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,212,31,12,A - 右下单点,A - 右下滑点,1490478,69 - 0.2
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,547,73,23,B - 右下滑点,B - 左边滑点,1490478,69 - 0.2
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,213,31,14,A - 右边单点,A - 右下滑点,1489416,69 - 0.4
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,547,73,23,B - 右下滑点,B - 左边滑点,1489416,69 - 0.4
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,212,31,11,A - 右下单点,A - 右下滑点,1488357,68 + 0.4
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,547,73,23,B - 右下滑点,B - 左边滑点,1488357,68 + 0.4
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,212,31,12,A - 右下单点,A - 右下滑点,1488354,68 + 0.4
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,399,57,23,B - 左下滑点,B - 左边滑点,1488354,68 + 0.4
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,178,28,0,A - 左边单点,A - 左边长条开始,1487827,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,547,73,23,B - 右下滑点,B - 左边滑点,1487827,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,212,31,12,A - 右下单点,A - 右下滑点,1487825,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,406,58,16,B - 左边单点,B - 左下单点,1487825,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,212,31,12,A - 右下单点,A - 右下滑点,1487825,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,409,58,28,B - 左下单点,B - 右边单点,1487825,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,212,31,12,A - 右下单点,A - 右下滑点,1487825,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,415,59,12,B - 左边单点,B - 左下单点,1487825,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,212,31,12,A - 右下单点,A - 右下滑点,1487825,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,416,59,16,B - 右下单点,B - 右下单点,1487825,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,一爆,212,31,12,A - 右下单点,A - 右下滑点,1487825,68 + 0.3
M,6,"Maps","Maroon 5",押爆,爆气,分开,二爆,417,59,20,B - 右边单点,B - 右边单点,1487825,68 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,20,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 左边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,20,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,433,68,20,B - 右边单点,B - 右下单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,21,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 左边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,21,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,433,68,20,B - 右边单点,B - 右下单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,22,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 左边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,22,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,433,68,20,B - 右边单点,B - 右下单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,23,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 左边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,23,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,433,68,20,B - 右边单点,B - 右下单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,24,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 左边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,一爆,136,24,24,A - 右边单点,A - 右边单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",非押爆,爆气,分开,二爆,433,68,20,B - 右边单点,B - 右下单点,1321737,61 + 0.3
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,136,24,24,A - 右边单点,A - 右下单点,1332345,63 + 0.3
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 右下单点,1332345,63 + 0.3
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,150,26,12,A - 左下单点,A - 左下单点,1332342,63 + 0.3
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 右下单点,1332342,63 + 0.3
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,151,26,16,A - 右下单点,A - 右下单点,1332342,63 + 0.3
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 右下单点,1332342,63 + 0.3
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,134,24,16,A - 右下滑点,A - 右边单点,1331283,63 + 0.1
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 右下单点,1331283,63 + 0.1
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,140,25,4,A - 左下单点,A - 右边滑点,1330754,63 + 0.0
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 右下单点,1330754,63 + 0.0
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,136,24,24,A - 右边单点,A - 右下单点,1330224,63 - 0.1
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,453,70,16,B - 左边单点,B - 右边单点,1330224,63 - 0.1
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,150,26,12,A - 左下单点,A - 左下单点,1330221,63 - 0.1
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,453,70,16,B - 左边单点,B - 右边单点,1330221,63 - 0.1
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,151,26,16,A - 右下单点,A - 右下单点,1330221,63 - 0.1
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,453,70,16,B - 左边单点,B - 右边单点,1330221,63 - 0.1
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,141,25,6,A - 右下单点,A - 右下滑点,1329692,63 - 0.2
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,432,68,16,B - 右下单点,B - 右下单点,1329692,63 - 0.2
,,"一笑倾城","汪苏泷",押爆,爆气,分开,一爆,134,24,16,A - 右下滑点,A - 右边单点,1329162,63 - 0.3
,,"一笑倾城","汪苏泷",押爆,爆气,分开,二爆,453,70,16,B - 左边单点,B - 右边单点,1329162,63 - 0.3
,,"怎样说清此刻的心情","BY2",非押爆,爆气,分开,一爆,202,26,24,A - 左下单点、右下单点,A - 右边长条开始,1208229,64 - 0.3
,,"怎样说清此刻的心情","BY2",非押爆,爆气,分开,二爆,464,57,0,B - 左边单点、右边长条开始,B - 左下左滑条中间、右下右滑条中间,1208229,64 - 0.3
,,"怎样说清此刻的心情","BY2",非押爆,爆气,分开,一爆,199,26,12,A - 左边滑点,A - 左下单点、右边单点,1207697,64 - 0.4
,,"怎样说清此刻的心情","BY2",非押爆,爆气,分开,二爆,464,57,0,B - 左边单点、右边长条开始,B - 左下左滑条中间、右下右滑条中间,1207697,64 - 0.4
,,"怎样说清此刻的心情","BY2",非押爆,爆气,分开,一爆,186,25,12,A - 右边单点,A - 左边单点、右下单点,1207162,64 - 0.5
