首字母,等级,歌名,歌手,bgm路径,无技能裸分,极限技能裸分,半cb,全cb,分数变化
,,"让我心动","Apink",100255,801634,889520,216,502,
,,"你的微笑","飞儿乐团",100530,1027054,1139642,299,632,
,,"望","张碧晨/赵丽颖",100623,1073165,1190800,234,680,
,,"Poker Face","Lady Gaga",100672,833198,924684,188,400,
*,10,"プライド革命","CHiCO with HoneyWorks",103426,2422487,2687704,829,1694,
,,"绿光","孙燕姿",100521,865698,960670,203,495,
,,"触动心触动爱","BY2",100482,617918,685746,142,324,
W,6,"What Makes You Beautiful","One Direction",100099,928098,1029998,199,452,
B,7,"表白","萧亚轩",100587,1218960,1352635,269,691,
,,"Checkmate","林俊杰/郑容和",101183,835837,927382,264,589,
,,"Doraradora","Fujigami Mai",100480,1122474,1245582,300,634,
,,"专属味道","汪苏泷/林希儿",100566,1287977,1429062,417,871,
,,"不朽之罪","双笙/玄觞",100588,459266,509665,113,270,
,,"Sky","Steerner",100754,1127505,1251041,234,733,
I,8,"I Knew You Were Trouble","Taylor Swift",100601,1378223,1529111,580,982,
G,10,"Gee","少女时代",100442,2010855,2231419,630,1101,20
M,8,"马上上马","庄园",103510,1515698,1681950,459,834,
A,7,"Apple Is A","T-ara",100210,830273,921385,235,452,
,,"直到世界终结(困难版)","WANDS",100522,2320216,2574592,452,1327,
X,6,"炫舞国度","BOX.COM",100485,1044227,1158835,273,533,
,,"后会无期","徐良/汪苏泷",100674,383398,425426,123,271,
F,9,"flower of sorrow","花たん",103419,2051103,2275784,624,1347,
I,8,"I Want My Tears Back","NIGHT WISH",100170,2378274,2638939,601,1432,
L,9,"恋のパーフェクト微分方程式","ユウノウミ",103008,1913264,2123137,531,1019,
,,"棉花糖","至上励合",100441,644464,715149,154,386,
,,"可以了","陈奕迅",100644,797461,884957,200,443,
W,9,"无可取代","李雪岩",100426,2200863,2442143,631,1297,
,,"左边","杨丞琳",100525,965447,1071315,292,583,
,,"Be My Baby","Wonder Girls",100643,1747982,1939559,678,1067,
,,"歌谣","李荣浩",100541,1195560,1326721,278,638,
Y,9,"一吻天荒","胡歌",101871,2170625,2408080,465,1660,20
,,"SHIORI","ClariS",100544,2493441,2766815,539,1420,50
,,"太阳雨","QQ炫舞原创",101185,397360,440865,158,325,
D,10,"Dura","Daddy Yankee",101859,2714389,3012407,489,1217,100
,,"淋雨一直走","张韶涵",100519,534679,593412,126,248,
D,6,"带我走","杨丞琳",103540,1197328,1328421,416,860,
,,"剩下的盛夏","TFBOYS",100269,740404,821441,279,583,
B,9,"Butter Fly","和田光司",100626,2148993,2384422,643,1381,
,,"直到世界终结 ","WANDS",100522,676587,750834,104,372,
L,8,"凉凉(困难版)","杨宗纬/张碧晨",102243,2235157,2479969,736,1482,
X,8,"幸福症候群","nanawoakari",103320,1429807,1586585,351,817,
,,"万有引力","汪苏泷",100484,328785,364881,56,204,
,,"Get It On The Floor","DMX",101391,2042250,2266060,613,1241,
,,"We Don't Talk Anymore","Charlie Puth / Selena Gomez",100592,354135,393050,74,171,
,,"Hola","Flo Rida/Maluma",101055,678082,752521,175,335,
,,"Loved","Highlight",103389,858015,952065,283,546,
G,6,"更发光","以团之名",103502,1120810,1243643,401,717,
,,"回忆那么伤","孙子涵",100585,896820,995223,162,488,
,,"Monsters","Katie Sky",103460,571768,634462,180,369,
,,"You Are","GOT7",101700,532573,591009,110,293,
,,"LOVE IT LIVE IT","YDPP",102087,948391,1052397,230,557,
N,7,"牛奶面包","杨紫/鱿小鱼",103054,998233,1107802,287,500,
,,"吸引定律","Awaken-F",102628,665277,738226,197,413,
B,6,"Boys","Charli XCX",101084,918140,1018763,284,580,
R,9,"Rolling Star","YUI",100608,1695683,1881227,585,1278,
,,"走着走着就散了","庄心妍",100547,914773,1015028,274,587,
R,6,"仁心所向","河图",103016,1253917,1391138,534,954,
,,"再见安打","唐禹哲",100683,536668,595539,107,321,
,,"我们都一样","张杰",100059,806093,894445,327,530,
X,6,"修炼爱情","林俊杰 ",100549,1376286,1527051,264,925,
H,7,"好想大声说喜欢你","BAAD",100611,1342031,1488946,396,976,
B,6,"别爱太满别睡太晚","贺一航",103535,978356,1085556,299,649,
N,6,"那时正好","赵政豪",103416,1312261,1455894,323,965,
,,"Brave Heart","宮崎歩",100764,1577474,1750282,557,1054,
A,6,"爱投罗网","罗志祥",100648,1162215,1289601,255,710,
,,"七つ紅葉灯","木制みゅーと",103623,3248910,3605449,744,1563,
,,"素颜","许嵩/何曼婷",100690,311170,345311,91,209,
S,7,"Sugar Rush","吴映洁",102978,993228,1102177,273,549,
,,"CALL ME BABY","EXO",100196,676496,750702,163,400,
,,"Loki","BC221",103390,807718,896313,231,463,
,,"赝品","简弘亦",103601,866179,961155,260,524,
W,10,"Wake up!","AAA",100639,2197015,2438032,451,1156,
S,10,"帅一个","罗志祥",103330,1932660,2144456,486,1177,
B,6,"白骑士","QQ炫舞原创",101330,1028198,1140884,348,655,
T,8,"to the beginning","Kalafina",100591,1680616,1864537,762,1262,
B,6,"背对背拥抱","林俊杰",100063,1104300,1225194,457,803,100
,,"Flower Dance","DJ OKAWARI",101007,426896,473721,128,278,
G,10,"更新","Sabão",103020,2512070,2787301,696,1587,
,,"Too Much","Carly Rae Jepsen",103461,524630,582150,165,355,
M,8,"觅","王喆",103517,1735255,1925597,421,938,
K,6,"Kids in the Dark","All Time Low",103501,1147408,1273137,358,746,
W,6,"What Do You Mean?","Justin Bieber",100615,1051767,1167091,228,606,
E,8,"E.T.","Katy Perry",103406,1324559,1469736,343,815,
R,9,"Rookie","Red Velvet",101722,1620127,1797815,350,892,
C,9,"Crash","The Primitives",103022,1874511,2079796,510,1268,
,,"芥末巧克力","杨丞琳",103379,902072,1001134,169,410,
,,"我乐意(QQ炫舞系列主题曲)","许嵩",101338,968320,1074387,276,662,
,,"观花","萌娜丽莎/郑冰冰",103518,866686,961664,268,554,
,,"Good Girl 赶快爱","陈芳语",103692,1078391,1196664,289,622,
,,"Flamingo","米津玄師",103391,905192,1004401,270,579,
,,"Blue Skies","Lenka",100389,851645,945056,204,483,
,,"两人份美好","李俊毅",103472,799554,887247,214,471,
S,7,"SHOOT IT OUT","GENERATIONS from EXILE TRIBE/THE RAMPAGE from EXILE TRIBE",103706,1244180,1380545,330,779,
,,"ME!","Taylor Swift/Brendon Urie",103462,564943,626930,153,327,
,,"夜空中最亮的星","逃跑计划",100704,808823,897451,293,551,
,,"雨后的咖啡","SNP",103400,763804,847493,272,517,
W,6,"Wolves","Selena Gomez/Marshmello",101099,1435566,1592737,495,1028,
R,6,"Right Now","rihanna",100200,1357124,1505902,395,818,
J,7,"就是你","范玮琪",102979,1208508,1340781,384,898,
,,"灿烂之夏","王子异",103797,641903,712316,199,389,
,,"大碗宽面","吴亦凡",103467,605529,671900,164,383,
S,9,"Sparkling Daydream","ZAQ",100613,2436891,2704014,639,1450,100
,,"For You","高颖浠",103519,721697,800820,210,455,
W,9,"Why So Lonely","Wonder Girls",101418,2447109,2715142,723,1619,
,,"你的声音不会消失","fumika",100513,1192154,1322807,354,745,20
,,"勋章","鹿晗",100703,363131,403022,74,188,
A,8,"爱情的花样","孙燕姿",103524,1351144,1499367,351,728,
*,9,"ペガサス幻想","MAKE-UP",100647,1968670,2184539,420,1106,
,,"朝代","排骨教主",103520,814725,904082,227,477,
P,6,"Play It Cool","Steve Aoki/MONSTA X",103382,849565,942748,231,494,
,,"芒种","音阙诗听/赵方婧",103561,743966,825545,205,433,
S,10,"Stand By Me","the peggies",103421,2459901,2729455,836,1530,
C,6,"彻底","庄心妍",103533,1341589,1488484,475,959,
,,"Talk Dirty","Jason Derulo/2",101340,538748,597824,225,352,
,,"炫舞","陈伟霆",101351,1061634,1177808,434,821,
Z,9,"仲夏","王北车",103546,2403507,2666839,657,1524,100
,,"Light up","刘人语",103756,2298636,2550630,690,1344,
,,"Don't Need Your Love","NCT DREAM/HRVY",103592,884483,981432,273,549,
S,6,"是我","张韶涵",102671,1326522,1471663,484,1027,
,,"无限大","孙燕姿",101088,886225,983485,345,476,
T,6,"Telephone","Lady GaGa",100415,1170002,1298457,287,544,
,,"太过爱你","MC梦",100569,1233754,1368826,397,875,
F,9,"Faded(困难版)","Alan Walker",102253,1881141,2087645,488,893,
,,"Brand New Story","GENERATIONS from EXILE TRIBE",103600,892985,990820,255,603,
,,"Always Online","林俊杰",100040,649040,720080,271,506,
M,10,"MY舞☆TONIGHT","Aqours",101698,2773240,3077280,811,1587,
,,"Lil Mama","Jain",103680,710153,788037,212,424,
R,10,"R.1.S.E","R1SE",103549,2401570,2664725,708,1488,
V,10,"VORACITY","MYTH & ROID",103430,2577109,2859470,706,1614,
,,"恋爱循环","花泽香菜",100514,862604,957204,266,502,100
,,"Faded","Alan Walker",100008,483420,536404,156,345,
D,9,"Dear Future Husband","Meghan Trainor",101745,1700051,1886346,436,1068,
X,8,"響喜乱舞","GARNiDELiA",103431,1684646,1869524,437,843,
X,6,"新青年","李行亮",103690,899394,997941,307,601,
C,9,"长安诀","汪苏泷",103643,1946570,2159875,500,1229,
,,"耿耿于怀","王笑文",103503,1181988,1311423,400,837,
Z,10,"钻石微笑","Run Girls, Run！",103550,2438906,2706261,712,1440,
,,"HERO","李子璇",103512,902865,1001894,269,514,
F,10,"Flower Dance(困难版)","DJ OKAWARI",102256,1654759,1836573,238,649,
D,9,"单线告别","接个吻，开一枪/刘至佳",103636,1555400,1725947,458,898,
Q,8,"七年的爱","金贤政",100172,1154064,1280570,242,708,20、50
,,"林中鸟(困难版)","葛林",102238,2786617,3091847,732,1818,
X,6,"虚拟","陈粒",102966,1094550,1214545,372,673,
,,"动物森林","范玮琪",100004,580478,644200,137,305,
,,"Love Story","Taylor Swift",100631,1076389,1194463,319,601,
,,"永世のクレイドル","鈴華ゆう子",103739,1318501,1462871,458,932,
,,"胡萝卜须","许嵩",103729,1231570,1366584,354,735,
,,"非酋","薛明媛/朱贺",100573,678979,753546,130,310,
C,10,"courage","戸松遥",103334,1949118,2162699,587,1222,
,,"逆战","张杰",100152,860745,955302,179,350,
,,"无名之辈","陈雪燃",103053,610235,677188,147,340,
,,"鍵ノ間","黒兎ウル",103639,1921155,2131969,451,969,
L,7,"旅行的爱情","Samuel",103536,1447396,1605913,427,993,100
D,9,"当妮走了","徐真真",103637,1739233,1929953,471,965,
H,6,"好想告诉你","谷泽智文",102984,1178621,1307842,291,704,
,,"Baby Don't Cry","于湉",103374,805690,894090,223,434,
G,8,"灌溉爱","郭采洁",103542,1260755,1398926,408,790,
,,"狂风里拥抱","信/A-Lin",103830,1440480,1598291,435,944,
,,"滚烫的青春","王源",103605,631828,701019,246,474,
D,10,"大艺术家(困难版)","蔡依林",102263,2211536,2453860,721,1382,
,,"Trouble Is a Friend","Lenka",100130,942294,1045569,220,592,
B,7,"白衣少年","许诗茵",103514,1643046,1823018,487,1091,
H,9,"Hey Baby 你是我的","李佳薇",101728,1642149,1822222,441,934,
,,"Leave Out All The Rest","Linkin Park",103750,1793755,1990010,643,1375,
,,"DAY BY DAY","T-ara",100633,785865,872166,164,354,
,,"Try Everything","Shakira",100302,1197575,1328852,422,740,
,,"我的朋友","TFBOYS",103722,1791220,1987620,512,1022,
,,"Turn Up","周汤豪",103387,926876,1028468,289,587,
,,"青春大满贯","胡夏",103693,1051156,1166285,427,733,
W,10,"五等分の気持ち","花泽香菜/竹達彩奈/伊藤美来/佐倉綾音/水瀬いのり",103422,2206752,2448648,660,1296,
,,"アリエラ","佐香智久/天月-あまつき-",103723,1385711,1537777,315,696,
C,7,"Close To Me","Ellie Goulding/Diplo/Red Velvet",103405,1302927,1445577,427,935,
,,"Shatter Me","Lindsey Stirling/Lzzy Hale",103726,2520923,2797476,821,1329,
,,"爱在我身边","吴映洁",103786,490570,544384,134,305,
A,8,"Angel With A Shotgun","Nightcore",103543,1311169,1454846,365,839,
Q,10,"琪露诺的完美算术教室","IOSYS",103201,3127490,3470656,797,1562,
B,6,"Bad Romance","Lady Gaga",100244,1229750,1364814,253,539,
D,9,"DEAREST DROP","田所あずさ",103627,1902162,2110538,636,1222,
,,"All Mine","f(x)",103817,870443,965726,346,653,
,,"两小无猜","小木",103507,986286,1094421,261,597,
T,7,"TOUCH MY HEART","罗志祥",102980,1014522,1125666,385,689,
,,"Girl in the Mirror","Bebe Rexha",103471,859107,953238,282,574,
G,10,"冠世一战","言和",103202,3082497,3420242,779,1921,20
,,"Dreams Come True","徐明浩",103821,1015562,1126887,310,631,
,,"恋爱幸运曲奇","AKB48",100476,710504,788432,148,420,
*,9,"デートアライブ","sweet ARMS",103429,1719278,1907697,565,1062,
,,"Just Dance","王一博",100887,1021516,1133627,244,524,
,,"HIT","SEVENTEEN",103818,1128636,1252351,348,696,
,,"克罗地亚狂想曲","马克西姆",100809,2233506,2478653,536,1058,
X,6,"星期天","张紫豪",103384,887512,984836,242,529,
Z,7,"最苦的甜","胡夏",103523,1065872,1182652,333,711,
B,6,"Birthday","罗志祥",103537,1063220,1179791,395,637,
T,8,"淘气堡","Chic Chili",103628,2027807,2249751,623,1473,
,,"狂欢夜","QQ炫舞原创",101511,856351,950230,160,524,
,,"Sweet but Psycho","Ava Max",103713,1343591,1490922,353,784,
,,"Let Me Hear","Fear, and Loathing in Las Vegas",103203,3315015,3678712,833,1687,
W,8,"我的告白","王栎鑫/周文杰",103409,1614927,1791829,614,1063,
L,9,"Last One Standing","Simple Plan",103408,1986194,2203713,494,1332,
W,6,"When You Know What Love Is","Craig David",103591,940383,1043379,354,662,
,,"卡农","Pachelbel",100240,1729002,1918656,472,925,
G,6,"孤身","徐秉龙",103612,783681,869512,283,564,
S,6,"SHOW THE WORLD","林俊杰",103716,873030,968628,343,630,
,,"Time with you","圭贤",103486,618230,685949,244,448,
,,"春、恋桜。","majiko",103487,608532,675263,177,376,
C,9,"chAngE","miwa",100493,2194220,2434892,507,1164,
X,6,"小星星","汪苏泷",100533,1315563,1459555,454,980,100
,,"超大只怪兽","焦迈奇",103675,549616,609908,173,336,
,,"稀罕没理由","潘玮柏",100552,364704,404769,96,196,
,,"唱起这首歌","刘人语",103802,1120225,1243015,356,691,
,,"Leaving California","Maroon 5",103809,973806,1080382,361,747,
I,8,"I am YOU","Stray Kids",103414,1406017,1560079,503,896,
C,9,"Candy Pop","TWICE",101488,1749945,1941628,483,1160,
*,7,"1234喜欢你","王欣宇",102809,1281724,1422320,322,711,
R,10,"Remember","FTISLAND",103433,2551551,2830886,947,1772,
S,10,"Shiny","高颖浠",103511,2476515,2748185,662,1301,
,,"空山新雨后","音阙诗听/锦零",103363,596585,662014,166,354,
,,"有你我就不孤单","罗志祥/恺乐/C.T.O",103694,1418731,1574276,379,839,
,,"Pure","向井太一",102808,627642,696519,162,334,
N,9,"你，有没有过","林俊杰",100474,1899601,2107835,465,1127,100
D,7,"地铁等待","张紫豪",103525,1280151,1420331,479,899,
L,9,"啰哩叭唆","陈嘉桦",103529,1477660,1639843,355,729,
,,"好喜欢你","颜人中",103790,673090,746926,164,388,
,,"Long Kiss Good Bye","Halcali",100607,1184276,1313938,401,862,
Z,7,"再遇不到你这样的人","庄心妍",100619,1353510,1501826,376,868,
,,"Getaway","Syn Cole",103488,965083,1070851,253,625,
,,"我们很好","林俊杰",103596,643593,714093,246,468,
,,"魂不守舍","朱星杰",103356,901474,1000292,260,555,
R,8,"Radiant","TANGRAM",103516,1753078,1945118,560,1151,
,,"下个，路口，见","李宇春",100680,611678,678670,226,455,
,,"心率","鹿晗",100707,396021,439443,115,270,
B,6,"Break The Rules","Charli XCX",103593,1023232,1135517,250,541,
,,"One In A Billion","Wake Up, May'n!",103736,2033657,2256487,627,1292,
X,6,"小情歌","苏打绿",100531,1120186,1242948,272,721,
,,"盲眼画师","河图",103541,1335856,1482082,537,973,
,,"流光记","银临",103685,962379,1067906,303,570,
F,10,"Fanfare","Sumika",103432,2834730,3144966,986,2055,
,,"Snapping","金请夏",103684,820510,910510,218,479,
Q,7,"群居动物","胡66",103531,1349337,1497327,386,753,
A,8,"A型のうた","西野カナ",103626,1381005,1532547,344,704,
S,7,"什么什么","蔡依林",101315,1347374,1495138,308,751,
B,6,"Bon Bon(给他一击)","强东玥",103515,1090260,1209744,374,697,
B,10,"Bright Burning Shout","T.M.Revolution",103424,2725855,3024359,921,1826,
,,"カーストルーム","ZAQ",103745,1473578,1635093,381,915,
C,9,"CLEAR","坂本真綾",101359,1797187,1994356,436,954,50
C,10,"Candy Boy","TWICE",103423,1971270,2187407,401,1129,
Q,9,"青鸟","生物股长",100605,2301665,2554087,576,1268,
,,"Pink Magic","艺声",103598,974547,1081373,314,618,
F,9,"浮年盏","刘珂矣",103545,1958647,2173218,548,1270,20
,,"傻了吧","大张伟",103744,2214760,2457686,522,1191,
I,6,"I Want You to Know","Zedd/Selena Gomez",103708,1315940,1460061,445,907,
D,7,"豆你玩","李子璇",103508,961001,1066532,276,454,
K,6,"KNOCK KNOCK","TWICE",100678,919063,1019939,143,444,
H,6,"好奇的猫","胡66",103687,1011220,1122064,325,632,
C,7,"宠坏","李俊佑/小潘潘",103544,1263784,1402389,386,714,
,,"光耀","梁心颐",103799,968398,1074519,327,630,
I,7,"I'm OK","小青龙",103509,1233208,1368519,254,651,
,,"123我爱你(困难版)","新乐尘符",102233,2058175,2283840,594,1178,50
L,8,"Light","San Holo",103632,1385295,1537252,376,764,100
W,6,"我的名字","焦迈奇",103538,1103416,1224392,344,657,
S,6,"Synchronise","INFINITE",101312,1118496,1240842,423,901,
M,9,"MARIA","黄明昊/KOHH",103630,1576161,1748775,520,1070,
M,7,"Magic Dream","APPRIL",103539,1328602,1474275,456,785,
,,"没有你的冬季","阿云嘎",103052,1230296,1365165,399,756,
R,6,"如果当时","胡夏",103617,965720,1071561,306,632,
S,6,"Sunny Side Up!","Red Velvet",103717,980592,1087987,349,693,
,,"Ring of Fortune","佐々木恵梨",103747,1801412,1998816,563,1127,
W,7,"我要飞","飞儿乐团",103718,1081186,1199707,327,670,
,,"Victory(困难版)","Bond",102265,3148251,3493572,882,1671,50
,,"I like you(炫舞音乐季主题曲)","孟美岐",103616,1504713,1669716,426,863,
,,"Señorita","Shawn Mendes/Camila Cabello",103702,788088,874465,191,513,
,,"我们是太阳","筷子兄弟",103404,921650,1022521,349,708,
,,"I Still Do","Why Don't We",103813,693955,770002,260,473,
,,"Carry on","Monsta X",103793,719955,798886,233,458,
,,"Talking to Myself","Linkin Park",103816,1225252,1359391,525,884,
,,"漫过","吴映香",103470,860498,954760,285,596,
,,"Ever After","Alice",103696,1183379,1312880,456,901,
,,"长安巷","排骨教主",103791,669892,743346,189,419,
Y,6,"原点","徐梦圆",103306,1524629,1691354,606,1244,
Q,7,"倾杯","SING女团",103522,1142169,1267355,384,723,
,,"Whistle(困难版)","Flo Rida",102230,2184470,2423752,572,1433,
,,"德寿宫石墙路的春天","允儿/10cm",103577,652524,724105,207,381,
G,9,"孤注一掷的舞者","DOES",103415,1758824,1951536,573,1120,
,,"Badass Woman","Meghan Trainor",103489,654799,726517,224,479,
U,10,"UNION","OxT",103026,2052819,2277858,590,1217,
,,"Come Back Down","Mediks",103645,2477087,2748664,720,1435,
,,"最好的天气","郭采洁",103401,820419,910394,193,486,
W,6,"我只喜欢你","胡夏",103532,1247742,1384491,286,776,
,,"藏不住的心跳","朱主爱",103468,747684,829654,239,471,
Z,6,"着陆","白举纲",103599,1089948,1209375,289,713,
,,"DAYS of DASH","鈴木このみ",103734,1719096,1907271,612,1244,
W,6,"我很快乐","刘惜君",103689,905244,1004557,235,497,
F,7,"Focus","TANGRAM",103521,1262198,1400699,277,660,
,,"BEE","Rothy",103576,650288,721575,218,414,
,,"树洞","欧阳娜娜",103832,1421162,1576791,566,985,
,,"Summer Time","倖田來未",103748,1588849,1763016,485,949,
A,9,"Another(Feat. 王嘉尔)","秦奋",103644,2368290,2627668,754,1573,
,,"世界は恋に落ちている","CHiCO with HoneyWorks",103731,1273222,1412865,346,720,
,,"别再靠近我了","陈雪凝",103831,1293853,1435543,409,887,
