首字母,等级,文件名,歌名,歌手,bgm路径,无技能裸分,极限技能裸分,半cb,全cb,分数变化
,,Take Flight 4k节奏转谱 280_odd.xml,"Take Flight 4k节奏转谱","Lindsey Stirling",takeflight,3420146,3794753,2241,2241,
,,大家好 4k节奏转谱 255.xml,"大家好 4k节奏转谱","Memme",dajiahao,3598324,3993217,1737,1737,50
,,Purple Passion 5k节奏转谱 252.xml,"Purple Passion 5k节奏转谱","Diana Boncheva",zisejiqing,3058369,3393627,1798,1798,100
,,Extreme Fantasy 4k节奏转谱 304_odd.xml,"Extreme Fantasy 4k节奏转谱","Memme",jixianshengcun,5850938,6492527,3179,3179,
,,REANIMATE 4k节奏转谱 348_odd.xml,"REANIMATE 4k节奏转谱","Warak",reanimate,4523781,5019551,2720,2720,
,,Take Flight 4k节奏转谱 210.xml,"Take Flight 4k节奏转谱","Lindsey Stirling",takeflight,3075243,3412260,1873,1873,
,,The Raising Fighting Spirit 4k节奏转谱 280_odd.xml,"The Raising Fighting Spirit 4k节奏转谱","火影忍者",theraisingfightingspirit,2309751,2562746,1502,1502,
,,雪愿 5k节奏转谱 210.xml,"雪愿 5k节奏转谱","Wolf.R",xueyuan,2657176,2948314,1687,1687,
,,君往何处 4k节奏转谱 240_odd.xml,"君往何处 4k节奏转谱","M2U",junwanghechu,3585597,3979068,1727,1727,
,,Toy War 4k节奏转谱 320.xml,"Toy War 4k节奏转谱","M2U",toywar,3276860,3636507,1546,1546,
,,大家好 5k节奏转谱 255.xml,"大家好 5k节奏转谱","Memme",dajiahao,3593332,3987678,1734,1734,50
,,Purple Passion 5k节奏转谱 336_odd.xml,"Purple Passion 5k节奏转谱","Diana Boncheva",zisejiqing,3349647,3716649,2109,2109,
,,Drunkenstein 4k节奏转谱 256_odd.xml,"Drunkenstein 4k节奏转谱","Paul Bazooka",drunkenstein,3550393,3939994,1738,1738,20
,,野蜂飞舞 4k节奏转谱 240.xml,"野蜂飞舞 4k节奏转谱","马克西姆",yefengfeiwu,3694524,4100102,1664,1664,
,,桃源郷的外星人 5k节奏转谱 255.xml,"桃源郷的外星人 5k节奏转谱","serial TV drama",taoyuanxiangwaixingren,3399671,3771956,2283,2283,
,,神圣之光 5k节奏转谱 232.5.xml,"神圣之光 5k节奏转谱","7 Sequence",arklightrmver,4797730,5324434,2151,2151,
,,野蜂飞舞 5k节奏转谱 240.xml,"野蜂飞舞 5k节奏转谱","马克西姆",yefengfeiwu,3676428,4080049,1633,1633,
,,Take My Hand 5k节奏转谱 309.6.xml,"Take My Hand 5k节奏转谱","Simple Plan",takemyhand,4021071,4461433,2649,2649,
,,致命之剑 4k节奏转谱 190.5.xml,"致命之剑 4k节奏转谱","Lin-G",zhimingzhijian,3650974,4051478,1872,1872,
,,Goldtown 5k节奏转谱 320.xml,"Goldtown 5k节奏转谱","Memme",goldtown,3633112,4031814,1787,1787,
,,卡农摇滚版 4k节奏转谱 200_odd.xml,"卡农摇滚版 4k节奏转谱","JerryC",canonrock,5153410,5718714,2657,2657,100
,,Take My Hand 5k节奏转谱 232.2.xml,"Take My Hand 5k节奏转谱","Simple Plan",takemyhand,3622543,4019467,2224,2224,
,,Take Flight 5k节奏转谱 280_odd.xml,"Take Flight 5k节奏转谱","Lindsey Stirling",takeflight,3464762,3844246,2277,2277,
,,君往何处 5k节奏转谱 320_odd.xml,"君往何处 5k节奏转谱","M2U",junwanghechu,3753024,4164751,1898,1898,
,,卡农摇滚版 5k节奏转谱 300.xml,"卡农摇滚版 5k节奏转谱","JerryC",canonrock,5759067,6390404,3282,3282,100
,,君往何处 5k节奏转谱 240_odd.xml,"君往何处 5k节奏转谱","M2U",junwanghechu,3597765,3992571,1733,1733,
,,桃源郷的外星人 4k节奏转谱 340_odd.xml,"桃源郷的外星人 4k节奏转谱","serial TV drama",taoyuanxiangwaixingren,3898221,4324836,2817,2817,50
,,魔理沙胡了个不得了的役满 5k节奏转谱 255_odd.xml,"魔理沙胡了个不得了的役满 5k节奏转谱","IOSYS",molisha,8743594,9703448,3933,3933,
,,Faraway 4k节奏转谱 288_odd.xml,"Faraway 4k节奏转谱","Diana Boncheva",faraway,3449929,3828124,2011,2011,
,,The Raising Fighting Spirit 5k节奏转谱 280_odd.xml,"The Raising Fighting Spirit 5k节奏转谱","火影忍者",theraisingfightingspirit,2355303,2613277,1539,1539,
,,少女幻葬 5k节奏转谱 328_odd.xml,"少女幻葬 5k节奏转谱","Jun.A",shaonvhuanzang,5623464,6239793,3334,3334,
,,卡农摇滚版 4k节奏转谱 300.xml,"卡农摇滚版 4k节奏转谱","JerryC",canonrock,5726307,6354047,3268,3268,100
,,致命之剑 5k节奏转谱 190.5.xml,"致命之剑 5k节奏转谱","Lin-G",zhimingzhijian,3610726,4006844,1829,1829,
,,Purple Passion 4k节奏转谱 336_odd.xml,"Purple Passion 4k节奏转谱","Diana Boncheva",zisejiqing,3349647,3716649,2109,2109,
,,神圣之光 4k节奏转谱 232.5_odd.xml,"神圣之光 4k节奏转谱","7 Sequence",arklightrmver,4742818,5263334,2251,2251,
,,致命之剑 5k节奏转谱 254.xml,"致命之剑 5k节奏转谱","Lin-G",zhimingzhijian,3855178,4277936,2089,2089,
,,神圣之光 5k节奏转谱 310.xml,"神圣之光 5k节奏转谱","7 Sequence",arklightrmver,4913794,5453146,2275,2275,
,,大家好 4k节奏转谱 340_odd.xml,"大家好 4k节奏转谱","Memme",dajiahao,3739426,4149703,1886,1886,
,,雪愿 5k节奏转谱 280_odd.xml,"雪愿 5k节奏转谱","Wolf.R",xueyuan,2906152,3224422,1953,1953,
,,少女幻葬 4k节奏转谱 246.xml,"少女幻葬 4k节奏转谱","Jun.A",shaonvhuanzang,5220022,5792374,2902,2902,
,,少女幻葬 4k节奏转谱 328_odd.xml,"少女幻葬 4k节奏转谱","Jun.A",shaonvhuanzang,5657472,6277510,3368,3368,
,,REANIMATE 5k节奏转谱 348_odd.xml,"REANIMATE 5k节奏转谱","Warak",reanimate,4653573,5163538,2819,2819,
,,少女绮想曲 4k节奏转谱 320_odd.xml,"少女绮想曲 4k节奏转谱","Jun.A",shaonvqixiangqu,4206022,4666913,2584,2584,
,,Take My Hand 4k节奏转谱 309.6.xml,"Take My Hand 4k节奏转谱","Simple Plan",takemyhand,4015455,4455214,2636,2636,
,,神圣之光 4k节奏转谱 310.xml,"神圣之光 4k节奏转谱","7 Sequence",arklightrmver,4841098,5372324,2356,2356,
,,雪愿 4k节奏转谱 210.xml,"雪愿 4k节奏转谱","Wolf.R",xueyuan,2595712,2880146,1626,1626,
,,Toy War 5k节奏转谱 320.xml,"Toy War 5k节奏转谱","M2U",toywar,3276860,3636507,1546,1546,
,,野蜂飞舞 4k节奏转谱 320.xml,"野蜂飞舞 4k节奏转谱","马克西姆",yefengfeiwu,3726348,4135394,1698,1698,
,,雪愿 4k节奏转谱 280_odd.xml,"雪愿 4k节奏转谱","Wolf.R",xueyuan,2826904,3136532,1873,1873,
,,雪愿2 4k节奏转谱 260_odd.xml,"雪愿2 4k节奏转谱","Wolf.R",xueyuan2,2061009,2287088,1084,1084,
,,君往何处 4k节奏转谱 320_odd.xml,"君往何处 4k节奏转谱","M2U",junwanghechu,3740856,4151248,1892,1892,
,,大家好 5k节奏转谱 340_odd.xml,"大家好 5k节奏转谱","Memme",dajiahao,3732562,4142088,1881,1881,
,,桃源郷的外星人 5k节奏转谱 340_odd.xml,"桃源郷的外星人 5k节奏转谱","serial TV drama",taoyuanxiangwaixingren,3907893,4335565,2825,2825,50
,,魔理沙胡了个不得了的役满 5k节奏转谱 340_odd.xml,"魔理沙胡了个不得了的役满 5k节奏转谱","IOSYS",molisha,9371221,10399720,4416,4416,
,,Through The Fire And Flames 4k节奏转谱 200_odd.xml,"Through The Fire And Flames 4k节奏转谱","Dragonforce",through,14816557,16442325,7205,7205,20、50、100
,,野蜂飞舞 5k节奏转谱 320.xml,"野蜂飞舞 5k节奏转谱","马克西姆",yefengfeiwu,3711060,4118455,1670,1670,
,,致命之剑 4k节奏转谱 254.xml,"致命之剑 4k节奏转谱","Lin-G",zhimingzhijian,3908530,4337102,2146,2146,
,,少女绮想曲 5k节奏转谱 240.xml,"少女绮想曲 5k节奏转谱","Jun.A",shaonvqixiangqu,3893333,4320146,2244,2244,
,,雪愿2 5k节奏转谱 195.xml,"雪愿2 5k节奏转谱","Wolf.R",xueyuan2,1952433,2166680,968,968,
,,Through The Fire And Flames 4k节奏转谱 300.xml,"Through The Fire And Flames 4k节奏转谱","Dragonforce",through,16593241,18412634,9102,9102,
,,少女绮想曲 5k节奏转谱 320_odd.xml,"少女绮想曲 5k节奏转谱","Jun.A",shaonvqixiangqu,4259374,4726088,2634,2634,
,,雪愿2 5k节奏转谱 260_odd.xml,"雪愿2 5k节奏转谱","Wolf.R",xueyuan2,2061009,2287088,1084,1084,
