字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"猫步轻俏","AOA",,红色,分开,98 + 150,A - 左边白球^^^B - 左边单点,A - 左边滑键^^^B - 左边单点、右边单点,134,232,46 - 0.3,98,A - 左边白球,A - 左边滑键,134,232,659919,23 - 0.1
,,"Faded","Alan Walker",,红色,分开,316 + 403,B - 左边长条中间^^^B - 右边白球,B - 左边长条结尾、右边单点^^^B - 左边白球、右边长条结尾,203,475,59 + 0.1,316,B - 左边长条中间,B - 左边长条结尾、右边单点,203,475,852693,30 + 0.2
B,6,"BONAMANA","Super Junior",,,分开,255 + 309,B - 右边白球^^^B - 右边单点,B - 左边单点^^^B - 右边白球,146,378,70 + 0.0,309,B - 右边单点,B - 右边白球,146,378,1342896,35 + 0.0
,,"非酋","薛明媛/朱贺",,红色,分开,183 + 234、184 + 234、186 + 234、187 + 234,B - 左边单点^^^B - 右边长条中间,B - 左边白球^^^B - 右边连点第 3 个,154,344,60 + 0.1,234,B - 右边长条中间,B - 右边连点第 3 个,154,344,963281,32 + 0.1
H,8,"火花","高耀太",,,存气,402 + 755,A - 右边白球^^^B - 左边白球、右边白球,A - 右边单点^^^B - 左边单点、右边单点,405,896,89 + 0.1,802,B - 左边白球、右边白球,B - 左边连点第 2 个,405,896,2101279,46 + 0.3
,,"不完美小孩","TFBOYS",,红色,存气,170 + 319、170 + 318、170 + 319,A - 左边白球^^^B - 左边长条开始,A - 左边单点、右边单点^^^B - 左边白球、右边白球,196,453,52 - 0.5,332,B - 右边长条中间,B - 左边白球、右边白球,196,453,936868,28 + 0.4
Z,7,"再遇不到你这样的人","庄心妍",,,分开,458 + 583,B - 左边单点、右边长条开始^^^B - 左边单点、右边长条中间,B - 右边连点第 2 个^^^B - 左边连点第 3 个,321,694,74 - 0.4,583,B - 左边单点、右边长条中间,B - 左边连点第 3 个,321,694,1504649,37 + 0.0
L,9,"恋のパーフェクト微分方程式","ユウノウミ",,,分开,334 + 736,A - 右边白球^^^B - 左边白球,A - 右边连点第 2 个^^^B - 左边连点第 2 个,452,854,76 + 0.0,334、736,A - 右边白球,A - 右边连点第 2 个,452,854,2046642,38 + 0.0
T,6,"Timber","Pitbull",,,分开,455 + 546、456 + 546、457 + 546,B - 右边连点第 2 个^^^B - 左边连点第 2 个,B - 左边白球^^^B - 左边长条结尾、右边单点,236,610,70 + 0.0,546,B - 左边连点第 2 个,B - 左边长条结尾、右边单点,236,610,1378256,35 + 0.2
,,"Boom Clap","Charli XCX",,红色,分开,102 + 272、103 + 272,B - 左边单点^^^B - 左边白球,B - 左边单点、右边单点^^^B - 左边单点、右边单点,97,325,62 - 0.5,272,B - 左边白球,B - 左边单点、右边单点,97,325,824054,33 - 0.5
,,"一笑倾城","汪苏泷",,红色,分开,307 + 359,B - 左边单点、右边单点^^^B - 右边白球,B - 左边单点^^^B - 左边单点、右边单点,205,395,58 + 0.4,359,B - 右边白球,B - 左边单点、右边单点,205,395,1032426,30 + 0.2
,,"心率","鹿晗",,红色,分开,165 + 214,B - 左边单点^^^B - 左边白球,B - 右边长条中间^^^B - 右边长条中间,98,275,40 + 0.1,165,B - 左边单点,B - 右边长条中间,98,275,520464,21 - 0.1
A,6,"爱投罗网","罗志祥",,,分开,206 + 295、206 + 296、206 + 297、206 + 298、206 + 300、206 + 301、206 + 295、206 + 296、206 + 297、206 + 298,B - 右边单点^^^B - 左边滑键,B - 左边白球、右边长条结尾^^^B - 左边连点第 2 个,199,600,65 + 0.0,206,B - 右边单点,B - 左边白球、右边长条结尾,199,600,1397426,33 + 0.0
,,"动物森林","范玮琪",,红色,分开,94 + 242,A - 右边滑键^^^B - 右边单点,A - 右边长条中间^^^B - 右边长条中间,124,297,52 + 0.2,242,B - 右边单点,B - 右边长条中间,124,297,837190,27 + 0.1
,,"DAY BY DAY","T-ara",,红色,分开,101 + 217、101 + 218、101 + 217、101 + 218、101 + 217、101 + 218、101 + 217、101 + 218、101 + 217、101 + 218,A - 左边滑键^^^B - 左边单点,A - 右边白球^^^B - 左边单点,148,303,58 + 0.0,217、218,B - 左边单点,B - 左边单点,148,303,954642,30 + 0.0
,,"逆战","张杰",,红色,分开,109 + 280,A - 左边白球^^^B - 左边滑键,A - 右边白球^^^B - 左边白球,184,359,68 - 0.5,109,A - 左边白球,A - 右边白球,184,359,1177747,37 - 0.5
,,"Maps","Maroon 5",,红色,分开,148 + 266、148 + 267、148 + 268、148 + 269、148 + 270、148 + 271,A - 右边单点^^^B - 右边连点第 2 个,A - 左边单点、右边白球^^^B - 右边白球,176,368,69 + 0.0,148,A - 右边单点,A - 左边单点、右边白球,176,368,1172314,35 + 0.0
K,10,"空想神话","妖精帝国",,,分开,86 + 1033,A - 左边连点第 1 个、右边连点第 1 个^^^B - 左边长条开始、右边长条开始,A - 右边单点^^^B - 左边连点第 6 个、右边长条中间,655,1236,90 - 0.3,86,A - 左边连点第 1 个、右边连点第 1 个,A - 右边单点,655,1236,2574549,46 - 0.5
,,"怎样说清此刻的心情","BY2",,红色,分开,217 + 403,A - 右边长条中间^^^B - 左边长条中间,A - 左边白球、右边长条结尾^^^B - 左边长条结尾、右边长条结尾,293,502,57 + 0.2,403,B - 左边长条中间,B - 左边长条结尾、右边长条结尾,293,502,958045,30 + 0.2
,,"黑暗骑士","林俊杰/五月天",,,分开,190 + 542、191 + 542、192 + 542,A - 右边单点^^^B - 左边单点,A - 左边长条结尾、右边单点^^^B - 左边白球,314,594,64 + 0.4,190、191、192,A - 右边单点,A - 左边长条结尾、右边单点,314,594,1275464,33 + 0.4
,,"Loved","Highlight",,,分开,162 + 247、247 + 342,A - 右边白球^^^B - 左边白球,A - 右边白球^^^B - 左边单点,221,421,53 - 0.5,247,B - 左边白球,B - 左边单点,221,421,1007087,27 - 0.5
L,8,"L.I.E","EXID",,,分开,496 + 557、497 + 557、500 + 557,B - 右边连点第 2 个^^^B - 右边连点第 1 个,B - 左边长条结尾、右边单点^^^B - 左边长条结尾、右边长条结尾,339,611,74 - 0.3,557,B - 右边连点第 1 个,B - 左边长条结尾、右边长条结尾,339,611,1421784,37 + 0.2
D,6,"等我先说","夏天Alex",,,分开,160 + 397、161 + 397、162 + 397、163 + 397,A - 右边单点^^^B - 左边单点,A - 右边白球^^^B - 右边长条中间,231,462,63 - 0.5,397,B - 左边单点,B - 右边长条中间,231,462,1230149,32 - 0.5
,,"不醉不会","田馥甄",,,分开,520 + 654、521 + 654、522 + 654,B - 左边单点^^^B - 左边长条中间,B - 左边白球^^^B - 右边白球,348,736,80 - 0.2,520、521、522,B - 左边单点,B - 左边白球,348,736,1568444,40 + 0.0
,,"Trouble Is a Friend","Lenka",,红色,存气,213 + 377、213 + 381,A - 左边白球、右边单点^^^B - 右边单点,A - 左边长条结尾、右边长条结尾^^^B - 右边白球,249,598,67 + 0.1,427、429、435,B - 左边单点,B - 左边单点,249,598,1149587,34 - 0.5
,,"Monsters","Katie Sky",,红色,分开,73 + 209,A - 右边单点^^^B - 右边单点,A - 右边白球^^^B - 左边连点第 2 个,172,350,54 - 0.5,73,A - 右边单点,A - 右边白球,172,350,768443,28 - 0.5
,,"Trap","Henry",,红色,分开,101 + 252、101 + 253、101 + 254、101 + 255、101 + 252、101 + 253、101 + 254、101 + 255、101 + 252、101 + 253,A - 左边连点第 1 个^^^B - 左边连点第 1 个,A - 右边白球^^^B - 右边白球,159,310,46 + 0.0,101、102、103、104、252、253、254、255,A - 左边连点第 1 个,A - 右边白球,159,310,601688,23 + 0.0
,,"Just Dance","王一博",50,红色,分开,201 + 473、207 + 473,A - 左边长条开始^^^B - 右边连点第 1 个,A - 右边单点^^^B - 右边白球,275,551,71 - 0.5,473,B - 右边连点第 1 个,B - 右边白球,275,551,1235674,37 + 0.0
,,"娃娃脸","后弦",,,分开,99 + 168,A - 右边长条开始^^^B - 左边白球,A - 右边长条中间^^^B - 右边长条中间,141,281,35 - 0.1,99,A - 右边长条开始,A - 右边长条中间,141,281,678828,18 - 0.1
B,6,"Bo Peep Bo Peep","T-ara",,红色,分开,35 + 432、35 + 433,A - 右边单点^^^B - 左边单点,A - 左边单点^^^B - 左边白球,232,487,79 + 0.0,432、433,B - 左边单点,B - 左边白球,232,487,1340988,40 - 0.5
W,6,"Wolves","Selena Gomez/Marshmello",,,分开,139 + 465、139 + 466、139 + 467、139 + 468、139 + 469、139 + 479、139 + 480、139 + 481、139 + 465、139 + 466,A - 左边单点^^^B - 右边单点,A - 左边长条结尾、右边白球^^^B - 左边白球、右边长条结尾,365,743,70 - 0.2,139、140、141、142、143、153、154、155、465、466,A - 左边单点,A - 左边长条结尾、右边白球,365,743,1428017,35 - 0.1
,,"Bad Romance","Lady Gaga",,红色,分开,135 + 292、273 + 315、285 + 315、176 + 273、177 + 273,A - 左边单点^^^B - 左边白球、右边单点,A - 右边白球^^^B - 左边连点第 2 个,180,362,64 + 0.0,292,B - 左边白球、右边单点,B - 左边连点第 2 个,180,362,1253720,34 + 0.0
W,7,"我们的歌","王力宏",,,分开,57 + 402、57 + 403、57 + 402、57 + 403、57 + 402、57 + 403、57 + 402、57 + 403、57 + 402、57 + 403,A - 左边滑键^^^B - 左边滑键,A - 左边单点^^^B - 左边单点,340,672,81 + 0.0,402、403,B - 左边滑键,B - 左边单点,340,672,1716155,41 - 0.5
,,"浪漫惊喜","kent王健",,红色,存气,72 + 156、72 + 157、72 + 159、72 + 160、72 + 161、72 + 162、72 + 156、72 + 157、72 + 159、72 + 160,A - 左边长条开始、右边长条开始^^^B - 左边单点,A - 左边长条结尾、右边长条结尾^^^B - 左边单点,106,215,54 + 0.2,175、176、177,B - 右边单点,B - 左边白球,106,215,590159,27 + 0.0
J,8,"JELLY JELLY","TWICE",,,分开,520 + 583,B - 左边白球、右边长条结尾^^^B - 右边单点,B - 左边连点第 2 个^^^B - 左边白球,362,672,69 + 0.0,520、583,B - 左边白球、右边长条结尾,B - 左边连点第 2 个,362,672,1775094,35 - 0.5
P,10,"Play 我呸","蔡依林",,,分开,532 + 617,B - 左边连点第 2 个^^^B - 左边长条中间,B - 左边长条中间、右边滑键^^^B - 左边白球,474,931,86 - 0.5,598,B - 左边滑键、右边长条开始,B - 左边长条中间,474,931,2276896,43 + 0.4
X,6,"炫舞国度","BOX.COM",,,存气,187 + 382、188 + 381、192 + 377、192 + 381、192 + 382、193 + 376、193 + 381,A - 左边连点第 1 个^^^B - 左边单点,A - 右边单点^^^B - 左边单点、右边单点,217,439,67 - 0.2,391,B - 右边长条中间,B - 右边单点,217,439,1356917,34 + 0.0
G,6,"给我一个理由忘记","A-Lin",,红色,分开,161 + 264,A - 左边长条中间^^^B - 右边长条开始,A - 左边白球^^^B - 左边长条结尾、右边长条开始,245,680,70 - 0.5,264,B - 右边长条开始,B - 左边长条结尾、右边长条开始,245,680,1284093,38 - 0.2
Y,8,"YESTERDAY","Block B",,,分开,262 + 569,A - 右边长条中间^^^B - 左边长条中间,A - 左边单点^^^B - 左边单点、右边单点,309,748,66 - 0.4,569,B - 左边长条中间,B - 左边单点、右边单点,309,748,1642800,34 - 0.5
,,"狂欢夜","QQ炫舞原创",,红色,分开,107 + 432、107 + 433,A - 左边连点第 1 个^^^B - 左边单点,A - 右边连点第 2 个^^^B - 右边长条结尾,158,481,64 - 0.3,432、433,B - 左边单点,B - 右边长条结尾,158,481,1022690,33 - 0.4
C,9,"CLEAR","坂本真綾",,,分开,246 + 549、246 + 551、246 + 552、246 + 555、246 + 556、248 + 549、248 + 551、248 + 552、248 + 555、248 + 556,A - 右边连点第 1 个^^^B - 左边连点第 1 个,A - 右边单点^^^B - 左边单点,399,851,73 + 0.2,246、248、549、551,A - 右边连点第 1 个,A - 右边单点,399,851,2088791,37 - 0.4
,,"恋爱幸运曲奇","AKB48",,红色,分开,86 + 208,A - 左边长条中间^^^B - 左边单点、右边单点,A - 左边白球^^^B - 左边长条中间,168,405,51 - 0.1,86,A - 左边长条中间,A - 左边白球,168,405,847903,26 - 0.4
,,"有点甜","汪苏泷 / BY2",,红色,分开,231 + 304,B - 左边连点第 2 个^^^B - 左边连点第 1 个,B - 左边白球^^^B - 左边白球,169,356,58 + 0.0,231,B - 左边连点第 2 个,B - 左边白球,169,356,955090,30 - 0.3
B,8,"Bubble Pop!","泫雅",,,分开,220 + 531、238 + 531,A - 右边单点^^^B - 左边单点,A - 左边长条结尾、右边白球^^^B - 左边白球,321,597,68 - 0.4,220、238,A - 右边单点,A - 左边长条结尾、右边白球,321,597,1606745,35 - 0.5
M,6,"Mimimi","Serebro",,红色,分开,344 + 383,B - 左边单点^^^B - 左边滑键,B - 右边单点^^^B - 左边单点,255,466,73 - 0.3,352,B - 左边白球,B - 右边单点,255,466,1330010,38 - 0.3
W,9,"无可取代","李雪岩",,,分开,134 + 1102,A - 右边白球^^^B - 右边单点,A - 左边单点^^^B - 左边滑键、右边长条中间,534,1170,88 + 0.2,134,A - 右边白球,A - 左边单点,534,1170,2555677,45 - 0.5
,,"Doraradora","Fujigami Mai",,,分开,206 + 439,A - 左边长条开始^^^B - 右边长条中间,A - 右边白球^^^B - 左边单点、右边单点,259,518,61 - 0.4,206,A - 左边长条开始,A - 右边白球,259,518,1341852,31 + 0.1
,,"当你","林俊杰",,,分开,304 + 414、305 + 414、341 + 414,B - 左边连点第 1 个^^^B - 左边单点、右边长条开始,B - 左边长条结尾、右边滑键^^^B - 左边长条中间,206,489,60 + 0.0,341,B - 左边长条中间、右边白球,B - 左边单点,206,489,1316779,30 + 0.3
S,9,"SWEET TALKER","TWICE",50、100,,分开,815 + 1011,B - 左边长条开始、右边长条开始^^^B - 左边长条开始、右边长条开始,B - 左边长条结尾、右边长条结尾^^^B - 右边白球,497,1073,79 + 0.1,815,B - 左边长条开始、右边长条开始,B - 左边长条结尾、右边长条结尾,497,1073,2042201,41 - 0.4
,,"淋雨一直走","张韶涵",,红色,分开,105 + 261、105 + 263、106 + 261、106 + 263,A - 右边长条中间^^^B - 右边单点,A - 左边单点^^^B - 左边单点、右边长条结尾,166,351,68 - 0.2,261、263,B - 右边单点,B - 左边单点、右边长条结尾,166,351,824953,35 + 0.3
M,8,"觅","王喆",,,分开,177 + 623、178 + 623、179 + 623、181 + 623、358 + 623、359 + 623、360 + 623、362 + 623,A - 左边单点^^^B - 右边白球,A - 右边白球^^^B - 右边单点,285,670,71 + 0.0,623,B - 右边白球,B - 右边单点,285,670,1867010,38 + 0.0
G,6,"Good Time","Owl City",,红色,分开,333 + 381,B - 右边长条中间^^^B - 右边单点,B - 右边滑键^^^B - 右边白球,238,431,69 - 0.4,333,B - 右边长条中间,B - 右边滑键,238,431,1151520,35 - 0.4
,,"明天，你好","牛奶咖啡",,红色,分开,99 + 188、99 + 190,A - 左边连点第 1 个^^^B - 左边连点第 1 个,A - 左边长条结尾^^^B - 左边长条结尾,167,331,52 + 0.4,188、190,B - 左边连点第 1 个,B - 左边长条结尾,167,331,782978,26 + 0.3
W,6,"望","张碧晨/赵丽颖",,红色,分开,321 + 427,B - 左边滑键^^^B - 右边长条中间,B - 左边连点第 2 个、右边连点第 2 个^^^B - 左边连点第 2 个,193,587,72 - 0.3,427,B - 右边长条中间,B - 左边连点第 2 个,193,587,1257570,37 - 0.3
K,9,"卡农","Pachelbel",100,,分开,268 + 881、268 + 883、269 + 881、269 + 883、270 + 881、270 + 883,A - 左边单点^^^B - 左边长条结尾、右边滑键,A - 右边单点^^^B - 左边单点,426,931,79 - 0.5,881、883,B - 左边长条结尾、右边滑键,B - 左边单点,426,931,2190598,40 - 0.5
X,6,"小星星","汪苏泷",,,分开,529 + 607,B - 右边白球^^^B - 左边白球,B - 左边单点、右边单点^^^B - 右边白球,307,679,71 + 0.0,607,B - 左边白球,B - 右边白球,307,679,1433278,37 - 0.1
X,6,"修炼爱情","林俊杰 ",,,分开,344 + 550,B - 右边长条中间^^^B - 右边长条中间,B - 左边单点、右边单点^^^B - 左边白球,218,727,64 - 0.4,344,B - 右边长条中间,B - 左边单点、右边单点,218,727,1419690,33 - 0.4
D,9,"Dear Future Husband","Meghan Trainor",,,分开,227 + 565、227 + 567、458 + 565、458 + 567,A - 右边长条开始^^^B - 左边滑键、右边单点,A - 右边白球^^^B - 右边白球,336,852,64 + 0.3,565、567,B - 左边滑键、右边单点,B - 右边白球,336,852,1926760,33 + 0.0
*,7,"1234喜欢你","王欣宇",,,分开,490 + 551、494 + 551、495 + 551、496 + 551,B - 左边单点^^^B - 左边单点,B - 左边白球、右边单点^^^B - 右边白球,305,650,78 + 0.0,493、494、495、496,B - 左边单点,B - 右边白球,305,650,1547488,39 + 0.0
,,"专属味道","汪苏泷/林希儿",,,分开,172 + 232、172 + 385、385 + 445,A - 左边连点第 2 个^^^A - 左边连点第 2 个,A - 左边单点、右边单点^^^A - 左边单点、右边单点,289,603,61 + 0.0,172、385,A - 左边连点第 2 个,A - 左边单点、右边单点,289,603,1272226,31 - 0.5
,,"Sometimes","Kat Graham",,红色,分开,26 + 102,A - 右边单点^^^A - 左边白球,A - 右边白球^^^A - 左边连点第 2 个,210,366,59 + 0.1,26,A - 右边单点,A - 右边白球,210,366,928325,31 + 0.1
,,"Real Change","Masetti",,红色,分开,229 + 321、230 + 321、232 + 321、233 + 321、239 + 321、157 + 311、158 + 310,B - 右边单点^^^B - 右边单点,B - 右边白球^^^B - 右边白球,172,348,57 + 0.0,321,B - 右边单点,B - 右边白球,172,348,1081600,29 + 0.0
,,"回忆那么伤","孙子涵",,红色,存气,136 + 335、137 + 334,A - 右边单点^^^B - 左边连点第 1 个,A - 左边长条结尾^^^B - 右边连点第 2 个,155,414,62 - 0.4,334、340、341,B - 右边单点,B - 左边长条结尾、右边单点,155,414,999556,32 - 0.5
I,7,"I Want My Tears Back","NIGHT WISH",,,分开,296 + 484,B - 右边白球^^^B - 右边长条中间,B - 左边单点、右边单点^^^B - 左边滑键、右边滑键,289,733,84 + 0.1,484,B - 右边长条中间,B - 左边滑键、右边滑键,289,733,1984420,43 - 0.2
,,"空山新雨后","音阙诗听/锦零",,红色,分开,201 + 236,B - 右边连点第 1 个^^^B - 左边长条中间,B - 左边长条开始^^^B - 左边单点,127,293,58 + 0.1,236,B - 左边长条中间,B - 左边单点,127,293,783627,30 - 0.2
