字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
M,6,"Mimimi","Serebro",,,分开,93 + 310,A - 二轨单点^^^B - 一轨单点,A - 三轨单点^^^B - 二轨长条中间,264,491,59 + 0.4,93,A - 二轨单点,A - 三轨单点,264,491,1183577,30 + 0.0
,,"Always Online","林俊杰",,,分开,122 + 441,A - 四轨单点^^^B - 一轨长条中间,A - 二轨单点^^^B - 一轨单点,271,506,39 - 0.1,441,B - 一轨长条中间,B - 一轨单点,271,506,753818,20 - 0.5
A,6,"爱投罗网","罗志祥",,红色,分开,112 + 436、114 + 436,A - 三轨长条中间^^^B - 四轨长条开始,A - 二轨长条左滑、四轨单点^^^B - 二轨长条中间,255,710,73 - 0.4,436,B - 四轨长条开始,B - 二轨长条中间,255,710,1362202,38 - 0.3
T,6,"Timber","Pitbull",,红色,分开,403 + 506、404 + 506、405 + 506、406 + 506、407 + 506,B - 三四轨滑键^^^B - 四轨单点,B - 一轨单点^^^B - 一轨长条结尾、四轨单点,203,592,88 - 0.4,506,B - 四轨单点,B - 一轨长条结尾、四轨单点,203,592,1401771,47 - 0.2
,,"曖昧スクリーム","平野绫",,,分开,16 + 757,A - 四轨单点^^^B - 五轨长条中间,A - 三轨单点^^^B - 一轨单点、五轨单点,676,1399,109 + 0.4,757,B - 五轨长条中间,B - 一轨单点、五轨单点,676,1399,2733029,57 + 0.0
,,"New Divide","Linkin Park",,红色,分开,186 + 262,A - 二轨长条中间^^^A - 二轨单点、三轨单点,A - 三轨单点^^^A - 四轨长条中间,352,599,57 + 0.4,262,A - 二轨单点、三轨单点,A - 四轨长条中间,352,599,1007361,29 + 0.4
,,"你的微笑","飞儿乐团",,红色,分开,97 + 476,A - 三轨单点^^^B - 三轨单点,A - 二轨长条右滑^^^B - 三轨长条中间,299,632,66 + 0.4,476,B - 三轨单点,B - 三轨长条中间,299,632,1205316,34 - 0.4
,,"明天，你好","牛奶咖啡",,红色,分开,60 + 150,A - 三轨单点^^^B - 一轨长条开始、四轨长条开始,A - 三轨单点^^^B - 四轨单点,150,360,54 - 0.4,150,B - 一轨长条开始、四轨长条开始,B - 四轨单点,150,360,772147,29 + 0.1
,,"夜空中最亮的星","逃跑计划",,红色,分开,117 + 356、119 + 356,A - 二轨长条中间^^^B - 三轨单点,A - 三轨长条右滑^^^B - 三轨单点,293,551,60 - 0.3,356,B - 三轨单点,B - 三轨单点,293,551,979126,32 + 0.1
,,"黑暗骑士","林俊杰/五月天",,,分开,180 + 488、180 + 489、180 + 490、180 + 491、180 + 492、180 + 493、181 + 488、181 + 489、181 + 490、181 + 491,A - 一轨单点^^^B - 一轨单点,A - 三轨单点^^^B - 四轨单点,273,550,60 + 0.0,180、181、182、183、184、185、488、489、490、491,A - 一轨单点,A - 三轨单点,273,550,1159306,30 + 0.0
,,"今天你要嫁给我","陶喆/蔡依林",,红色,存气,112 + 145、112 + 146、112 + 147、112 + 148、112 + 149、113 + 145、113 + 146、113 + 147、113 + 148、113 + 149,A - 二轨长条中间^^^B - 二轨单点,A - 二轨单点、三轨单点^^^B - 三轨单点,145,281,46 + 0.0,145、146、147、148、149,B - 二轨单点,B - 一轨单点,145,281,588653,24 - 0.2
,,"Blue Skies","Lenka",,红色,分开,89 + 342、89 + 343、89 + 344,A - 二轨长条开始、四轨长条开始^^^B - 一轨单点,A - 一轨长条结尾、三轨单点^^^B - 一轨单点,204,483,56 + 0.3,342、343、344,B - 一轨单点,B - 一轨单点,204,483,1003910,29 - 0.3
B,8,"Bubble Pop!","泫雅",,,存气,335 + 368,A - 三轨长条中间^^^B - 一轨长条开始、四轨长条开始,A - 一二轨滑键、四三轨滑键^^^B - 二一轨滑键,364,786,71 - 0.1,368,B - 一轨长条开始、四轨长条开始,B - 三轨单点,364,786,1661337,36 - 0.2
,,"凉凉","杨宗纬/张碧晨",,红色,存气,107 + 341、108 + 340、123 + 325、124 + 324,A - 四轨单点^^^B - 二轨长条开始,A - 二轨长条结尾^^^B - 四轨长条中间,157,465,46 - 0.2,340、341,B - 四三轨滑键,B - 三轨单点,157,465,717232,25 - 0.3
,,"Bing Bing","Crayon Pop",,,分开,427 + 498、428 + 498,B - 三轨单点^^^B - 二轨长条开始、四轨长条结尾,B - 四轨单点^^^B - 一轨单点,309,586,56 + 0.0,427、428,B - 三轨单点,B - 四轨单点,309,586,1513361,29 - 0.5
,,"因你而在","林俊杰",,红色,存气,181 + 381,A - 三轨单点^^^B - 三轨长条开始,A - 三轨单点^^^B - 一轨长条中间,220,481,53 + 0.1,399,B - 二轨单点、三轨单点,B - 三轨长条中间,220,481,871859,26 + 0.1
,,"邮递马车","Hermann Necke",,红色,存气,245 + 570,A - 五轨长条左滑^^^B - 二轨单点、四轨单点,A - 一轨单点、五轨单点^^^B - 二三轨滑键、四轨单点,275,725,99 - 0.2,600、603、605,B - 四轨长条右滑,B - 一轨单点、五轨单点,275,725,1723658,50 + 0.2
Q,8,"七年的爱","金贤政",20、50,红色,分开,360 + 575,B - 二轨单点、四轨单点^^^B - 四轨长条中间,B - 二轨单点^^^B - 二轨单点、三轨单点,242,708,99 - 0.3,575,B - 四轨长条中间,B - 二轨单点、三轨单点,242,708,1453238,56 + 0.4
T,8,"to the beginning","Kalafina",,,分开,343 + 1146,A - 四轨长条中间^^^B - 二轨单点、四轨长条中间,A - 一轨单点、三轨长条结尾^^^B - 二轨长条结尾、三轨长条结尾,762,1262,87 - 0.4,1146,B - 二轨单点、四轨长条中间,B - 二轨长条结尾、三轨长条结尾,762,1262,1942402,45 + 0.0
J,9,"JELLY JELLY","TWICE",,,分开,168 + 708、168 + 710、168 + 711、168 + 713、168 + 715、168 + 717、169 + 708、169 + 710、169 + 711、169 + 713,A - 三轨单点^^^B - 一轨单点、四轨单点,A - 三轨单点^^^B - 三轨单点,401,760,65 + 0.3,168、171、172,A - 三轨单点,A - 三轨单点,401,760,1681403,33 - 0.2
K,10,"空想神话","妖精帝国",,,分开,252 + 1516,A - 四轨长条开始^^^B - 一轨长条中间、三轨单点,A - 一轨长条结尾、三轨长条右滑^^^B - 一轨长条中间、三轨单点,915,1745,121 - 0.4,1516,B - 一轨长条中间、三轨单点,B - 一轨长条中间、三轨单点,915,1745,3111734,68 - 0.1
R,6,"Right Now","rihanna",,,分开,397 + 554,B - 二轨长条中间^^^B - 一轨长条中间,B - 一轨单点^^^B - 一轨单点,395,818,73 - 0.1,397,B - 二轨长条中间,B - 一轨单点,395,818,1572181,38 + 0.3
,,"你的声音不会消失","fumika",20,,分开,241 + 524、243 + 524,A - 二轨长条中间^^^B - 一轨长条开始,A - 三轨长条右滑^^^B - 一轨长条中间,354,745,70 + 0.2,241、243,A - 二轨长条中间,A - 三轨长条右滑,354,745,1385282,36 + 0.1
,,"Poker Face","Lady Gaga",,红色,分开,130 + 228、130 + 239、131 + 228、131 + 239、228 + 306、239 + 306,A - 四轨长条中间^^^B - 一轨长条开始,A - 二轨单点、四轨单点^^^B - 三轨单点,188,400,55 - 0.4,228、239,B - 一轨长条开始,B - 三轨单点,188,400,981752,28 + 0.0
,,"桃花旗袍","BY2",100,红色,存气,136 + 215,A - 三轨长条开始^^^B - 四轨长条中间,A - 二轨单点、三轨长条结尾^^^B - 二轨长条结尾、四轨单点,142,355,58 - 0.4,236、254,B - 三轨单点,B - 一轨单点、三轨长条结尾,142,355,824218,31 + 0.1
W,6,"Wolves","Selena Gomez/Marshmello",,,分开,147 + 784、603 + 784,A - 二轨长条中间、四轨长条开始^^^B - 三轨单点,A - 二轨长条中间、四轨长条中间^^^B - 二轨长条结尾、四轨长条结尾,495,1028,76 - 0.3,784,B - 三轨单点,B - 二轨长条结尾、四轨长条结尾,495,1028,1661257,40 - 0.4
,,"绿光","孙燕姿",,红色,分开,221 + 441、221 + 443、221 + 445,B - 四轨长条左滑^^^B - 二轨单点,B - 四轨单点^^^B - 二轨单点、三轨单点,203,495,63 + 0.1,441、443、445,B - 二轨单点,B - 二轨单点、三轨单点,203,495,1043431,34 - 0.5
,,"不醉不会","田馥甄",,红色,分开,178 + 706、178 + 709,A - 二轨单点^^^B - 四轨长条左滑,A - 一轨单点^^^B - 二轨单点、四轨长条中间,409,805,90 + 0.1,178,A - 二轨单点,A - 一轨单点,409,805,1560392,46 - 0.5
,,"望","张碧晨/赵丽颖",,红色,分开,494 + 582,B - 三轨长条中间^^^B - 二轨长条左滑,B - 一轨单点、三轨单点^^^B - 一轨长条中间、三轨长条中间,234,680,79 + 0.1,582,B - 二轨长条左滑,B - 一轨长条中间、三轨长条中间,234,680,1291725,41 + 0.2
,,"炫舞","陈伟霆",,红色,分开,288 + 683,A - 三轨单点^^^B - 二一轨滑条、三四轨滑条,A - 一轨长条右滑、三四轨滑键^^^B - 二轨长条左滑、三四轨滑键,434,821,64 - 0.2,683,B - 二一轨滑条、三四轨滑条,B - 二轨长条左滑、三四轨滑键,434,821,1237764,33 + 0.2
B,7,"表白","萧亚轩",,红色,分开,292 + 551,B - 四轨长条中间^^^B - 一轨单点,B - 二轨长条左滑、三四轨滑键^^^B - 一轨长条结尾、四轨长条结尾,269,691,81 - 0.3,551,B - 一轨单点,B - 一轨长条结尾、四轨长条结尾,269,691,1449717,44 - 0.5
H,6,"Here With You","Asher Book",,红色,分开,122 + 429,A - 二轨长条中间^^^B - 一轨单点、四轨单点,A - 四三轨滑键^^^B - 二轨长条中间、三轨长条中间,236,502,68 - 0.2,429,B - 一轨单点、四轨单点,B - 二轨长条中间、三轨长条中间,236,502,1209784,38 - 0.5
,,"Trap","Henry",,红色,分开,72 + 200、72 + 201、72 + 200、72 + 201、72 + 200、72 + 201、72 + 200、72 + 201、72 + 200、72 + 201,A - 三四轨滑键^^^B - 二轨单点,A - 三轨单点^^^B - 三轨单点,137,266,44 - 0.2,200、201,B - 二轨单点,B - 三轨单点,137,266,561535,22 - 0.1
I,8,"I Knew You Were Trouble","Taylor Swift",,,分开,97 + 194,A - 四轨长条左滑^^^A - 二轨长条开始,A - 二轨单点、三轨长条中间^^^A - 二轨长条中间,580,982,81 + 0.2,97,A - 四轨长条左滑,A - 二轨单点、三轨长条中间,580,982,1600859,42 - 0.5
,,"不朽之罪","双笙/玄觞",,红色,分开,72 + 220,A - 三轨单点^^^B - 四轨单点,A - 三轨长条中间^^^B - 二一轨滑键,113,270,39 - 0.4,220,B - 四轨单点,B - 二一轨滑键,113,270,564861,20 - 0.1
,,"Try Everything","Shakira",,红色,分开,159 + 617、165 + 617,A - 一二轨滑条^^^B - 一轨长条开始、四轨长条开始,A - 四轨长条中间^^^B - 一轨长条中间、四轨长条中间,422,740,73 + 0.2,159、165,A - 一二轨滑条,A - 四轨长条中间,422,740,1403407,39 - 0.2
,,"让我心动","Apink",,红色,分开,341 + 442、342 + 442,B - 三轨单点^^^B - 三轨单点,B - 二轨单点^^^B - 一轨长条结尾、四轨长条结尾,216,502,49 + 0.3,341、342,B - 三轨单点,B - 二轨单点,216,502,934274,25 + 0.0
,,"娃娃脸","后弦",,,分开,176 + 293、176 + 305、177 + 293、177 + 305,A - 三轨长条中间^^^B - 四轨长条中间,A - 四轨单点^^^B - 二轨单点,248,488,48 - 0.4,176,A - 三轨长条中间,A - 四轨单点,248,488,945793,24 - 0.2
,,"Checkmate","林俊杰/郑容和",,红色,分开,138 + 430,A - 一轨长条中间^^^B - 四轨长条中间,A - 一轨单点、四轨单点^^^B - 一轨单点、四轨单点,264,589,68 + 0.0,138、430,A - 一轨长条中间,A - 一轨单点、四轨单点,264,589,1016207,34 + 0.0
,,"FIVE","Apink",50,红色,分开,196 + 370,A - 二一轨滑键^^^B - 二一轨滑键、三轨单点,A - 三轨单点^^^B - 二轨长条结尾、四轨单点,278,455,55 - 0.5,196,A - 二一轨滑键,A - 三轨单点,278,455,996668,29 - 0.5
,,"太过爱你","MC梦",,红色,分开,183 + 500,A - 二轨长条中间^^^B - 三轨长条右滑,A - 一轨长条结尾、四轨长条结尾^^^B - 一轨长条中间、四轨长条中间,397,875,77 - 0.2,500,B - 三轨长条右滑,B - 一轨长条中间、四轨长条中间,397,875,1439049,39 - 0.3
,,"后会无期","徐良/汪苏泷",,红色,分开,81 + 189、81 + 203、81 + 189、81 + 203、81 + 189、81 + 203、81 + 189、81 + 203、81 + 189、81 + 203,A - 四轨单点^^^B - 一轨单点,A - 一轨单点^^^B - 四轨单点,123,271,36 + 0.0,189、203,B - 一轨单点,B - 四轨单点,123,271,478916,18 + 0.0
B,6,"Bad Girl","吴亦凡",,,分开,491 + 716、492 + 716、493 + 716,B - 二轨单点^^^B - 四轨单点,B - 一轨长条结尾、四轨单点^^^B - 三轨长条中间,345,836,67 - 0.2,716,B - 四轨单点,B - 三轨长条中间,345,836,1607213,34 - 0.5
Y,8,"YESTERDAY","Block B",,,分开,594 + 662、594 + 663、594 + 662、594 + 663、594 + 662、594 + 663、594 + 662、594 + 663、594 + 662、594 + 663,B - 一轨单点、四轨长条开始^^^B - 三轨单点,B - 一轨单点、三轨长条结尾^^^B - 二轨单点,333,810,68 - 0.5,594,B - 一轨单点、四轨长条开始,B - 一轨单点、三轨长条结尾,333,810,1617222,36 - 0.5
,,"太阳雨","QQ炫舞原创",,红色,分开,204 + 252、209 + 252,B - 二轨长条开始^^^B - 四轨长条开始,B - 二轨单点^^^B - 三轨长条中间,158,325,44 - 0.5,238,B - 三轨单点,B - 一轨长条结尾、四轨长条结尾,158,325,524165,24 - 0.1
,,"浪漫惊喜","kent王健",,红色,存气,93 + 129,A - 二轨长条开始、四轨长条开始^^^B - 一轨长条开始、四轨长条开始,A - 二轨长条结尾、四轨长条结尾^^^B - 四轨长条中间,127,323,47 + 0.0,129,B - 一轨长条开始、四轨长条开始,B - 二轨长条结尾,127,323,557232,22 - 0.4
