字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"唐人","孙子涵",,红色,分开,49 + 267,A - 右下角数字 5 蓝条中间^^^B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,A - 右上角数字 6 单点^^^B - 下面数字 1 蓝条结尾,131,354,51 - 0.4,267,B - 下面数字 1 绿条开始、左下角数字 1 绿条开始,B - 下面数字 1 蓝条结尾,131,354,829949,25 + 0.1
R,7,"Rage Your Dream","M.O.V.E",,红色,分开,135 + 255,A - 右上角数字 8 单点、左上角数字 8 单点^^^B - 左边数字 5 绿条中间,A - 左下角数字 4 蓝条中间^^^B - 左下角数字 4 单点,249,399,55 - 0.2,135,A - 右上角数字 8 单点、左上角数字 8 单点,A - 左下角数字 4 蓝条中间,249,399,1003157,30 - 0.5
J,10,"禁绝边境线","Walküre",,,分开,285 + 606,A - 左上角数字 7 绿条结尾、右上角数字 8 绿条开始^^^B - 左下角数字 7 蓝条开始、右下角数字 7 蓝条开始,A - 左上角数字 13 单点^^^B - 右上角数字 2 蓝条结尾、左上角数字 2 蓝条结尾,359,789,90 - 0.4,606,B - 左下角数字 7 蓝条开始、右下角数字 7 蓝条开始,B - 右上角数字 2 蓝条结尾、左上角数字 2 蓝条结尾,359,789,1887258,46 + 0.2
Q,8,"七年的爱","金贤政",,红色,分开,80 + 221、80 + 222、80 + 223、80 + 274、80 + 275、80 + 276、80 + 221、80 + 222、80 + 223、80 + 274,A - 左边数字 7 蓝条开始^^^B - 左下角数字 6 蓝条开始,A - 右下角数字 7 单点^^^B - 左上角数字 4 单点,134,406,61 - 0.5,80,A - 左边数字 7 蓝条开始,A - 右下角数字 7 单点,134,406,972569,31 + 0.0
X,7,"幸福的节拍","杨丞琳",,红色,分开,115 + 281,A - 右上角数字 10 蓝条开始^^^B - 右上角数字 8 蓝条开始,A - 左下角数字 4 单点^^^B - 右下角数字 4 单点,158,341,56 - 0.3,281,B - 右上角数字 8 蓝条开始,B - 右下角数字 4 单点,158,341,966667,28 + 0.0
B,7,"Bad Girl","吴亦凡",,,分开,104 + 291、104 + 292、104 + 293、104 + 294、104 + 295,A - 左上角数字 2 单点^^^B - 右下角数字 4 单点,A - 右下角数字 4 蓝条结尾、左下角数字 5 单点^^^B - 左边数字 7 蓝条中间,268,540,63 + 0.0,104,A - 左上角数字 2 单点,A - 右下角数字 4 蓝条结尾、左下角数字 5 单点,268,540,1335250,32 + 0.0
Z,7,"怎样说清此刻的心情","BY2",,红色,分开,139 + 255、139 + 261、139 + 262、141 + 255、141 + 261、141 + 262、141 + 255、141 + 261、141 + 262、141 + 255,A - 右下角数字 1 绿条结尾、左下角数字 1 绿条结尾^^^B - 左上角数字 5 蓝条中间,A - 右下角数字 6 蓝条结尾^^^B - 左下角数字 4 单点、右下角数字 4 单点,188,330,52 + 0.0,255、261、262,B - 左上角数字 5 蓝条中间,B - 左下角数字 4 单点、右下角数字 4 单点,188,330,859610,27 + 0.0
,,"棉花糖","至上励合",,红色,分开,87 + 121、87 + 122、87 + 123、87 + 124、87 + 133、87 + 134、87 + 135,B - 左下角数字 6 单点^^^B - 右上角数字 2 单点,B - 右下角数字 3 单点^^^B - 左下角数字 10 蓝条中间,75,204,46 - 0.3,87,B - 左下角数字 6 单点,B - 右下角数字 3 单点,75,204,533815,24 - 0.1
,,"Boom Clap","Charli XCX",,红色,分开,99 + 199、99 + 200、99 + 201、100 + 199、100 + 200、100 + 201、100 + 199、100 + 200、100 + 201、100 + 199,B - 右上角数字 6 绿条中间^^^B - 右上角数字 1 单点,B - 右下角数字 3 蓝条结尾、左上角数字 4 单点^^^B - 左上角数字 4 单点,88,246,47 - 0.1,99、100,B - 右上角数字 6 绿条中间,B - 右下角数字 3 蓝条结尾、左上角数字 4 单点,88,246,651841,24 - 0.4
,,"CALL ME BABY","EXO",,红色,分开,92 + 125,B - 右下角数字 3 单点^^^B - 右下角数字 4 单点,B - 右上角数字 2 单点^^^B - 左下角数字 4 单点,83,193,35 - 0.2,92,B - 右下角数字 3 单点,B - 右上角数字 2 单点,83,193,484356,19 - 0.1
W,7,"王妃","萧敬腾",,红色,分开,159 + 353,B - 下面数字 3 蓝条开始^^^B - 右下角数字 4 单点,B - 左下角数字 5 单点、右上角数字 5 单点^^^B - 右下角数字 1 绿条中间,156,409,59 + 0.1,353,B - 右下角数字 4 单点,B - 右下角数字 1 绿条中间,156,409,1054208,32 + 0.3
B,9,"Baby Boy","王心凌",,,分开,258 + 342、258 + 343、258 + 345,B - 左边数字 9 单点^^^B - 右边数字 6 蓝条中间,B - 左下角数字 5 蓝条结尾、右上角数字 6 绿条开始^^^B - 左下角数字 5 蓝条结尾、右下角数字 6 蓝条开始,238,588,68 + 0.2,342、343、345,B - 右边数字 6 蓝条中间,B - 左下角数字 5 蓝条结尾、右下角数字 6 蓝条开始,238,588,1518635,36 - 0.5
B,7,"Bo Peep Bo Peep","T-ara",,红色,分开,229 + 370、229 + 371、229 + 370、229 + 371、229 + 370、229 + 371、229 + 370、229 + 371、229 + 370、229 + 371,B - 左下角数字 2 绿条开始、右下角数字 2 绿条开始^^^B - 右下角数字 1 单点,B - 右下角数字 8 蓝条结尾^^^B - 右上角数字 4 蓝条中间,203,447,57 + 0.0,370、371,B - 右下角数字 1 单点,B - 右上角数字 4 蓝条中间,203,447,1066572,30 + 0.0
W,7,"Wonderland","gugudan",,红色,分开,108 + 220、108 + 244,A - 右边数字 4 单点^^^B - 右边数字 4 单点,A - 左边数字 9 单点、右边数字 9 单点^^^B - 左上角数字 9 单点、右上角数字 9 单点,164,317,56 + 0.4,108、220、244,A - 右边数字 4 单点,A - 左边数字 9 单点、右边数字 9 单点,164,317,881745,28 + 0.2
,,"萤火","TFBOYS",,红色,分开,202 + 235,B - 右边数字 3 单点^^^B - 左边数字 3 单点,B - 右下角数字 9 绿条开始^^^B - 左上角数字 6 绿条中间、右上角数字 6 绿条中间,123,282,49 + 0.3,235,B - 左边数字 3 单点,B - 左上角数字 6 绿条中间、右上角数字 6 绿条中间,123,282,777498,25 + 0.0
Z,6,"直到世界终结 ","WANDS",,红色,分开,120 + 162、120 + 163、120 + 164、120 + 165、120 + 166、120 + 167、121 + 162、121 + 163、121 + 164、121 + 165,B - 上面数字 5 单点^^^B - 右下角数字 1 单点,B - 左下角数字 6 蓝条结尾^^^B - 右下角数字 10 单点,69,238,58 - 0.1,143,B - 右上角数字 4 蓝条中间,B - 左下角数字 8 蓝条结尾、右上角数字 1 单点,69,238,757753,31 + 0.1
Y,10,"邮递马车","Hermann Necke",,红色,分开,145 + 198、146 + 198、147 + 198、149 + 198,A - 右边数字 5 单点^^^A - 左上角数字 5 绿条中间,A - 右边数字 7 蓝条结尾、左下角数字 8 蓝条开始^^^A - 左边数字 1 单点、中间数字 1 单点,240,528,85 + 0.3,145、146、147、149,A - 右边数字 5 单点,A - 右边数字 7 蓝条结尾、左下角数字 8 蓝条开始,240,528,1618045,44 + 0.0
R,6,"Right Now","rihanna",,红色,分开,50 + 312,A - 下面数字 10 蓝条中间^^^B - 左下角数字 1 单点,A - 右下角数字 1 单点^^^B - 右上角数字 10 绿条中间,241,449,54 - 0.4,312,B - 左下角数字 1 单点,B - 右上角数字 10 绿条中间,241,449,1028323,28 - 0.4
L,7,"Landing","温岚",,红色,分开,217 + 267,B - 下面数字 6 蓝条中间^^^B - 右下角数字 6 单点,B - 左上角数字 3 单点、右上角数字 3 单点^^^B - 左上角数字 1 单点、右上角数字 1 单点,143,306,55 - 0.2,217,B - 下面数字 6 蓝条中间,B - 左上角数字 3 单点、右上角数字 3 单点,143,306,1013547,28 - 0.1
T,6,"Try Everything","Shakira",,红色,分开,212 + 257、212 + 258、212 + 259、212 + 260、212 + 257、212 + 258、212 + 259、212 + 260、212 + 257、212 + 258,B - 下面数字 1 单点^^^B - 下面数字 1 单点,B - 左上角数字 7 单点^^^B - 右上角数字 7 单点,160,349,49 + 0.0,212、213、214、215、257、258、259、260,B - 下面数字 1 单点,B - 左上角数字 7 单点,160,349,927289,25 - 0.5
B,6,"Bad Romance","Lady Gaga",,,分开,134 + 214、134 + 215,A - 右上角数字 4 单点^^^B - 右上角数字 3 单点,A - 右下角数字 9 单点^^^B - 左下角数字 7 蓝条中间,211,426,47 - 0.1,214、215,B - 右上角数字 3 单点,B - 左下角数字 7 蓝条中间,211,426,952603,24 + 0.0
O,8,"偶像万万岁","TimeZ",,,分开,254 + 297、254 + 298、254 + 297、254 + 298、254 + 297、254 + 298、254 + 297、254 + 298、254 + 297、254 + 298,B - 右上角数字 2 单点、左上角数字 2 单点^^^B - 左上角数字 1 蓝条开始,B - 左上角数字 9 蓝条结尾^^^B - 右边数字 6 单点,227,482,67 - 0.3,254,B - 右上角数字 2 单点、左上角数字 2 单点,B - 左上角数字 9 蓝条结尾,227,482,1316598,34 + 0.0
,,"Blue Skies","Lenka",,红色,分开,207 + 332、208 + 332、209 + 332,B - 左上角数字 1 单点^^^B - 左上角数字 1 单点,B - 下面数字 3 蓝条结尾^^^B - 右下角数字 3 单点、左下角数字 3 单点,126,377,42 - 0.2,207、208、209,B - 左上角数字 1 单点,B - 下面数字 3 蓝条结尾,126,377,680678,21 + 0.0
,,"第一次爱的人","王心凌",,红色,分开,94 + 125,A - 左下角数字 3 单点^^^B - 左上角数字 1 单点,A - 左下角数字 6 绿条中间^^^B - 右上角数字 2 单点,124,266,35 + 0.3,125,B - 左上角数字 1 单点,B - 右上角数字 2 单点,124,266,548524,18 - 0.2
B,6,"Booty Music","Git Fresh",,,分开,45 + 281、45 + 282、45 + 284、45 + 285、45 + 281、45 + 282、45 + 284、45 + 285、45 + 281、45 + 282,A - 左上角数字 1 蓝条开始^^^B - 右边数字 6 蓝条开始,A - 左上角数字 5 单点^^^B - 左上角数字 8 绿条结尾,191,382,48 - 0.3,45,A - 左上角数字 1 蓝条开始,A - 左上角数字 5 单点,191,382,897656,25 - 0.2
B,7,"BONAMANA","Super Junior",,红色,分开,99 + 216、99 + 217、99 + 248、99 + 249、99 + 250、99 + 251、99 + 252、99 + 257、99 + 258,A - 右下角数字 3 蓝条开始、左下角数字 3 蓝条开始^^^B - 左边数字 4 蓝条开始,A - 左上角数字 2 蓝条中间^^^B - 左上角数字 2 蓝条结尾,203,431,64 + 0.0,99,A - 右下角数字 3 蓝条开始、左下角数字 3 蓝条开始,A - 左上角数字 2 蓝条中间,203,431,1226316,35 + 0.0
P,10,"Play 我呸","蔡依林",,,分开,176 + 268、176 + 269、178 + 268、178 + 269、268 + 526、268 + 528、269 + 526、269 + 528,A - 右上角数字 4 单点^^^A - 右上角数字 12 蓝条中间,A - 右下角数字 4 蓝条结尾、左下角数字 4 蓝条结尾^^^A - 左上角数字 12 蓝条结尾、右上角数字 13 蓝条开始,378,742,88 + 0.0,268、269,A - 右上角数字 12 蓝条中间,A - 左上角数字 12 蓝条结尾、右上角数字 13 蓝条开始,378,742,2295406,45 + 0.0
D,6,"等我先说","夏天Alex",,红色,分开,147 + 341、147 + 342、147 + 345、148 + 341、148 + 342、148 + 345、148 + 341、148 + 342、148 + 345、148 + 341,A - 左下角数字 9 绿条中间^^^B - 右上角数字 8 单点,A - 右下角数字 11 单点^^^B - 右边数字 10 蓝条中间,198,380,58 + 0.0,147、148,A - 左下角数字 9 绿条中间,A - 右下角数字 11 单点,198,380,1017816,29 + 0.2
F,10,"Firefly","Abba Teens",,红色,分开,270 + 457,B - 左上角数字 1 绿条开始、右上角数字 1 蓝条开始^^^B - 右上角数字 3 单点,B - 左上角数字 5 单点、左上角数字 5 单点^^^B - 左上角数字 8 单点、左上角数字 8 单点,269,514,86 + 0.3,457,B - 右上角数字 3 单点,B - 左上角数字 8 单点、左上角数字 8 单点,269,514,1576267,46 - 0.2
B,8,"Bright Spring","M2U",,红色,分开,88 + 275,A - 左下角数字 7 蓝条开始^^^B - 右上角数字 1 单点,A - 左下角数字 10 单点^^^B - 右下角数字 6 绿条开始,198,381,58 + 0.1,275,B - 右上角数字 1 单点,B - 右下角数字 6 绿条开始,198,381,1095805,31 + 0.1
,,"让我心动","Apink",,红色,分开,180 + 258、180 + 263、180 + 264、180 + 258、180 + 263、180 + 264、180 + 258、180 + 263、180 + 264、180 + 258,B - 左上角数字 1 单点^^^B - 左下角数字 5 单点,B - 左边数字 4 单点^^^B - 右上角数字 7 绿条中间,145,352,42 - 0.4,258、263、264,B - 左下角数字 5 单点,B - 右上角数字 7 绿条中间,145,352,686110,21 + 0.1
L,7,"恋爱幸运曲奇","AKB48",,红色,分开,220 + 263、225 + 263、226 + 263,B - 左下角数字 2 蓝条中间^^^B - 右下角数字 1 单点、左下角数字 1 单点,B - 左下角数字 3 单点、右下角数字 3 单点^^^B - 左上角数字 8 蓝条中间,106,307,62 + 0.2,240、242、243,B - 右上角数字 3 单点、上面数字 3 单点,B - 右上角数字 6 单点、左上角数字 6 单点,106,307,946166,33 + 0.0
K,10,"空想神话","妖精帝国",,,分开,307 + 647、530 + 647,A - 左边数字 9 单点、右边数字 9 单点^^^B - 左边数字 6 蓝条开始,A - 左下角数字 3 单点^^^B - 左上角数字 5 蓝条结尾,394,728,72 - 0.1,647,B - 左边数字 6 蓝条开始,B - 左上角数字 5 蓝条结尾,394,728,2012014,37 + 0.0
I,8,"I Want My Tears Back","NIGHT WISH",,,分开,361 + 436,B - 右下角数字 8 单点^^^B - 右下角数字 9 蓝条开始、左下角数字 9 蓝条开始,B - 右边数字 2 单点、左边数字 2 单点^^^B - 下面数字 9 蓝条中间,333,641,71 + 0.0,436,B - 右下角数字 9 蓝条开始、左下角数字 9 蓝条开始,B - 下面数字 9 蓝条中间,333,641,1712145,36 + 0.0
B,6,"Born This Way","Lady Gaga",,红色,存气,142 + 275、142 + 276、143 + 275、143 + 276、144 + 275、144 + 276、145 + 275、147 + 275、147 + 276、148 + 275,A - 左下角数字 1 单点^^^B - 左上角数字 1 蓝条开始,A - 右边数字 14 绿条结尾^^^B - 右下角数字 6 蓝条中间,163,378,61 - 0.4,275、276、277、279、280、282、283、284、285,B - 左上角数字 1 蓝条开始,B - 左上角数字 3 蓝条结尾,163,378,1071417,34 + 0.1
W,7,"我们的歌","王力宏",50,,分开,97 + 447、97 + 448,A - 右上角数字 4 蓝条结尾、左下角数字 5 蓝条开始^^^B - 右下角数字 4 蓝条中间,A - 左下角数字 9 单点^^^B - 右下角数字 7 蓝条结尾、上面数字 8 单点,332,668,75 - 0.1,97,A - 右上角数字 4 蓝条结尾、左下角数字 5 蓝条开始,A - 左下角数字 9 单点,332,668,1667882,39 - 0.5
,,"触动心触动爱","BY2",,红色,分开,96 + 166,B - 右上角数字 4 绿条中间^^^B - 右下角数字 2 单点,B - 左上角数字 2 单点、右上角数字 2 单点^^^B - 左上角数字 1 单点,87,203,34 - 0.5,166,B - 右下角数字 2 单点,B - 左上角数字 1 单点,87,203,501042,17 + 0.1
N,7,"你的声音不会消失","fumika",,红色,分开,363 + 398,B - 右边数字 14 单点^^^B - 右边数字 2 蓝条开始,B - 下面数字 1 蓝条结尾^^^B - 右下角数字 3 绿条中间、左下角数字 3 绿条中间,211,439,53 - 0.4,363、364、365、366、392、393、394、395,B - 右边数字 14 单点,B - 下面数字 1 蓝条结尾,211,439,987267,27 - 0.4
D,8,"当你","林俊杰",,,分开,143 + 204、143 + 205、204 + 291、205 + 291,A - 左边数字 6 单点^^^B - 下面数字 6 蓝条开始,A - 左下角数字 7 绿条中间^^^B - 右边数字 3 单点,184,429,62 - 0.4,204、205,B - 下面数字 6 蓝条开始,B - 右边数字 3 单点,184,429,1278019,31 + 0.0
T,8,"Telephone","Lady GaGa",,,分开,104 + 325、105 + 325,A - 右上角数字 4 绿条中间^^^B - 右下角数字 1 蓝条开始,A - 右下角数字 9 单点^^^B - 右上角数字 4 绿条中间,237,450,55 - 0.2,104、105,A - 右上角数字 4 绿条中间,A - 右下角数字 9 单点,237,450,1182777,28 + 0.3
K,10,"卡农","Pachelbel",,,分开,416 + 545、416 + 546、416 + 547、416 + 548、416 + 549、416 + 551、416 + 552、416 + 554、416 + 555、416 + 556,B - 右下角数字 6 绿条结尾、左上角数字 7 绿条开始^^^B - 右上角数字 2 单点,B - 左边数字 3 单点^^^B - 右下角数字 5 蓝条结尾、下面数字 6 单点,329,698,98 - 0.2,416、424,B - 右下角数字 6 绿条结尾、左上角数字 7 绿条开始,B - 左边数字 3 单点,329,698,2019350,53 - 0.2
J,6,"Just Dance","Lady GaGa",,红色,分开,238 + 272,B - 左上角数字 4 单点^^^B - 左边数字 4 单点,B - 左下角数字 4 蓝条结尾^^^B - 左上角数字 6 蓝条结尾、右下角数字 1 绿条开始,164,361,51 + 0.2,257,B - 右上角数字 3 蓝条开始,B - 右下角数字 4 蓝条结尾,164,361,943991,29 + 0.1
H,8,"火花","高耀太",,,分开,198 + 423、198 + 483、423 + 483,A - 左上角数字 1 单点、右上角数字 1 单点^^^B - 右上角数字 1 单点、左上角数字 1 单点,A - 右下角数字 6 单点^^^B - 右下角数字 6 单点,257,572,64 + 0.2,198、423、483,A - 左上角数字 1 单点、右上角数字 1 单点,A - 右下角数字 6 单点,257,572,1504133,32 + 0.1
N,6,"New Divide","Linkin Park",,红色,分开,14 + 289、14 + 290、14 + 291,A - 右下角数字 1 蓝条中间^^^B - 左下角数字 2 单点,A - 右上角数字 6 单点^^^B - 右下角数字 5 绿条结尾、左下角数字 6 单点,219,349,59 - 0.2,289、290、291,B - 左下角数字 2 单点,B - 右下角数字 5 绿条结尾、左下角数字 6 单点,219,349,923524,29 - 0.2
B,8,"Bing Bing","Crayon Pop",,,分开,115 + 375、115 + 376、115 + 377、115 + 378、375 + 431、376 + 431、377 + 431、378 + 431,A - 右上角数字 2 单点^^^B - 左上角数字 3 单点,A - 左边数字 7 单点、中间数字 7 单点^^^B - 左上角数字 10 蓝条中间,264,515,61 + 0.0,375、376、377、378,B - 左上角数字 3 单点,B - 左上角数字 10 蓝条中间,264,515,1573701,31 + 0.0
